date;followers;following;fans
2013-04-18;1612;328;1284
2013-04-20;1611;329;1282
2013-04-22;1609;329;1280
2013-04-24;1608;329;1279
2013-04-26;1607;329;1278
2013-04-28;1608;330;1278
2013-04-30;1607;330;1277
2013-05-02;1608;330;1278
2013-05-04;1608;330;1278
2013-05-06;1607;330;1277
2013-05-08;1609;330;1279
2013-05-10;1610;331;1279
2013-05-12;1607;331;1276
2013-05-14;1605;331;1274
2013-05-16;1609;331;1278
2013-05-18;1613;331;1282
2013-05-20;1613;331;1282
2013-05-22;1612;331;1281
2013-05-24;1611;331;1280
2013-05-26;1614;331;1283
2013-05-28;1617;331;1286
2013-05-30;1615;331;1284
2013-06-01;1615;331;1284
2013-06-03;1616;332;1284
2013-06-05;1616;333;1283
2013-06-07;1616;333;1283
2013-06-09;1616;333;1283
2013-06-11;1618;333;1285
2013-06-20;1618;333;1285
2013-06-22;1617;333;1284
2013-06-24;1618;333;1285
2013-06-26;1615;333;1282
2013-06-28;1615;333;1282
2013-06-30;1614;333;1281
2013-07-02;1614;333;1281
2013-07-04;1612;333;1279
2013-07-06;1612;333;1279
2013-07-08;1612;333;1279
2013-07-10;1612;333;1279
2013-07-12;1614;333;1281
2013-07-14;1613;333;1280
2013-07-16;1613;333;1280
2013-07-18;1611;333;1278
2013-07-20;1611;333;1278
2013-07-22;1611;333;1278
2013-07-24;1611;333;1278
2013-07-26;1609;333;1276
2013-07-28;1608;332;1276
2013-07-30;1609;333;1276
2013-08-01;1609;333;1276
2013-08-03;1609;333;1276
2013-08-05;1610;333;1277
2013-08-07;1610;333;1277
2013-08-09;1610;333;1277
2013-08-11;1611;333;1278
2013-08-13;1611;333;1278
2013-08-15;1612;333;1279
2013-08-17;1612;333;1279
2013-08-19;1611;333;1278
2013-08-21;1608;333;1275
2013-08-23;1608;333;1275
2013-08-25;1608;333;1275
2013-08-27;1608;334;1274
2013-08-29;1608;334;1274
2013-08-31;1608;334;1274
2013-09-02;1609;334;1275
2013-09-04;1609;334;1275
2013-09-06;1609;334;1275
2013-09-08;1608;334;1274
2013-09-10;1606;334;1272
2013-09-12;1606;334;1272
2013-09-14;1606;334;1272
2013-09-16;1606;334;1272
2013-09-18;1605;335;1270
2013-09-20;1607;335;1272
2013-09-22;1606;335;1271
2013-09-24;1605;335;1270
2013-09-26;1606;335;1271
2013-09-28;1605;335;1270
2013-09-29;1603;335;1268
2013-10-02;1604;334;1270
2013-10-04;1603;334;1269
2013-10-06;1604;334;1270
2013-10-08;1603;334;1269
2013-10-10;1602;334;1268
2013-10-12;1601;334;1267
2013-10-14;1601;334;1267
2013-10-16;1601;335;1266
2013-10-18;1599;336;1263
2013-10-20;1600;336;1264
