date;followers;following;fans
2013-06-10;1199;121;1078
2013-06-20;1221;122;1099
2013-06-21;1225;122;1103
2013-06-23;1232;121;1111
2013-06-26;1238;121;1117
2013-06-28;1246;121;1125
2013-06-30;1248;123;1125
2013-07-02;1255;123;1132
2013-07-04;1259;123;1136
2013-07-06;1261;124;1137
2013-07-08;1264;124;1140
2013-07-10;1266;124;1142
2013-07-12;1269;126;1143
2013-07-14;1273;125;1148
2013-07-16;1277;125;1152
2013-07-18;1277;125;1152
2013-07-20;1277;126;1151
2013-07-22;1285;128;1157
2013-07-24;1287;129;1158
2013-07-26;1296;129;1167
2013-07-28;1298;129;1169
2013-07-30;1299;129;1170
2013-08-01;1302;129;1173
2013-08-03;1302;129;1173
2013-08-05;1306;129;1177
2013-08-07;1312;129;1183
2013-08-09;1316;129;1187
2013-08-11;1328;129;1199
2013-08-13;1335;129;1206
2013-08-15;1340;129;1211
2013-08-17;1353;130;1223
2013-08-19;1360;130;1230
2013-08-21;1374;130;1244
2013-08-23;1379;130;1249
2013-08-25;1385;130;1255
2013-08-27;1391;130;1261
2013-08-29;1399;130;1269
2013-08-31;1397;130;1267
2013-09-02;1407;130;1277
2013-09-04;1410;131;1279
2013-09-06;1410;131;1279
2013-09-08;1407;131;1276
2013-09-10;1411;131;1280
2013-09-12;1419;131;1288
2013-09-14;1421;131;1290
2013-09-16;1425;131;1294
2013-09-18;1431;131;1300
2013-09-20;1438;131;1307
2013-09-22;1443;131;1312
2013-09-24;1456;131;1325
2013-09-26;1464;131;1333
2013-09-28;1468;131;1337
2013-09-30;1470;132;1338
2013-10-02;1470;132;1338
2013-10-04;1475;132;1343
2013-10-06;1482;132;1350
2013-10-08;1487;132;1355
2013-10-10;1489;132;1357
2013-10-12;1497;132;1365
2013-10-14;1493;132;1361
2013-10-16;1497;132;1365
2013-10-18;1501;132;1369
2013-10-20;1504;132;1372
2013-10-22;1509;132;1377
2013-10-24;1509;132;1377
2013-10-26;1513;132;1381
2013-10-28;1519;132;1387
2013-10-30;1517;132;1385
2013-11-01;1518;133;1385
2013-11-03;1522;133;1389
2013-11-05;1528;133;1395
2013-11-07;1528;133;1395
2013-11-09;1536;133;1403
2013-11-11;1537;134;1403
2013-11-13;1541;134;1407
2013-11-15;1546;134;1412
2013-11-17;1556;134;1422
2013-11-19;1560;134;1426
2013-11-21;1567;134;1433
2013-11-23;1565;134;1431
2013-11-25;1565;134;1431
2013-11-27;1567;134;1433
2013-11-29;1567;134;1433
2013-12-01;1571;134;1437
2013-12-03;1577;135;1442
2013-12-05;1583;135;1448
2013-12-07;1584;135;1449
2013-12-09;1582;135;1447
2013-12-11;1582;134;1448
2013-12-13;1581;134;1447
2013-12-15;1586;135;1451
2013-12-17;1588;135;1453
2013-12-19;1592;135;1457
2013-12-21;1593;135;1458
2013-12-23;1596;135;1461
2013-12-25;1601;135;1466
2013-12-27;1601;135;1466
2013-12-29;1605;135;1470
2013-12-31;1610;135;1475
2014-01-02;1606;135;1471
2014-01-04;1609;136;1473
2014-01-06;1612;136;1476
2014-01-08;1616;136;1480
2014-01-10;1626;136;1490
2014-01-12;1627;136;1491
2014-01-14;1631;136;1495
2014-01-16;1630;136;1494
2014-01-18;1625;137;1488
2014-01-20;1627;137;1490
2014-01-22;1632;137;1495
2014-01-24;1636;137;1499
2014-01-26;1640;137;1503
2014-01-28;1644;137;1507
2014-01-30;1647;137;1510
2014-02-01;1648;137;1511
2014-02-03;1655;138;1517
2014-02-05;1663;138;1525
2014-02-07;1667;137;1530
2014-02-09;1670;138;1532
2014-02-11;1677;137;1540
2014-02-13;1678;137;1541
2014-02-15;1683;137;1546
2014-02-17;1689;137;1552
2014-02-19;1689;137;1552
2014-02-21;1693;137;1556
2014-02-23;1694;137;1557
2014-02-25;1698;137;1561
2014-02-27;1702;137;1565
2014-03-01;1705;137;1568
2014-03-03;1720;137;1583
2014-03-05;1725;137;1588
2014-03-07;1731;137;1594
2014-03-09;1736;137;1599
2014-03-11;1735;137;1598
2014-03-13;1737;137;1600
2014-03-15;1742;137;1605
2014-03-17;1740;137;1603
2014-03-19;1739;138;1601
2014-03-21;1743;138;1605
2014-03-23;1753;138;1615
2014-03-25;1756;138;1618
2014-03-27;1779;138;1641
2014-03-29;1780;138;1642
2014-03-31;1785;138;1647
2014-04-02;1783;138;1645
2014-04-04;1787;138;1649
2014-04-06;1789;138;1651
2014-04-08;1792;138;1654
2014-04-10;1795;138;1657
2014-04-12;1791;138;1653
2014-04-14;1791;138;1653
2014-04-16;1792;139;1653
2014-04-18;1796;139;1657
2014-04-20;1797;139;1658
2014-04-22;1802;140;1662
2014-04-24;1807;140;1667
2014-04-26;1811;140;1671
2014-04-28;1815;140;1675
2014-04-30;1819;140;1679
2014-05-02;1818;140;1678
2014-05-04;1820;140;1680
