date;followers;following;fans
2013-04-18;1195;1;1194
2013-04-20;1201;1;1200
2013-04-22;1205;1;1204
2013-04-24;1209;1;1208
2013-04-26;1214;1;1213
2013-04-28;1216;1;1215
2013-04-30;1215;1;1214
2013-05-02;1217;1;1216
2013-05-04;1221;1;1220
2013-05-06;1223;1;1222
2013-05-08;1224;1;1223
2013-05-10;1227;1;1226
2013-05-12;1226;1;1225
2013-05-14;1229;1;1228
2013-05-16;1232;1;1231
2013-05-18;1233;1;1232
2013-05-20;1233;1;1232
2013-05-22;1240;1;1239
2013-05-24;1249;1;1248
2013-05-26;1251;1;1250
2013-05-28;1254;1;1253
2013-05-30;1258;1;1257
2013-06-01;1261;1;1260
2013-06-03;1260;1;1259
2013-06-05;1260;1;1259
2013-06-07;1257;1;1256
2013-06-09;1257;1;1256
2013-06-11;1255;1;1254
2013-06-20;1259;1;1258
2013-06-22;1260;1;1259
2013-06-24;1263;1;1262
2013-06-26;1269;1;1268
2013-06-28;1266;1;1265
2013-06-30;1268;1;1267
2013-07-02;1268;1;1267
2013-07-04;1269;1;1268
2013-07-06;1268;1;1267
2013-07-08;1272;1;1271
2013-07-10;1274;1;1273
2013-07-12;1275;1;1274
2013-07-14;1276;1;1275
2013-07-16;1275;1;1274
2013-07-18;1276;1;1275
2013-07-20;1277;1;1276
2013-07-22;1280;1;1279
2013-07-24;1282;1;1281
2013-07-26;1284;1;1283
2013-07-28;1285;1;1284
2013-07-30;1287;1;1286
2013-08-01;1289;1;1288
2013-08-03;1289;1;1288
2013-08-05;1291;1;1290
2013-08-07;1293;1;1292
2013-08-09;1295;1;1294
2013-08-11;1296;1;1295
2013-08-13;1298;1;1297
2013-08-15;1300;1;1299
2013-08-17;1301;1;1300
2013-08-19;1300;1;1299
2013-08-21;1302;1;1301
2013-08-23;1302;1;1301
2013-08-25;1304;1;1303
2013-08-27;1301;1;1300
2013-08-29;1302;1;1301
2013-08-31;1312;1;1311
2013-09-02;1314;1;1313
2013-09-04;1314;1;1313
2013-09-06;1313;1;1312
2013-09-08;1312;1;1311
2013-09-10;1316;1;1315
2013-09-12;1316;1;1315
2013-09-14;1323;1;1322
2013-09-16;1317;1;1316
2013-09-18;1314;1;1313
2013-09-20;1313;1;1312
2013-09-22;1314;1;1313
2013-09-24;1313;1;1312
2013-09-26;1314;1;1313
2013-09-28;1316;1;1315
2013-09-29;1317;1;1316
2013-10-02;1318;1;1317
2013-10-04;1318;1;1317
2013-10-06;1319;1;1318
2013-10-08;1316;1;1315
2013-10-10;1316;1;1315
2013-10-12;1320;1;1319
2013-10-14;1320;1;1319
2013-10-16;1317;1;1316
2013-10-18;1318;1;1317
2013-10-20;1320;1;1319
2013-10-22;1324;1;1323
2013-10-24;1321;1;1320
2013-10-26;1319;1;1318
2013-10-28;1324;1;1323
2013-10-30;1327;1;1326
2013-11-01;1329;1;1328
2013-11-03;1333;1;1332
2013-11-05;1337;1;1336
2013-11-07;1336;1;1335
2013-11-09;1334;1;1333
2013-11-11;1337;1;1336
2013-11-13;1338;1;1337
2013-11-15;1341;1;1340
2013-11-17;1342;1;1341
2013-11-19;1337;1;1336
2013-11-21;1341;1;1340
2013-11-23;1341;1;1340
2013-11-25;1342;1;1341
2013-11-27;1341;1;1340
2013-11-29;1340;1;1339
2013-12-01;1341;1;1340
2013-12-03;1341;1;1340
2013-12-05;1340;1;1339
2013-12-07;1340;1;1339
2013-12-09;1338;1;1337
2013-12-11;1337;1;1336
2013-12-13;1337;1;1336
2013-12-15;1336;1;1335
2013-12-17;1335;1;1334
2013-12-19;1335;1;1334
2013-12-21;1335;1;1334
2013-12-23;1334;1;1333
2013-12-25;1335;1;1334
2013-12-27;1336;1;1335
2013-12-29;1335;1;1334
2013-12-31;1334;1;1333
2014-01-02;1332;1;1331
2014-01-04;1333;1;1332
2014-01-06;1331;1;1330
2014-01-08;1329;1;1328
2014-01-10;1330;1;1329
2014-01-12;1328;1;1327
2014-01-14;1329;1;1328
2014-01-16;1330;1;1329
2014-01-18;1330;1;1329
2014-01-20;1330;1;1329
2014-01-22;1330;1;1329
2014-01-24;1330;1;1329
2014-01-26;1331;1;1330
2014-01-28;1332;1;1331
2014-01-30;1334;1;1333
2014-02-01;1333;1;1332
2014-02-03;1335;1;1334
2014-02-05;1336;1;1335
2014-02-07;1337;1;1336
2014-02-09;1338;1;1337
2014-02-11;1341;1;1340
2014-02-13;1340;1;1339
2014-02-15;1341;1;1340
2014-02-17;1340;1;1339
