date;followers;following;fans
2013-04-18;1891;731;1160
2013-04-20;1892;731;1161
2013-04-22;1891;732;1159
2013-04-24;1890;732;1158
2013-04-26;1895;735;1160
2013-04-28;1894;738;1156
2013-04-30;1896;738;1158
2013-05-02;1895;738;1157
2013-05-04;1895;738;1157
2013-05-06;1892;739;1153
2013-05-08;1904;739;1165
2013-05-10;1907;739;1168
2013-05-12;1906;741;1165
2013-05-14;1906;742;1164
2013-05-16;1908;742;1166
2013-05-18;1908;742;1166
2013-05-20;1906;742;1164
2013-05-22;1908;742;1166
2013-05-24;1911;744;1167
2013-05-26;1908;744;1164
2013-05-28;1904;744;1160
2013-05-30;1905;745;1160
2013-06-01;1904;750;1154
2013-06-03;1913;760;1153
2013-06-05;1917;761;1156
2013-06-07;1918;765;1153
2013-06-09;1915;765;1150
2013-06-11;1913;764;1149
2013-06-20;1916;764;1152
2013-06-22;1916;764;1152
2013-06-24;1915;764;1151
2013-06-26;1914;765;1149
2013-06-28;1913;766;1147
2013-06-30;1911;766;1145
2013-07-02;1911;766;1145
2013-07-04;1911;766;1145
2013-07-06;1911;768;1143
2013-07-08;1912;770;1142
2013-07-10;1913;770;1143
2013-07-12;1916;772;1144
2013-07-14;1915;772;1143
2013-07-16;1917;772;1145
2013-07-18;1916;772;1144
2013-07-20;1917;772;1145
2013-07-22;1919;772;1147
2013-07-24;1917;773;1144
2013-07-26;1916;773;1143
2013-07-28;1913;773;1140
2013-07-30;1913;773;1140
2013-08-01;1912;773;1139
2013-08-03;1913;775;1138
2013-08-05;1911;779;1132
2013-08-07;1912;780;1132
2013-08-09;1914;780;1134
2013-08-11;1914;780;1134
2013-08-13;1914;780;1134
2013-08-15;1914;780;1134
2013-08-17;1916;780;1136
2013-08-19;1916;780;1136
2013-08-21;1914;781;1133
2013-08-23;1915;783;1132
2013-08-25;1915;783;1132
2013-08-27;1914;783;1131
2013-08-29;1913;783;1130
2013-08-31;1915;784;1131
2013-09-02;1914;785;1129
2013-09-04;1916;785;1131
2013-09-06;1914;785;1129
2013-09-08;1910;785;1125
2013-09-10;1910;785;1125
2013-09-12;1911;786;1125
2013-09-14;1910;786;1124
2013-09-16;1911;788;1123
2013-09-18;1910;788;1122
2013-09-20;1909;787;1122
2013-09-22;1907;787;1120
2013-09-24;1905;791;1114
2013-09-26;1905;791;1114
2013-09-28;1910;791;1119
2013-09-30;1907;792;1115
2013-10-02;1908;793;1115
2013-10-04;1907;794;1113
2013-10-06;1906;794;1112
2013-10-08;1904;796;1108
2013-10-10;1905;796;1109
2013-10-12;1905;799;1106
2013-10-14;1903;799;1104
2013-10-16;1905;799;1106
2013-10-18;1902;799;1103
2013-10-20;1903;799;1104
2013-10-22;1900;799;1101
2013-10-24;1900;799;1101
2013-10-26;1899;800;1099
2013-10-28;1898;800;1098
2013-10-30;1897;801;1096
2013-11-01;1898;802;1096
2013-11-03;1899;802;1097
2013-11-05;1900;802;1098
2013-11-07;1899;801;1098
2013-11-09;1898;801;1097
2013-11-11;1898;801;1097
2013-11-13;1897;801;1096
2013-11-15;1897;803;1094
2013-11-17;1897;803;1094
2013-11-19;1897;803;1094
2013-11-21;1898;804;1094
2013-11-23;1899;804;1095
2013-11-25;1897;804;1093
2013-11-27;1897;804;1093
2013-11-29;1898;804;1094
2013-12-01;1894;803;1091
2013-12-03;1894;803;1091
2013-12-05;1893;803;1090
2013-12-07;1890;803;1087
2013-12-09;1890;803;1087
2013-12-11;1891;803;1088
2013-12-13;1892;803;1089
2013-12-15;1891;803;1088
2013-12-17;1891;803;1088
2013-12-19;1891;803;1088
2013-12-21;1892;803;1089
2013-12-23;1891;803;1088
2013-12-25;1891;803;1088
2013-12-27;1891;803;1088
2013-12-29;1891;806;1085
2013-12-31;1889;806;1083
2014-01-02;1891;808;1083
2014-01-04;1890;808;1082
2014-01-06;1890;808;1082
2014-01-08;1890;809;1081
2014-01-10;1891;809;1082
2014-01-12;1887;810;1077
2014-01-14;1886;810;1076
2014-01-16;1886;813;1073
2014-01-18;1887;817;1070
2014-01-20;1888;817;1071
2014-01-22;1886;818;1068
2014-01-24;1886;819;1067
2014-01-26;1884;819;1065
2014-01-28;1886;821;1065
2014-01-30;1887;821;1066
2014-02-01;1889;832;1057
2014-02-03;1887;833;1054
2014-02-05;1887;838;1049
2014-02-07;1887;839;1048
2014-02-09;1886;843;1043
2014-02-11;1884;844;1040
2014-02-13;1886;844;1042
2014-02-15;1885;845;1040
2014-02-17;1884;845;1039
2014-02-19;1883;845;1038
2014-02-21;1885;845;1040
2014-02-23;1885;846;1039
2014-02-25;1880;846;1034
2014-02-27;1877;846;1031
2014-03-01;1875;846;1029
2014-03-03;1873;847;1026
2014-03-05;1874;848;1026
2014-03-07;1876;849;1027
2014-03-09;1877;851;1026
2014-03-11;1879;851;1028
2014-03-13;1879;851;1028
2014-03-15;1879;851;1028
2014-03-17;1879;851;1028
2014-03-19;1880;851;1029
2014-03-21;1882;852;1030
2014-03-23;1883;853;1030
2014-03-25;1883;853;1030
2014-03-27;1883;853;1030
2014-03-29;1880;853;1027
2014-03-31;1880;853;1027
2014-04-02;1881;853;1028
2014-04-04;1880;853;1027
2014-04-06;1880;853;1027
2014-04-08;1878;853;1025
2014-04-10;1878;853;1025
2014-04-12;1879;853;1026
2014-04-14;1877;853;1024
2014-04-16;1878;853;1025
2014-04-18;1879;852;1027
2014-04-20;1879;852;1027
2014-04-22;1878;852;1026
2014-04-24;1876;853;1023
2014-04-26;1878;854;1024
2014-04-28;1877;854;1023
2014-04-30;1875;854;1021
2014-05-02;1875;854;1021
2014-05-04;1876;854;1022
