date;followers;following;fans
2013-04-17;1519;117;1402
2013-04-20;1521;117;1404
2013-04-22;1523;117;1406
2013-04-24;1527;117;1410
2013-04-26;1529;117;1412
2013-04-28;1530;117;1413
2013-04-30;1531;117;1414
2013-05-02;1532;117;1415
2013-05-04;1534;117;1417
2013-05-06;1538;117;1421
2013-05-08;1540;117;1423
2013-05-10;1543;117;1426
2013-05-12;1538;116;1422
2013-05-14;1538;116;1422
2013-05-16;1542;117;1425
2013-05-18;1543;117;1426
2013-05-20;1544;117;1427
2013-05-22;1547;117;1430
2013-05-24;1550;117;1433
2013-05-26;1547;117;1430
2013-05-28;1550;117;1433
2013-05-30;1555;117;1438
2013-06-01;1556;117;1439
2013-06-03;1555;117;1438
2013-06-05;1559;117;1442
2013-06-07;1560;117;1443
2013-06-09;1561;117;1444
2013-06-11;1561;117;1444
2013-06-20;1579;117;1462
2013-06-22;1579;117;1462
2013-06-24;1578;117;1461
2013-06-26;1579;117;1462
2013-06-28;1580;117;1463
2013-06-30;1583;117;1466
2013-07-02;1585;117;1468
2013-07-04;1589;117;1472
2013-07-06;1586;117;1469
2013-07-08;1589;117;1472
2013-07-10;1593;117;1476
2013-07-12;1595;117;1478
2013-07-14;1596;117;1479
2013-07-16;1597;117;1480
2013-07-18;1596;117;1479
2013-07-20;1596;117;1479
2013-07-22;1598;117;1481
2013-07-24;1598;117;1481
2013-07-26;1595;117;1478
2013-07-28;1592;117;1475
2013-07-30;1592;117;1475
2013-08-01;1593;117;1476
2013-08-03;1597;117;1480
2013-08-05;1598;117;1481
2013-08-07;1597;117;1480
2013-08-09;1598;117;1481
2013-08-11;1601;117;1484
2013-08-13;1601;117;1484
2013-08-15;1603;117;1486
2013-08-17;1601;117;1484
2013-08-19;1603;117;1486
2013-08-21;1604;117;1487
2013-08-23;1609;117;1492
2013-08-25;1610;117;1493
2013-08-27;1609;117;1492
2013-08-29;1612;117;1495
2013-08-31;1613;117;1496
2013-09-02;1615;117;1498
2013-09-04;1614;117;1497
2013-09-06;1616;117;1499
2013-09-08;1617;117;1500
2013-09-10;1616;117;1499
2013-09-12;1616;117;1499
2013-09-14;1615;117;1498
2013-09-16;1616;117;1499
2013-09-18;1616;117;1499
2013-09-20;1618;117;1501
2013-09-22;1618;117;1501
2013-09-24;1619;117;1502
2013-09-26;1620;117;1503
2013-09-28;1623;117;1506
2013-09-29;1622;117;1505
2013-10-02;1620;117;1503
2013-10-04;1621;117;1504
2013-10-06;1621;117;1504
2013-10-08;1623;117;1506
2013-10-10;1624;117;1507
2013-10-12;1625;117;1508
2013-10-14;1623;117;1506
2013-10-16;1622;117;1505
2013-10-18;1624;117;1507
2013-10-20;1624;116;1508
2013-10-22;1624;116;1508
2013-10-24;1623;117;1506
2013-10-26;1621;117;1504
2013-10-28;1622;117;1505
2013-10-30;1624;117;1507
2013-11-01;1624;117;1507
2013-11-03;1623;117;1506
2013-11-05;1623;117;1506
2013-11-07;1622;117;1505
2013-11-09;1622;117;1505
2013-11-11;1623;117;1506
2013-11-13;1621;117;1504
2013-11-15;1623;117;1506
2013-11-17;1624;117;1507
2013-11-19;1624;117;1507
2013-11-21;1625;117;1508
2013-11-23;1623;117;1506
2013-11-25;1622;117;1505
2013-11-27;1626;117;1509
2013-11-29;1628;117;1511
2013-12-01;1627;117;1510
2013-12-03;1626;117;1509
2013-12-05;1625;117;1508
2013-12-07;1624;117;1507
2013-12-09;1621;117;1504
2013-12-11;1621;117;1504
2013-12-13;1621;117;1504
2013-12-15;1621;117;1504
2013-12-17;1620;117;1503
2013-12-19;1622;117;1505
2013-12-21;1622;117;1505
2013-12-23;1620;117;1503
2013-12-25;1620;117;1503
2013-12-27;1620;117;1503
2013-12-29;1619;117;1502
2013-12-31;1620;117;1503
2014-01-02;1620;117;1503
2014-01-04;1622;117;1505
2014-01-06;1623;117;1506
2014-01-08;1623;117;1506
2014-01-10;1627;117;1510
2014-01-12;1627;117;1510
2014-01-14;1629;117;1512
2014-01-16;1630;117;1513
2014-01-18;1631;117;1514
2014-01-20;1631;117;1514
2014-01-22;1633;117;1516
2014-01-24;1634;117;1517
2014-01-26;1635;117;1518
2014-01-28;1632;117;1515
2014-01-30;1631;117;1514
2014-02-01;1633;117;1516
2014-02-03;1630;117;1513
2014-02-05;1629;117;1512
2014-02-07;1630;117;1513
2014-02-09;1630;117;1513
2014-02-11;1628;116;1512
2014-02-13;1634;116;1518
2014-02-15;1649;116;1533
2014-02-17;1651;116;1535
2014-02-19;1650;116;1534
2014-02-21;1652;116;1536
2014-02-23;1652;116;1536
2014-02-25;1652;116;1536
2014-02-27;1651;116;1535
2014-03-01;1652;116;1536
2014-03-03;1652;116;1536
2014-03-05;1654;116;1538
2014-03-07;1652;116;1536
2014-03-09;1653;116;1537
2014-03-11;1652;116;1536
2014-03-13;1654;116;1538
2014-03-15;1655;116;1539
2014-03-17;1655;117;1538
2014-03-19;1657;117;1540
2014-03-21;1662;117;1545
2014-03-23;1663;117;1546
2014-03-25;1665;117;1548
2014-03-27;1665;117;1548
2014-03-29;1665;117;1548
2014-03-31;1665;117;1548
2014-04-02;1667;117;1550
2014-04-04;1669;117;1552
2014-04-06;1668;116;1552
2014-04-08;1671;116;1555
2014-04-10;1672;116;1556
2014-04-12;1675;116;1559
2014-04-14;1675;116;1559
2014-04-16;1678;116;1562
2014-04-18;1678;116;1562
2014-04-20;1679;116;1563
2014-04-22;1680;116;1564
2014-04-24;1682;116;1566
2014-04-26;1684;116;1568
2014-04-28;1684;116;1568
2014-04-30;1682;116;1566
2014-05-02;1683;116;1567
2014-05-04;1686;116;1570
