date;followers;following;fans
2013-08-01;1305;304;1001
2013-08-03;1307;304;1003
2013-08-06;1312;304;1008
2013-08-08;1314;304;1010
2013-08-10;1316;304;1012
2013-08-12;1319;304;1015
2013-08-14;1321;304;1017
2013-08-16;1323;304;1019
2013-08-18;1323;304;1019
2013-08-20;1323;304;1019
2013-08-22;1326;304;1022
2013-08-24;1328;304;1024
2013-08-26;1330;304;1026
2013-08-28;1331;304;1027
2013-08-30;1334;304;1030
2013-09-01;1334;304;1030
2013-09-03;1340;304;1036
2013-09-05;1345;304;1041
2013-09-07;1347;304;1043
2013-09-09;1352;304;1048
2013-09-11;1355;304;1051
2013-09-13;1360;304;1056
2013-09-15;1360;304;1056
2013-09-17;1363;304;1059
2013-09-19;1362;304;1058
2013-09-21;1360;304;1056
2013-09-23;1364;304;1060
2013-09-25;1369;304;1065
2013-09-27;1369;304;1065
2013-09-29;1372;304;1068
2013-10-01;1377;304;1073
2013-10-03;1378;304;1074
2013-10-05;1378;304;1074
2013-10-07;1385;304;1081
2013-10-09;1388;304;1084
2013-10-11;1392;304;1088
2013-10-13;1396;304;1092
2013-10-15;1401;304;1097
2013-10-17;1403;304;1099
2013-10-19;1406;304;1102
2013-10-21;1408;304;1104
2013-10-23;1411;304;1107
2013-10-25;1413;304;1109
2013-10-27;1419;304;1115
2013-10-28;1422;304;1118
2013-10-30;1427;304;1123
2013-11-01;1429;304;1125
2013-11-03;1432;304;1128
2013-11-06;1433;304;1129
2013-11-08;1433;304;1129
2013-11-10;1437;304;1133
2013-11-12;1443;304;1139
2013-11-14;1451;304;1147
2013-11-16;1457;304;1153
2013-11-18;1466;304;1162
2013-11-19;1472;304;1168
2013-11-21;1478;304;1174
2013-11-23;1483;304;1179
2013-11-26;1489;303;1186
2013-11-28;1494;303;1191
2013-11-30;1494;303;1191
2013-12-02;1501;303;1198
2013-12-04;1507;303;1204
2013-12-06;1514;303;1211
2013-12-08;1521;303;1218
2013-12-10;1524;303;1221
2013-12-12;1533;303;1230
2013-12-13;1536;303;1233
2013-12-16;1537;303;1234
2013-12-18;1539;303;1236
2013-12-20;1542;303;1239
2013-12-22;1544;303;1241
2013-12-24;1546;303;1243
2013-12-26;1545;302;1243
2013-12-28;1546;302;1244
2013-12-30;1550;302;1248
2014-01-01;1562;302;1260
2014-01-03;1569;302;1267
2014-01-05;1586;302;1284
2014-01-07;1594;302;1292
2014-01-09;1599;302;1297
2014-01-11;1607;302;1305
2014-01-13;1611;302;1309
2014-01-15;1617;300;1317
2014-01-17;1618;300;1318
2014-01-19;1623;300;1323
2014-01-21;1622;300;1322
2014-01-23;1627;300;1327
2014-01-25;1628;300;1328
2014-01-26;1630;300;1330
2014-01-29;1633;300;1333
2014-02-01;1636;300;1336
2014-02-03;1639;300;1339
2014-02-04;1641;300;1341
2014-02-07;1644;300;1344
2014-02-09;1643;300;1343
2014-02-11;1644;300;1344
2014-02-13;1648;300;1348
2014-02-15;1651;300;1351
2014-02-17;1656;300;1356
2014-02-19;1654;300;1354
2014-02-21;1656;300;1356
2014-02-23;1657;300;1357
2014-02-25;1659;300;1359
2014-02-27;1661;300;1361
2014-03-01;1660;300;1360
2014-03-03;1661;300;1361
2014-03-05;1664;301;1363
2014-03-07;1665;300;1365
2014-03-09;1666;300;1366
2014-03-11;1669;300;1369
2014-03-13;1671;300;1371
2014-03-15;1670;300;1370
2014-03-17;1671;300;1371
2014-03-19;1674;300;1374
2014-03-21;1677;300;1377
2014-03-23;1686;300;1386
2014-03-25;1690;300;1390
2014-03-27;1694;300;1394
2014-03-29;1698;300;1398
2014-03-31;1700;300;1400
2014-04-02;1705;300;1405
2014-04-04;1706;300;1406
2014-04-06;1708;300;1408
2014-04-08;1710;300;1410
2014-04-10;1715;300;1415
2014-04-12;1723;300;1423
2014-04-14;1730;300;1430
2014-04-16;1733;300;1433
2014-04-18;1737;300;1437
2014-04-20;1737;300;1437
2014-04-22;1739;300;1439
2014-04-24;1743;300;1443
2014-04-26;1745;300;1445
2014-04-28;1745;300;1445
2014-04-30;1747;300;1447
2014-05-02;1751;300;1451
2014-05-04;1750;300;1450
