date;followers;following;fans
2014-02-26;2242;18;2224
2014-03-01;2245;17;2228
2014-03-03;2246;17;2229
2014-03-05;2247;17;2230
2014-03-07;2247;17;2230
2014-03-09;2243;17;2226
2014-03-11;2243;17;2226
2014-03-13;2242;17;2225
2014-03-15;2241;17;2224
2014-03-17;2244;17;2227
2014-03-19;2244;17;2227
2014-03-21;2245;17;2228
2014-03-23;2245;17;2228
2014-03-25;2246;17;2229
2014-03-27;2246;17;2229
2014-03-29;2246;17;2229
2014-03-31;2245;17;2228
2014-04-02;2245;17;2228
2014-04-04;2243;17;2226
2014-04-06;2242;17;2225
2014-04-08;2242;17;2225
2014-04-10;2241;17;2224
2014-04-12;2242;17;2225
2014-04-14;2242;17;2225
2014-04-16;2243;17;2226
2014-04-18;2241;17;2224
2014-04-20;2241;17;2224
2014-04-22;2239;17;2222
2014-04-24;2236;17;2219
2014-04-26;2234;17;2217
2014-04-28;2234;17;2217
2014-04-30;2234;18;2216
2014-05-02;2237;18;2219
2014-05-04;2235;18;2217
