date;followers;following;fans
2013-04-18;1871;3;1868
2013-04-20;1875;3;1872
2013-04-22;1878;3;1875
2013-04-24;1881;3;1878
2013-04-26;1883;3;1880
2013-04-28;1891;3;1888
2013-04-30;1892;3;1889
2013-05-02;1891;3;1888
2013-05-04;1888;3;1885
2013-05-06;1895;3;1892
2013-05-08;1903;3;1900
2013-05-10;1906;3;1903
2013-05-12;1905;3;1902
2013-05-14;1911;3;1908
2013-05-16;1923;3;1920
2013-05-18;1931;3;1928
2013-05-20;1930;3;1927
2013-05-22;1936;3;1933
2013-05-24;1936;3;1933
2013-05-26;1936;3;1933
2013-05-28;1944;3;1941
2013-05-30;1953;3;1950
2013-06-01;1956;3;1953
2013-06-03;1981;3;1978
2013-06-05;2048;3;2045
2013-06-07;2067;3;2064
2013-06-09;2070;3;2067
2013-06-11;2080;3;2077
2013-06-20;2113;3;2110
2013-06-22;2123;3;2120
2013-06-24;2126;3;2123
2013-06-26;2127;3;2124
2013-06-28;2135;3;2132
2013-06-30;2136;3;2133
2013-07-02;2137;3;2134
2013-07-04;2135;3;2132
2013-07-06;2142;3;2139
2013-07-08;2147;3;2144
2013-07-10;2153;3;2150
2013-07-12;2160;3;2157
2013-07-14;2170;3;2167
2013-07-16;2176;3;2173
2013-07-18;2180;3;2177
2013-07-20;2187;3;2184
2013-07-22;2191;3;2188
2013-07-24;2197;3;2194
2013-07-26;2201;3;2198
2013-07-28;2202;3;2199
2013-07-30;2204;3;2201
2013-08-01;2217;3;2214
2013-08-03;2223;3;2220
2013-08-05;2229;3;2226
2013-08-07;2232;3;2229
2013-08-09;2241;3;2238
2013-08-11;2245;3;2242
2013-08-13;2249;3;2246
2013-08-15;2255;3;2252
2013-08-17;2258;3;2255
2013-08-19;2265;3;2262
2013-08-21;2272;3;2269
2013-08-23;2277;3;2274
2013-08-25;2282;3;2279
2013-08-27;2288;3;2285
2013-08-29;2294;3;2291
2013-08-31;2299;3;2296
2013-09-02;2303;3;2300
2013-09-04;2308;3;2305
2013-09-06;2307;3;2304
2013-09-08;2313;3;2310
2013-09-10;2321;3;2318
2013-09-12;2326;3;2323
2013-09-14;2334;3;2331
2013-09-16;2341;3;2338
2013-09-18;2344;3;2341
2013-09-20;2343;3;2340
2013-09-22;2352;3;2349
2013-09-24;2363;3;2360
2013-09-26;2363;3;2360
2013-09-28;2370;3;2367
2013-09-29;2373;3;2370
2013-10-02;2380;3;2377
2013-10-04;2382;3;2379
2013-10-06;2387;3;2384
2013-10-08;2390;3;2387
2013-10-10;2394;3;2391
2013-10-12;2394;3;2391
2013-10-14;2396;3;2393
2013-10-16;2408;3;2405
2013-10-18;2413;3;2410
2013-10-20;2415;3;2412
2013-10-22;2422;3;2419
2013-10-24;2432;3;2429
2013-10-26;2442;3;2439
2013-10-28;2454;3;2451
2013-10-30;2464;3;2461
2013-11-01;2474;3;2471
2013-11-03;2471;3;2468
2013-11-05;2478;3;2475
2013-11-07;2491;3;2488
2013-11-09;2499;3;2496
2013-11-10;2507;3;2504
2013-11-12;2507;3;2504
2013-11-13;2513;3;2510
2013-11-14;2514;3;2511
2013-11-15;2520;3;2517
2013-11-17;2528;3;2525
2013-11-18;2538;3;2535
2013-11-19;2542;3;2539
2013-11-20;2544;3;2541
2013-11-21;2545;3;2542
2013-11-23;2547;3;2544
2013-11-24;2555;3;2552
2013-11-25;2552;3;2549
2013-11-26;2559;3;2556
2013-11-28;2565;3;2562
2013-11-29;2566;3;2563
2013-11-30;2568;3;2565
2013-12-01;2572;3;2569
2013-12-03;2574;3;2571
2013-12-04;2579;3;2576
2013-12-05;2579;3;2576
2013-12-06;2587;3;2584
2013-12-08;2592;3;2589
2013-12-09;2595;3;2592
2013-12-10;2597;3;2594
2013-12-11;2611;3;2608
2013-12-12;2621;3;2618
2013-12-14;2618;3;2615
2013-12-15;2620;3;2617
2013-12-16;2621;3;2618
2013-12-18;2626;3;2623
2013-12-19;2628;3;2625
2013-12-20;2629;3;2626
2013-12-21;2629;3;2626
2013-12-22;2632;3;2629
2013-12-24;2635;3;2632
2013-12-25;2637;3;2634
2013-12-26;2635;3;2632
2013-12-28;2636;3;2633
2013-12-29;2638;3;2635
2013-12-30;2645;3;2642
2013-12-31;2644;3;2641
2014-01-02;2649;3;2646
2014-01-03;2652;3;2649
2014-01-04;2662;3;2659
2014-01-06;2671;3;2668
2014-01-07;2675;3;2672
2014-01-08;2674;3;2671
2014-01-09;2671;3;2668
2014-01-11;2674;3;2671
2014-01-12;2678;3;2675
2014-01-13;2677;3;2674
2014-01-14;2681;3;2678
2014-01-16;2681;3;2678
2014-01-17;2681;3;2678
2014-01-18;2685;3;2682
2014-01-20;2689;3;2686
2014-01-21;2699;3;2696
2014-01-22;2702;3;2699
2014-01-23;2712;3;2709
2014-01-25;2710;3;2707
2014-01-26;2715;3;2712
2014-01-27;2723;3;2720
2014-01-29;2725;3;2722
2014-01-31;2729;3;2726
2014-02-01;2734;3;2731
2014-02-02;2734;3;2731
2014-02-04;2736;3;2733
2014-02-05;2736;3;2733
2014-02-06;2736;3;2733
2014-02-07;2738;3;2735
2014-02-09;2738;3;2735
2014-02-10;2736;3;2733
2014-02-11;2735;3;2732
2014-02-12;2735;3;2732
2014-02-14;2736;3;2733
2014-02-15;2737;3;2734
2014-02-16;2739;3;2736
2014-02-17;2744;3;2741
2014-02-19;2743;3;2740
2014-02-20;2747;3;2744
2014-02-22;2753;3;2750
2014-02-23;2756;3;2753
2014-02-24;2753;3;2750
2014-02-26;2751;3;2748
2014-02-27;2757;3;2754
2014-02-28;2760;3;2757
2014-03-02;2764;3;2761
2014-03-03;2767;3;2764
2014-03-04;2767;3;2764
2014-03-06;2768;3;2765
2014-03-07;2768;3;2765
2014-03-08;2768;3;2765
2014-03-10;2769;3;2766
2014-03-11;2774;3;2771
2014-03-13;2779;3;2776
2014-03-14;2780;3;2777
2014-03-15;2784;3;2781
2014-03-16;2785;3;2782
2014-03-18;2787;3;2784
2014-03-19;2791;3;2788
2014-03-20;2804;3;2801
2014-03-22;2804;3;2801
2014-03-23;2806;3;2803
2014-03-24;2808;3;2805
2014-03-26;2813;3;2810
2014-03-27;2818;3;2815
2014-03-28;2826;3;2823
2014-03-30;2828;3;2825
2014-03-31;2829;3;2826
2014-04-02;2830;3;2827
2014-04-03;2834;3;2831
2014-04-04;2836;3;2833
2014-04-06;2844;3;2841
2014-04-07;2849;3;2846
2014-04-09;2856;3;2853
2014-04-10;2859;3;2856
2014-04-12;2859;3;2856
2014-04-13;2856;3;2853
2014-04-14;2858;3;2855
2014-04-15;2864;3;2861
2014-04-17;2866;3;2863
2014-04-18;2867;3;2864
2014-04-20;2869;3;2866
2014-04-21;2871;3;2868
2014-04-22;2868;3;2865
2014-04-24;2875;3;2872
2014-04-25;2878;3;2875
2014-04-26;2883;3;2880
2014-04-27;2885;3;2882
2014-04-29;2884;3;2881
2014-04-30;2886;3;2883
2014-05-01;2893;3;2890
2014-05-03;2893;3;2890
2014-05-04;2896;3;2893
2014-05-06;2892;3;2889
