date;followers;following;fans
2013-04-18;2468;935;1533
2013-04-20;2470;935;1535
2013-04-22;2473;935;1538
2013-04-24;2473;935;1538
2013-04-26;2476;935;1541
2013-04-28;2480;935;1545
2013-04-30;2482;936;1546
2013-05-02;2484;936;1548
2013-05-04;2488;936;1552
2013-05-06;2491;936;1555
2013-05-08;2492;937;1555
2013-05-10;2497;937;1560
2013-05-12;2491;934;1557
2013-05-14;2499;935;1564
2013-05-16;2505;938;1567
2013-05-18;2509;941;1568
2013-05-20;2512;942;1570
2013-05-22;2514;942;1572
2013-05-24;2516;942;1574
2013-05-26;2519;942;1577
2013-05-28;2517;943;1574
2013-05-30;2518;944;1574
2013-06-01;2523;944;1579
2013-06-03;2525;946;1579
2013-06-05;2525;946;1579
2013-06-07;2529;947;1582
2013-06-09;2529;949;1580
2013-06-11;2529;949;1580
2013-06-20;2538;949;1589
2013-06-22;2539;949;1590
2013-06-24;2542;949;1593
2013-06-26;2540;949;1591
2013-06-28;2543;950;1593
2013-06-30;2551;950;1601
2013-07-02;2548;949;1599
2013-07-04;2553;949;1604
2013-07-06;2554;949;1605
2013-07-08;2555;948;1607
2013-07-10;2559;949;1610
2013-07-12;2572;949;1623
2013-07-14;2578;950;1628
2013-07-16;2584;950;1634
2013-07-18;2588;951;1637
2013-07-20;2594;951;1643
2013-07-22;2593;951;1642
2013-07-24;2596;950;1646
2013-07-26;2596;950;1646
2013-07-28;2593;950;1643
2013-07-30;2594;950;1644
2013-08-01;2592;950;1642
2013-08-03;2598;950;1648
2013-08-05;2598;950;1648
2013-08-07;2603;950;1653
2013-08-09;2604;950;1654
2013-08-11;2605;951;1654
2013-08-13;2608;951;1657
2013-08-15;2611;950;1661
2013-08-17;2611;950;1661
2013-08-19;2615;950;1665
2013-08-21;2615;950;1665
2013-08-23;2620;949;1671
2013-08-25;2620;949;1671
2013-08-27;2623;949;1674
2013-08-29;2624;950;1674
2013-08-31;2629;950;1679
2013-09-02;2629;950;1679
2013-09-04;2631;950;1681
2013-09-06;2633;950;1683
2013-09-08;2635;950;1685
2013-09-10;2637;950;1687
2013-09-12;2642;949;1693
2013-09-14;2645;949;1696
2013-09-16;2645;949;1696
2013-09-18;2649;949;1700
2013-09-20;2654;949;1705
2013-09-22;2655;949;1706
2013-09-24;2656;949;1707
2013-09-26;2660;949;1711
2013-09-28;2664;949;1715
2013-09-30;2663;950;1713
2013-10-02;2669;950;1719
2013-10-04;2675;950;1725
2013-10-06;2679;950;1729
2013-10-08;2681;953;1728
2013-10-10;2681;953;1728
2013-10-12;2678;953;1725
2013-10-14;2677;952;1725
2013-10-16;2677;953;1724
2013-10-18;2675;953;1722
2013-10-20;2680;953;1727
2013-10-22;2681;954;1727
2013-10-24;2683;955;1728
2013-10-26;2688;956;1732
2013-10-28;2690;956;1734
2013-10-30;2690;956;1734
2013-11-01;2689;956;1733
2013-11-03;2688;957;1731
2013-11-05;2691;957;1734
2013-11-07;2696;957;1739
2013-11-09;2697;958;1739
2013-11-11;2698;958;1740
2013-11-13;2696;958;1738
2013-11-15;2697;959;1738
2013-11-17;2697;959;1738
2013-11-19;2694;959;1735
2013-11-21;2694;960;1734
2013-11-23;2696;960;1736
2013-11-25;2696;961;1735
2013-11-27;2696;961;1735
2013-11-29;2698;961;1737
2013-12-01;2702;961;1741
2013-12-03;2701;961;1740
2013-12-05;2703;961;1742
2013-12-07;2707;961;1746
2013-12-09;2708;961;1747
2013-12-11;2713;961;1752
2013-12-13;2716;960;1756
2013-12-15;2715;960;1755
2013-12-17;2719;961;1758
2013-12-19;2719;962;1757
2013-12-21;2720;963;1757
2013-12-23;2718;963;1755
2013-12-25;2719;963;1756
2013-12-27;2721;963;1758
2013-12-29;2723;963;1760
2013-12-31;2723;963;1760
2014-01-02;2722;963;1759
2014-01-04;2722;963;1759
2014-01-06;2723;962;1761
2014-01-08;2722;962;1760
2014-01-10;2722;964;1758
2014-01-12;2722;964;1758
2014-01-14;2725;964;1761
2014-01-16;2727;965;1762
2014-01-18;2727;966;1761
2014-01-20;2730;966;1764
2014-01-22;2733;967;1766
2014-01-24;2736;968;1768
2014-01-26;2740;968;1772
2014-01-28;2746;967;1779
2014-01-30;2745;968;1777
2014-02-01;2748;968;1780
2014-02-03;2746;968;1778
2014-02-05;2754;970;1784
2014-02-07;2756;970;1786
2014-02-09;2758;970;1788
2014-02-11;2760;970;1790
2014-02-13;2762;970;1792
2014-02-15;2770;971;1799
2014-02-17;2774;971;1803
2014-02-19;2775;971;1804
2014-02-21;2778;973;1805
2014-02-23;2780;973;1807
2014-02-25;2781;973;1808
2014-02-27;2784;973;1811
2014-03-01;2785;973;1812
2014-03-03;2784;973;1811
2014-03-05;2790;973;1817
2014-03-07;2795;974;1821
2014-03-09;2797;974;1823
2014-03-11;2799;973;1826
2014-03-13;2800;973;1827
2014-03-15;2800;972;1828
2014-03-17;2800;972;1828
2014-03-19;2803;972;1831
2014-03-21;2805;972;1833
2014-03-23;2808;972;1836
2014-03-25;2810;973;1837
2014-03-27;2812;973;1839
2014-03-29;2818;974;1844
2014-03-31;2820;974;1846
2014-04-02;2824;975;1849
2014-04-04;2828;975;1853
2014-04-06;2828;975;1853
2014-04-08;2830;975;1855
2014-04-10;2829;975;1854
