date;followers;following;fans
2013-04-18;7618;571;7047
2013-04-19;7633;571;7062
2013-04-20;7642;571;7071
2013-04-21;7644;570;7074
2013-04-22;7650;570;7080
2013-04-23;7662;570;7092
2013-04-24;7676;570;7106
2013-04-25;7680;571;7109
2013-04-26;7682;571;7111
2013-04-27;7683;571;7112
2013-04-28;7682;571;7111
2013-04-29;7684;571;7113
2013-04-30;7690;571;7119
2013-05-01;7700;571;7129
2013-05-02;7703;571;7132
2013-05-03;7710;571;7139
2013-05-04;7715;571;7144
2013-05-05;7724;571;7153
2013-05-06;7725;570;7155
2013-05-07;7728;570;7158
2013-05-08;7738;571;7167
2013-05-09;7744;571;7173
2013-05-10;7744;570;7174
2013-05-11;7730;570;7160
2013-05-12;7736;571;7165
2013-05-13;7736;571;7165
2013-05-14;7746;571;7175
2013-05-15;7760;572;7188
2013-05-16;7772;571;7201
2013-05-17;7781;574;7207
2013-05-18;7792;573;7219
2013-05-19;7796;573;7223
2013-05-20;7797;573;7224
2013-05-21;7795;573;7222
2013-05-22;7797;574;7223
2013-05-23;7802;575;7227
2013-05-24;7805;575;7230
2013-05-25;7816;575;7241
2013-05-26;7820;575;7245
2013-05-27;7823;575;7248
2013-05-28;7825;575;7250
2013-05-29;7824;575;7249
2013-05-30;7825;575;7250
2013-05-31;7831;575;7256
2013-06-01;7834;575;7259
2013-06-02;7835;575;7260
2013-06-03;7837;575;7262
2013-06-04;7841;575;7266
2013-06-05;7847;575;7272
2013-06-06;7851;574;7277
2013-06-07;7853;575;7278
2013-06-08;7862;575;7287
2013-06-09;7861;575;7286
2013-06-10;7866;575;7291
2013-06-11;7872;575;7297
2013-06-20;7903;574;7329
2013-06-21;7910;574;7336
2013-06-22;7916;574;7342
2013-06-23;7920;574;7346
2013-06-24;7919;574;7345
2013-06-25;7923;574;7349
2013-06-26;7928;574;7354
2013-06-27;7936;575;7361
2013-06-28;7946;575;7371
2013-06-29;7947;575;7372
2013-06-30;7951;575;7376
2013-07-01;7952;575;7377
2013-07-02;7959;575;7384
2013-07-03;7965;575;7390
2013-07-04;7962;575;7387
2013-07-05;7973;576;7397
2013-07-06;7976;576;7400
2013-07-07;7976;576;7400
2013-07-08;7973;576;7397
2013-07-10;7983;576;7407
2013-07-11;7982;576;7406
2013-07-12;7983;576;7407
2013-07-13;7984;576;7408
2013-07-14;7990;576;7414
2013-07-15;7997;575;7422
2013-07-16;7997;575;7422
2013-07-17;8002;575;7427
2013-07-18;8007;576;7431
2013-07-19;8005;576;7429
2013-07-20;8009;576;7433
2013-07-21;8010;576;7434
2013-07-22;8015;576;7439
2013-07-23;8014;576;7438
2013-07-24;8021;576;7445
2013-07-25;8023;576;7447
2013-07-26;8028;576;7452
2013-07-27;8027;576;7451
2013-07-28;8028;575;7453
2013-07-29;8033;575;7458
2013-07-30;8037;576;7461
2013-07-31;8038;576;7462
2013-08-01;8042;576;7466
2013-08-02;8047;576;7471
2013-08-03;8042;576;7466
2013-08-04;8038;576;7462
2013-08-05;8039;575;7464
2013-08-06;8040;575;7465
2013-08-07;8043;575;7468
2013-08-08;8037;575;7462
2013-08-09;8041;575;7466
2013-08-10;8041;575;7466
2013-08-11;8042;575;7467
2013-08-12;8042;575;7467
2013-08-13;8045;575;7470
2013-08-14;8048;575;7473
2013-08-15;8049;574;7475
2013-08-16;8052;574;7478
2013-08-17;8052;574;7478
2013-08-18;8051;574;7477
2013-08-19;8051;575;7476
2013-08-20;8048;575;7473
2013-08-21;8048;575;7473
2013-08-22;8053;575;7478
2013-08-23;8053;575;7478
2013-08-24;8055;575;7480
2013-08-25;8050;575;7475
2013-08-26;8055;575;7480
2013-08-27;8055;575;7480
2013-08-28;8054;575;7479
2013-08-29;8055;575;7480
2013-08-30;8057;575;7482
2013-08-31;8057;575;7482
2013-09-01;8056;575;7481
2013-09-02;8059;575;7484
2013-09-03;8061;575;7486
2013-09-04;8060;575;7485
2013-09-05;8062;575;7487
2013-09-06;8064;575;7489
2013-09-07;8066;575;7491
2013-09-08;8066;575;7491
2013-09-09;8067;575;7492
2013-09-10;8069;575;7494
2013-09-11;8066;575;7491
2013-09-12;8061;575;7486
2013-09-13;8056;575;7481
2013-09-14;8059;574;7485
2013-09-15;8054;574;7480
2013-09-16;8057;575;7482
2013-09-17;8059;575;7484
2013-09-18;8059;575;7484
2013-09-19;8058;575;7483
2013-09-20;8055;575;7480
2013-09-21;8055;575;7480
2013-09-22;8057;575;7482
2013-09-23;8061;575;7486
