date;followers;following;fans
2014-03-26;1162;161;1001
2014-03-28;1162;161;1001
2014-03-30;1163;161;1002
2014-04-01;1164;161;1003
2014-04-03;1162;161;1001
2014-04-05;1163;161;1002
2014-04-07;1164;161;1003
2014-04-09;1164;160;1004
2014-04-11;1167;160;1007
2014-04-13;1166;160;1006
2014-04-15;1170;160;1010
2014-04-17;1171;160;1011
2014-04-19;1170;160;1010
2014-04-21;1173;160;1013
2014-04-23;1175;160;1015
2014-04-25;1177;160;1017
2014-04-27;1177;160;1017
2014-04-29;1178;160;1018
2014-05-01;1180;160;1020
2014-05-03;1184;160;1024
2014-05-05;1182;161;1021
