date;followers;following;fans
2013-04-17;5889;3753;2136
2013-04-20;5894;3752;2142
2013-04-22;5896;3752;2144
2013-04-24;5893;3752;2141
2013-04-26;5892;3752;2140
2013-04-28;5895;3753;2142
2013-04-30;5895;3753;2142
2013-05-02;5897;3753;2144
2013-05-04;5898;3752;2146
2013-05-06;5901;3752;2149
2013-05-08;5897;3750;2147
2013-05-10;5892;3748;2144
2013-05-12;5816;3694;2122
2013-05-14;5825;3702;2123
2013-05-16;5872;3729;2143
2013-05-18;5892;3749;2143
2013-05-20;5890;3748;2142
2013-05-22;5889;3748;2141
2013-05-24;5888;3747;2141
2013-05-26;5882;3744;2138
2013-05-28;5881;3745;2136
2013-05-30;5881;3746;2135
2013-06-01;5878;3745;2133
2013-06-03;5879;3744;2135
2013-06-05;5882;3746;2136
2013-06-07;5883;3747;2136
2013-06-09;5883;3747;2136
2013-06-11;5880;3745;2135
2013-06-20;5874;3746;2128
2013-06-22;5874;3746;2128
2013-06-24;5872;3746;2126
2013-06-26;5872;3746;2126
2013-06-28;5872;3746;2126
2013-06-30;5871;3745;2126
2013-07-02;5869;3743;2126
2013-07-04;5870;3743;2127
2013-07-06;5863;3743;2120
2013-07-08;5863;3744;2119
2013-07-10;5863;3745;2118
2013-07-12;5861;3746;2115
2013-07-14;5860;3746;2114
2013-07-16;5858;3745;2113
2013-07-18;5855;3746;2109
2013-07-20;5855;3743;2112
2013-07-22;5853;3743;2110
2013-07-24;5853;3744;2109
2013-07-26;5849;3742;2107
2013-07-28;5830;3726;2104
2013-07-30;5827;3724;2103
2013-08-01;5823;3723;2100
2013-08-03;5827;3725;2102
2013-08-05;5824;3723;2101
2013-08-07;5820;3726;2094
2013-08-09;5815;3726;2089
2013-08-11;5813;3725;2088
2013-08-13;5815;3726;2089
2013-08-15;5811;3724;2087
2013-08-17;5811;3723;2088
2013-08-19;5812;3723;2089
2013-08-21;5813;3723;2090
2013-08-23;5814;3724;2090
2013-08-25;5814;3725;2089
2013-08-27;5813;3725;2088
2013-08-29;5811;3725;2086
2013-08-31;5809;3725;2084
2013-09-02;5808;3725;2083
