date;followers;following;fans
2014-03-14;1139;48;1091
2014-03-16;1146;48;1098
2014-03-18;1152;48;1104
2014-03-20;1160;48;1112
2014-03-22;1162;48;1114
2014-03-24;1164;48;1116
2014-03-26;1164;48;1116
2014-03-28;1167;48;1119
2014-03-30;1171;49;1122
2014-04-01;1177;49;1128
2014-04-03;1185;49;1136
2014-04-05;1191;49;1142
2014-04-07;1194;49;1145
2014-04-09;1197;49;1148
2014-04-11;1201;49;1152
2014-04-13;1204;49;1155
2014-04-15;1209;49;1160
2014-04-17;1213;49;1164
2014-04-19;1213;49;1164
2014-04-21;1214;49;1165
2014-04-23;1214;49;1165
2014-04-25;1217;49;1168
2014-04-27;1223;49;1174
2014-04-29;1235;49;1186
2014-05-01;1238;49;1189
2014-05-03;1247;49;1198
2014-05-05;1249;49;1200
