date;followers;following;fans
2013-08-04;2038;0;2038
2013-08-06;2055;0;2055
2013-08-08;2085;0;2085
2013-08-10;2102;0;2102
2013-08-12;2120;0;2120
2013-08-14;2140;0;2140
2013-08-16;2159;0;2159
2013-08-18;2170;0;2170
2013-08-20;2190;0;2190
2013-08-22;2220;0;2220
2013-08-24;2235;0;2235
2013-08-26;2258;0;2258
2013-08-28;2288;0;2288
2013-08-30;2312;0;2312
2013-09-01;2332;0;2332
2013-09-03;2354;0;2354
2013-09-05;2398;0;2398
2013-09-07;2429;0;2429
2013-09-09;2453;0;2453
2013-09-11;2487;0;2487
2013-09-13;2515;0;2515
2013-09-14;2531;0;2531
2013-09-15;2541;0;2541
2013-09-16;2559;0;2559
2013-09-17;2573;0;2573
2013-09-18;2603;0;2603
2013-09-20;2647;0;2647
2013-09-21;2670;0;2670
2013-09-22;2680;0;2680
2013-09-23;2700;0;2700
2013-09-24;2723;0;2723
2013-09-25;2741;0;2741
2013-09-27;2765;0;2765
2013-09-28;2776;0;2776
2013-09-29;2786;0;2786
2013-09-30;2873;0;2873
2013-10-01;2899;0;2899
2013-10-02;2942;0;2942
2013-10-04;2954;0;2954
2013-10-05;2971;0;2971
2013-10-06;2990;0;2990
2013-10-07;3007;0;3007
2013-10-09;3033;0;3033
2013-10-10;3047;0;3047
2013-10-11;3065;0;3065
2013-10-12;3081;0;3081
2013-10-13;3094;0;3094
2013-10-15;3116;0;3116
2013-10-16;3132;0;3132
2013-10-17;3148;0;3148
2013-10-18;3165;0;3165
2013-10-19;3172;0;3172
2013-10-21;3198;0;3198
2013-10-22;3213;0;3213
2013-10-23;3226;0;3226
2013-10-24;3236;0;3236
2013-10-25;3257;0;3257
2013-10-27;3269;0;3269
2013-10-28;3288;0;3288
2013-10-29;3305;0;3305
2013-10-30;3306;0;3306
2013-10-31;3321;0;3321
2013-11-02;3327;0;3327
2013-11-03;3334;0;3334
2013-11-04;3341;0;3341
2013-11-05;3359;0;3359
2013-11-06;3374;0;3374
2013-11-08;3388;0;3388
2013-11-09;3411;0;3411
2013-11-10;3424;0;3424
2013-11-11;3443;0;3443
2013-11-12;3466;0;3466
2013-11-14;3471;0;3471
2013-11-15;3490;0;3490
2013-11-16;3495;0;3495
2013-11-17;3510;0;3510
2013-11-19;3520;0;3520
2013-11-20;3535;0;3535
2013-11-21;3543;0;3543
2013-11-22;3567;0;3567
2013-11-24;3578;0;3578
2013-11-25;3591;0;3591
2013-11-26;3598;0;3598
2013-11-27;3608;0;3608
2013-11-29;3617;0;3617
2013-11-30;3624;0;3624
2013-12-01;3628;0;3628
2013-12-02;3638;0;3638
2013-12-04;3645;0;3645
2013-12-05;3654;0;3654
2013-12-06;3661;0;3661
2013-12-07;3662;0;3662
2013-12-08;3667;0;3667
2013-12-10;3672;0;3672
2013-12-11;3678;0;3678
2013-12-12;3678;0;3678
2013-12-13;3690;0;3690
2013-12-15;3693;0;3693
2013-12-16;3700;0;3700
2013-12-17;3713;0;3713
2013-12-19;3726;0;3726
2013-12-20;3729;0;3729
2013-12-21;3733;0;3733
2013-12-22;3738;0;3738
2013-12-24;3749;0;3749
2013-12-25;3749;0;3749
2013-12-26;3752;0;3752
2013-12-27;3752;0;3752
2013-12-29;3758;0;3758
2013-12-30;3769;0;3769
2013-12-31;3775;0;3775
2014-01-01;3789;0;3789
2014-01-03;3796;0;3796
2014-01-04;3807;0;3807
2014-01-05;3807;0;3807
2014-01-06;3824;0;3824
2014-01-08;3834;0;3834
2014-01-09;3844;0;3844
2014-01-10;3857;0;3857
2014-01-12;3867;0;3867
2014-01-13;3876;0;3876
2014-01-14;3888;0;3888
2014-01-16;3893;0;3893
2014-01-17;3900;0;3900
2014-01-18;3900;0;3900
2014-01-19;3907;0;3907
2014-01-21;3917;0;3917
2014-01-22;3923;0;3923
2014-01-23;3936;0;3936
2014-01-25;3954;0;3954
2014-01-26;3964;0;3964
2014-01-27;3969;0;3969
2014-01-28;3987;0;3987
2014-01-30;3988;0;3988
2014-01-31;3999;0;3999
2014-02-01;4012;0;4012
2014-02-03;4029;0;4029
2014-02-04;4035;0;4035
2014-02-05;4039;0;4039
2014-02-07;4047;0;4047
2014-02-08;4058;0;4058
2014-02-09;4070;0;4070
2014-02-11;4081;0;4081
2014-02-12;4096;0;4096
2014-02-13;4107;0;4107
2014-02-15;4116;0;4116
2014-02-16;4124;0;4124
2014-02-17;4143;0;4143
2014-02-19;4150;0;4150
2014-02-20;4159;0;4159
2014-02-21;4174;0;4174
2014-02-23;4182;0;4182
2014-02-24;4187;0;4187
2014-02-25;4199;0;4199
2014-02-27;4208;0;4208
2014-02-28;4223;0;4223
2014-03-01;4232;0;4232
2014-03-03;4242;0;4242
2014-03-04;4250;0;4250
2014-03-05;4255;0;4255
2014-03-07;4268;0;4268
2014-03-08;4279;0;4279
2014-03-10;4278;0;4278
2014-03-11;4278;0;4278
2014-03-12;4290;0;4290
2014-03-14;4298;0;4298
2014-03-15;4301;0;4301
