date;followers;following;fans
2013-04-18;3696;1621;2075
2013-04-20;3693;1622;2071
2013-04-22;3683;1627;2056
2013-04-24;3681;1632;2049
2013-04-26;3671;1636;2035
2013-04-28;3670;1639;2031
2013-04-30;3668;1641;2027
2013-05-02;3663;1643;2020
2013-05-04;3659;1634;2025
2013-05-06;3654;1625;2029
2013-05-08;3651;1628;2023
2013-05-10;3649;1629;2020
2013-05-12;3641;1628;2013
2013-05-14;3637;1628;2009
2013-05-16;3640;1603;2037
2013-05-18;3637;1604;2033
2013-05-20;3635;1511;2124
2013-05-22;3630;1238;2392
2013-05-24;3623;982;2641
2013-05-25;3619;822;2797
2013-05-26;3617;700;2917
2013-05-27;3612;620;2992
2013-05-28;3609;568;3041
2013-05-29;3610;568;3042
2013-05-30;3606;568;3038
2013-05-31;3604;570;3034
2013-06-01;3601;572;3029
2013-06-03;3597;573;3024
2013-06-04;3595;574;3021
2013-06-05;3591;574;3017
2013-06-06;3588;575;3013
2013-06-07;3588;575;3013
2013-06-08;3587;577;3010
2013-06-09;3583;579;3004
2013-06-10;3581;581;3000
2013-06-20;3561;591;2970
2013-06-21;3559;590;2969
2013-06-22;3558;592;2966
2013-06-23;3553;593;2960
2013-06-24;3551;594;2957
2013-06-25;3552;595;2957
2013-06-26;3547;595;2952
2013-06-27;3544;596;2948
2013-06-28;3541;596;2945
2013-06-30;3542;597;2945
2013-07-01;3538;598;2940
2013-07-02;3537;598;2939
2013-07-03;3537;598;2939
2013-07-04;3538;600;2938
2013-07-05;3536;600;2936
2013-07-06;3532;601;2931
2013-07-07;3530;602;2928
2013-07-08;3521;603;2918
2013-07-10;3521;606;2915
2013-07-11;3517;606;2911
2013-07-12;3512;609;2903
2013-07-13;3510;609;2901
2013-07-14;3508;610;2898
2013-07-15;3506;611;2895
2013-07-16;3508;612;2896
2013-07-17;3503;612;2891
2013-07-18;3503;612;2891
2013-07-20;3496;614;2882
2013-07-21;3497;615;2882
2013-07-22;3497;616;2881
2013-07-23;3493;616;2877
2013-07-24;3490;616;2874
2013-07-25;3487;617;2870
2013-07-26;3482;617;2865
2013-07-28;3481;617;2864
2013-07-29;3481;616;2865
2013-07-30;3481;619;2862
2013-07-31;3478;620;2858
2013-08-01;3476;621;2855
2013-08-02;3472;622;2850
2013-08-03;3471;623;2848
2013-08-04;3467;601;2866
2013-08-06;3469;493;2976
2013-08-07;3477;378;3099
2013-08-08;3484;401;3083
2013-08-09;3487;348;3139
2013-08-10;3489;354;3135
2013-08-11;3499;383;3116
2013-08-12;3505;296;3209
2013-08-13;3504;140;3364
2013-08-15;3501;81;3420
2013-08-16;3510;54;3456
2013-08-17;3506;15;3491
2013-08-18;3511;158;3353
2013-08-19;3513;154;3359
2013-08-20;3515;159;3356
2013-08-22;3517;139;3378
2013-08-23;3522;151;3371
2013-08-24;3529;129;3400
2013-08-25;3531;179;3352
2013-08-26;3536;158;3378
2013-08-27;3543;227;3316
2013-08-29;3549;165;3384
2013-08-30;3551;201;3350
2013-08-31;3555;196;3359
2013-09-01;3561;180;3381
2013-09-02;3569;217;3352
2013-09-03;3574;193;3381
2013-09-04;3577;188;3389
2013-09-06;3573;161;3412
2013-09-07;3575;171;3404
2013-09-08;3576;226;3350
2013-09-09;3579;172;3407
2013-09-10;3578;130;3448
2013-09-11;3584;170;3414
2013-09-13;3585;87;3498
2013-09-14;3586;105;3481
2013-09-15;3584;98;3486
2013-09-16;3582;88;3494
2013-09-17;3586;128;3458
2013-09-18;3583;150;3433
2013-09-20;3579;192;3387
2013-09-21;3577;143;3434
2013-09-22;3584;165;3419
