date;followers;following;fans
2013-04-18;4643;702;3941
2013-04-19;4642;702;3940
2013-04-20;4642;703;3939
2013-04-21;4643;703;3940
2013-04-22;4643;703;3940
2013-04-23;4649;703;3946
2013-04-24;4648;703;3945
2013-04-25;4649;703;3946
2013-04-26;4650;702;3948
2013-04-27;4653;702;3951
2013-04-29;4653;702;3951
2013-04-30;4657;702;3955
2013-05-01;4656;702;3954
2013-05-02;4660;702;3958
2013-05-03;4660;702;3958
2013-05-04;4661;703;3958
2013-05-05;4658;703;3955
2013-05-06;4657;704;3953
2013-05-07;4658;704;3954
2013-05-08;4664;704;3960
2013-05-09;4663;704;3959
2013-05-10;4651;703;3948
2013-05-12;4653;703;3950
2013-05-13;4653;703;3950
2013-05-14;4659;703;3956
2013-05-15;4662;703;3959
2013-05-16;4665;703;3962
2013-05-17;4673;703;3970
2013-05-18;4673;703;3970
2013-05-19;4672;703;3969
2013-05-20;4673;703;3970
2013-05-22;4678;703;3975
2013-05-23;4682;703;3979
2013-05-24;4683;703;3980
2013-05-25;4684;703;3981
2013-05-26;4686;703;3983
2013-05-27;4688;703;3985
2013-05-28;4684;703;3981
2013-05-29;4682;703;3979
2013-05-30;4674;703;3971
2013-06-01;4677;703;3974
2013-06-02;4678;703;3975
2013-06-03;4674;703;3971
2013-06-04;4675;703;3972
2013-06-05;4679;703;3976
2013-06-06;4684;703;3981
2013-06-07;4690;703;3987
2013-06-08;4687;704;3983
2013-06-10;4690;704;3986
2013-06-11;4693;704;3989
2013-06-20;4706;708;3998
2013-06-21;4709;709;4000
2013-06-22;4708;709;3999
2013-06-23;4708;709;3999
2013-06-24;4713;709;4004
2013-06-25;4716;709;4007
2013-06-27;4716;709;4007
2013-06-28;4718;709;4009
2013-06-29;4720;709;4011
2013-06-30;4718;709;4009
2013-07-01;4716;708;4008
2013-07-02;4717;708;4009
2013-07-03;4715;708;4007
2013-07-04;4717;708;4009
2013-07-05;4716;708;4008
2013-07-07;4716;710;4006
2013-07-08;4717;710;4007
2013-07-09;4718;710;4008
2013-07-10;4716;710;4006
2013-07-11;4718;710;4008
2013-07-12;4717;710;4007
2013-07-13;4714;710;4004
2013-07-14;4716;710;4006
2013-07-15;4715;710;4005
2013-07-17;4715;710;4005
2013-07-18;4714;710;4004
2013-07-19;4716;710;4006
2013-07-20;4715;710;4005
2013-07-21;4716;710;4006
2013-07-22;4716;710;4006
2013-07-23;4718;710;4008
2013-07-24;4719;710;4009
2013-07-25;4720;710;4010
2013-07-27;4719;710;4009
2013-07-28;4719;710;4009
2013-07-29;4718;710;4008
2013-07-30;4719;710;4009
2013-07-31;4721;710;4011
2013-08-01;4722;710;4012
2013-08-02;4721;710;4011
2013-08-03;4723;710;4013
2013-08-05;4726;710;4016
2013-08-06;4723;710;4013
2013-08-07;4725;710;4015
2013-08-08;4724;710;4014
2013-08-09;4723;710;4013
2013-08-10;4721;710;4011
2013-08-11;4719;710;4009
2013-08-13;4721;710;4011
2013-08-14;4721;710;4011
2013-08-15;4725;710;4015
2013-08-16;4724;710;4014
2013-08-17;4726;710;4016
2013-08-18;4725;710;4015
2013-08-19;4727;710;4017
2013-08-21;4727;711;4016
2013-08-22;4732;712;4020
2013-08-23;4732;712;4020
2013-08-24;4730;712;4018
2013-08-25;4730;712;4018
2013-08-26;4730;712;4018
2013-08-28;4732;712;4020
2013-08-29;4732;712;4020
2013-08-30;4733;715;4018
2013-08-31;4731;715;4016
2013-09-01;4732;715;4017
2013-09-02;4733;715;4018
2013-09-04;4734;715;4019
2013-09-05;4733;715;4018
2013-09-06;4730;715;4015
2013-09-07;4731;715;4016
2013-09-08;4733;716;4017
2013-09-09;4735;716;4019
2013-09-10;4736;716;4020
2013-09-12;4738;716;4022
2013-09-13;4737;715;4022
2013-09-14;4735;715;4020
2013-09-15;4734;715;4019
2013-09-16;4735;715;4020
2013-09-18;4739;715;4024
2013-09-19;4740;715;4025
2013-09-20;4736;715;4021
2013-09-21;4736;715;4021
2013-09-22;4736;715;4021
2013-09-23;4736;715;4021
2013-09-25;4739;715;4024
2013-09-26;4738;715;4023
2013-09-27;4736;715;4021
2013-09-28;4738;715;4023
2013-09-29;4738;715;4023
2013-09-30;4737;715;4022
2013-10-02;4737;715;4022
2013-10-03;4737;716;4021
2013-10-04;4736;716;4020
2013-10-05;4739;716;4023
2013-10-06;4738;716;4022
2013-10-07;4733;716;4017
2013-10-09;4734;716;4018
2013-10-10;4731;716;4015
2013-10-11;4727;716;4011
2013-10-12;4725;716;4009
2013-10-13;4725;716;4009
2013-10-15;4726;716;4010
2013-10-16;4726;716;4010
2013-10-17;4726;716;4010
2013-10-18;4726;716;4010
2013-10-19;4725;716;4009
2013-10-21;4729;716;4013
2013-10-22;4730;716;4014
2013-10-23;4728;716;4012
2013-10-24;4730;716;4014
2013-10-26;4732;716;4016
2013-10-27;4731;716;4015
2013-10-28;4731;716;4015
2013-10-29;4730;716;4014
2013-10-30;4729;716;4013
2013-10-31;4730;717;4013
2013-11-02;4729;717;4012
2013-11-03;4727;717;4010
2013-11-04;4727;717;4010
2013-11-05;4729;718;4011
2013-11-07;4727;718;4009
2013-11-08;4727;718;4009
2013-11-09;4727;718;4009
2013-11-10;4728;718;4010
2013-11-11;4724;718;4006
2013-11-13;4723;718;4005
2013-11-14;4723;718;4005
2013-11-15;4724;718;4006
2013-11-16;4724;718;4006
2013-11-18;4726;719;4007
2013-11-19;4725;719;4006
2013-11-20;4723;719;4004
2013-11-21;4723;719;4004
2013-11-22;4723;721;4002
2013-11-24;4722;721;4001
2013-11-25;4724;720;4004
2013-11-26;4725;720;4005
2013-11-27;4723;722;4001
2013-11-29;4721;722;3999
2013-11-30;4722;722;4000
2013-12-01;4721;722;3999
2013-12-02;4723;722;4001
2013-12-04;4720;722;3998
2013-12-05;4718;722;3996
2013-12-06;4719;723;3996
2013-12-07;4719;723;3996
2013-12-09;4717;723;3994
2013-12-10;4718;723;3995
2013-12-11;4717;724;3993
2013-12-12;4716;724;3992
2013-12-13;4716;724;3992
2013-12-15;4715;725;3990
2013-12-16;4714;725;3989
2013-12-17;4717;725;3992
2013-12-19;4714;725;3989
2013-12-20;4714;725;3989
2013-12-21;4714;725;3989
2013-12-22;4714;725;3989
2013-12-24;4714;725;3989
2013-12-25;4714;725;3989
2013-12-26;4712;725;3987
2013-12-27;4714;725;3989
2013-12-29;4713;725;3988
2013-12-30;4711;725;3986
2013-12-31;4712;725;3987
2014-01-01;4713;725;3988
2014-01-03;4712;725;3987
2014-01-04;4712;726;3986
2014-01-05;4711;726;3985
2014-01-06;4713;726;3987
2014-01-08;4715;726;3989
2014-01-09;4715;726;3989
2014-01-10;4716;726;3990
2014-01-12;4719;726;3993
2014-01-13;4718;726;3992
2014-01-14;4717;726;3991
2014-01-16;4713;726;3987
2014-01-17;4712;726;3986
2014-01-18;4711;726;3985
2014-01-19;4712;725;3987
2014-01-21;4710;725;3985
2014-01-22;4710;725;3985
2014-01-23;4714;725;3989
2014-01-24;4712;725;3987
2014-01-26;4715;725;3990
2014-01-27;4716;725;3991
2014-01-28;4714;725;3989
2014-01-30;4713;725;3988
2014-01-31;4715;725;3990
2014-02-01;4713;725;3988
2014-02-03;4711;726;3985
2014-02-04;4707;727;3980
2014-02-05;4709;728;3981
2014-02-07;4709;728;3981
2014-02-08;4710;728;3982
2014-02-09;4712;728;3984
2014-02-11;4713;729;3984
2014-02-12;4714;729;3985
2014-02-13;4712;729;3983
2014-02-15;4709;731;3978
2014-02-16;4709;731;3978
2014-02-17;4710;731;3979
2014-02-19;4711;732;3979
2014-02-20;4709;732;3977
2014-02-21;4706;732;3974
2014-02-23;4708;732;3976
2014-02-24;4709;732;3977
2014-02-25;4709;734;3975
2014-02-27;4708;735;3973
2014-02-28;4708;735;3973
2014-03-01;4711;735;3976
2014-03-03;4711;735;3976
2014-03-04;4711;735;3976
2014-03-05;4712;735;3977
2014-03-07;4711;735;3976
2014-03-08;4708;735;3973
2014-03-09;4709;735;3974
2014-03-11;4708;735;3973
2014-03-12;4707;735;3972
2014-03-14;4707;735;3972
2014-03-15;4706;735;3971
2014-03-16;4706;735;3971
2014-03-18;4704;739;3965
2014-03-19;4702;739;3963
2014-03-20;4698;740;3958
2014-03-22;4697;741;3956
2014-03-23;4698;741;3957
2014-03-24;4699;741;3958
2014-03-26;4699;742;3957
2014-03-27;4701;742;3959
2014-03-28;4702;742;3960
2014-03-30;4706;743;3963
2014-03-31;4706;743;3963
2014-04-02;4707;743;3964
2014-04-03;4706;741;3965
2014-04-04;4707;742;3965
2014-04-06;4706;742;3964
2014-04-07;4704;742;3962
2014-04-09;4704;742;3962
2014-04-10;4704;742;3962
2014-04-11;4702;742;3960
2014-04-13;4702;742;3960
2014-04-14;4703;742;3961
2014-04-15;4703;742;3961
2014-04-17;4701;742;3959
2014-04-18;4701;742;3959
2014-04-19;4701;742;3959
2014-04-21;4703;742;3961
2014-04-22;4702;742;3960
2014-04-23;4700;742;3958
2014-04-25;4700;742;3958
2014-04-26;4699;742;3957
2014-04-27;4699;742;3957
2014-04-29;4700;742;3958
2014-04-30;4701;742;3959
2014-05-01;4702;742;3960
2014-05-03;4701;742;3959
2014-05-04;4700;742;3958
2014-05-06;4696;742;3954
