date;followers;following;fans
2013-04-18;3943;1310;2633
2013-04-19;3940;1313;2627
2013-04-20;3950;1328;2622
2013-04-21;3962;1350;2612
2013-04-22;3955;1351;2604
2013-04-23;3946;1356;2590
2013-04-24;3948;1358;2590
2013-04-25;3941;1361;2580
2013-04-26;3933;1363;2570
2013-04-27;3928;1362;2566
2013-04-28;3928;1371;2557
2013-04-30;3931;1378;2553
2013-05-01;3922;1379;2543
2013-05-02;3922;1380;2542
2013-05-03;3924;1388;2536
2013-05-04;3919;1395;2524
2013-05-05;3914;1397;2517
2013-05-06;3912;1400;2512
2013-05-07;3910;1402;2508
2013-05-08;3908;1399;2509
2013-05-09;3905;1401;2504
2013-05-10;3895;1408;2487
2013-05-13;4010;1433;2577
2013-05-14;4005;1439;2566
2013-05-15;4002;1441;2561
2013-05-16;4000;1443;2557
2013-05-17;4000;1445;2555
2013-05-18;3994;1446;2548
2013-05-19;3998;1457;2541
2013-05-20;4004;1469;2535
2013-05-21;4001;1475;2526
2013-05-23;4005;1480;2525
2013-05-24;4008;1488;2520
2013-05-25;4017;1511;2506
2013-05-26;4025;1437;2588
2013-05-27;4004;745;3259
2013-05-28;3977;744;3233
2013-05-29;3974;752;3222
2013-05-30;3965;760;3205
2013-06-01;3955;767;3188
2013-06-02;3955;770;3185
2013-06-03;3946;771;3175
2013-06-04;3938;776;3162
2013-06-05;3927;778;3149
2013-06-06;3930;783;3147
2013-06-07;3927;782;3145
2013-06-08;3923;785;3138
2013-06-10;3917;787;3130
2013-06-11;3917;789;3128
2013-06-20;3905;826;3079
2013-06-21;3896;827;3069
2013-06-22;3903;832;3071
2013-06-23;3905;833;3072
2013-06-24;3900;819;3081
2013-06-25;3891;819;3072
2013-06-27;3885;821;3064
2013-06-28;3881;820;3061
2013-06-29;3874;820;3054
2013-06-30;3873;826;3047
2013-07-01;3872;827;3045
2013-07-02;3869;827;3042
2013-07-03;3875;865;3010
2013-07-04;3875;871;3004
2013-07-05;3877;875;3002
2013-07-07;3865;878;2987
2013-07-08;3864;880;2984
2013-07-09;3865;882;2983
2013-07-10;3860;882;2978
2013-07-11;3863;890;2973
2013-07-12;3866;890;2976
2013-07-13;3861;889;2972
2013-07-14;3865;902;2963
2013-07-15;3867;941;2926
2013-07-17;3868;944;2924
2013-07-18;3865;944;2921
2013-07-19;3866;951;2915
2013-07-20;3933;992;2941
2013-07-21;3949;1003;2946
2013-07-22;3959;996;2963
2013-07-23;3951;996;2955
2013-07-24;3949;1006;2943
2013-07-25;3940;1019;2921
2013-07-27;3921;1011;2910
2013-07-28;3909;1008;2901
2013-07-29;3912;1017;2895
2013-07-30;3914;1029;2885
2013-07-31;3910;1034;2876
2013-08-01;3901;1035;2866
2013-08-02;3902;1036;2866
2013-08-03;3921;1052;2869
2013-08-05;3923;1063;2860
2013-08-06;3923;1080;2843
2013-08-07;3923;983;2940
2013-08-08;3918;968;2950
2013-08-09;3922;976;2946
2013-08-10;3919;978;2941
2013-08-11;3911;979;2932
2013-08-13;3912;981;2931
2013-08-14;3908;983;2925
2013-08-15;3909;985;2924
2013-08-16;3907;985;2922
2013-08-17;3900;986;2914
2013-08-18;3901;987;2914
2013-08-19;3897;985;2912
2013-08-21;3897;988;2909
2013-08-22;3896;987;2909
2013-08-23;3898;988;2910
2013-08-24;3890;989;2901
2013-08-25;3890;994;2896
2013-08-26;3889;986;2903
2013-08-28;3883;989;2894
2013-08-29;3884;992;2892
2013-08-30;3887;996;2891
2013-08-31;3881;823;3058
2013-09-01;3882;825;3057
2013-09-02;3877;827;3050
2013-09-04;4050;923;3127
2013-09-05;4038;930;3108
2013-09-06;4028;935;3093
2013-09-07;4030;940;3090
2013-09-08;4025;944;3081
2013-09-09;4013;943;3070
2013-09-10;4005;942;3063
2013-09-12;4008;944;3064
2013-09-13;4000;945;3055
2013-09-14;4002;948;3054
2013-09-15;4000;951;3049
2013-09-16;4024;955;3069
2013-09-18;4039;958;3081
2013-09-19;4031;960;3071
2013-09-20;4027;960;3067
2013-09-21;4018;958;3060
2013-09-22;4016;963;3053
2013-09-23;4015;965;3050
2013-09-25;4007;966;3041
2013-09-26;4018;974;3044
2013-09-27;4013;976;3037
2013-09-28;4012;982;3030
2013-09-29;4011;981;3030
2013-09-30;4005;981;3024
2013-10-02;3996;981;3015
2013-10-03;3998;984;3014
2013-10-04;4084;908;3176
2013-10-05;4131;922;3209
2013-10-06;4149;932;3217
2013-10-07;4326;972;3354
2013-10-09;4407;996;3411
