date;followers;following;fans
2013-04-18;6397;1124;5273
2013-04-19;6398;1124;5274
2013-04-20;6399;1124;5275
2013-04-21;6397;1124;5273
2013-04-22;6399;1125;5274
2013-04-23;6406;1125;5281
2013-04-24;6405;1125;5280
2013-04-25;6407;1125;5282
2013-04-26;6406;1125;5281
2013-04-27;6410;1125;5285
2013-04-28;6412;1125;5287
2013-04-29;6414;1125;5289
2013-04-30;6412;1125;5287
2013-05-01;6410;1125;5285
2013-05-02;6412;1125;5287
2013-05-03;6416;1125;5291
2013-05-04;6420;1125;5295
2013-05-05;6422;1125;5297
2013-05-06;6423;1125;5298
2013-05-07;6422;1125;5297
2013-05-08;6425;1125;5300
2013-05-09;6427;1125;5302
2013-05-11;6417;1124;5293
2013-05-12;6414;1124;5290
2013-05-13;6413;1124;5289
2013-05-14;6410;1124;5286
2013-05-15;6418;1123;5295
2013-05-16;6421;1123;5298
2013-05-17;6421;1123;5298
2013-05-18;6426;1123;5303
2013-05-19;6425;1123;5302
2013-05-20;6425;1123;5302
2013-05-21;6424;1123;5301
2013-05-22;6427;1123;5304
2013-05-23;6427;1123;5304
2013-05-24;6428;1122;5306
2013-05-25;6428;1122;5306
2013-05-26;6429;1122;5307
2013-05-27;6431;1122;5309
2013-05-28;6427;1122;5305
2013-05-29;6428;1122;5306
2013-05-30;6429;1122;5307
2013-05-31;6430;1122;5308
2013-06-01;6430;1122;5308
2013-06-02;6427;1122;5305
2013-06-03;6427;1122;5305
2013-06-04;6426;1122;5304
2013-06-05;6428;1122;5306
2013-06-06;6431;1122;5309
2013-06-07;6433;1122;5311
2013-06-08;6435;1122;5313
2013-06-09;6436;1122;5314
2013-06-10;6436;1122;5314
2013-06-11;6432;1122;5310
2013-06-20;6442;1121;5321
2013-06-21;6443;1121;5322
2013-06-22;6442;1121;5321
2013-06-23;6442;1121;5321
2013-06-24;6439;1121;5318
2013-06-25;6438;1121;5317
2013-06-26;6440;1121;5319
2013-06-27;6439;1121;5318
2013-06-28;6439;1121;5318
2013-06-29;6442;1121;5321
2013-06-30;6439;1121;5318
2013-07-02;6440;1121;5319
2013-07-03;6438;1121;5317
2013-07-04;6437;1121;5316
2013-07-05;6438;1121;5317
2013-07-06;6442;1121;5321
2013-07-07;6444;1121;5323
2013-07-08;6442;1121;5321
2013-07-10;6443;1121;5322
2013-07-11;6445;1121;5324
2013-07-12;6449;1121;5328
2013-07-13;6449;1120;5329
2013-07-14;6452;1120;5332
2013-07-15;6449;1120;5329
2013-07-16;6449;1119;5330
2013-07-17;6450;1119;5331
2013-07-18;6453;1119;5334
2013-07-19;6455;1119;5336
2013-07-20;6461;1119;5342
2013-07-21;6463;1119;5344
2013-07-22;6468;1119;5349
2013-07-23;6469;1119;5350
2013-07-24;6473;1119;5354
2013-07-25;6475;1119;5356
2013-07-26;6475;1119;5356
2013-07-27;6472;1119;5353
2013-07-28;6469;1119;5350
2013-07-29;6464;1118;5346
2013-07-30;6464;1118;5346
2013-07-31;6464;1118;5346
2013-08-01;6460;1118;5342
2013-08-02;6458;1118;5340
2013-08-03;6456;1118;5338
2013-08-04;6455;1118;5337
2013-08-05;6457;1118;5339
2013-08-06;6455;1118;5337
2013-08-07;6455;1118;5337
2013-08-08;6456;1118;5338
2013-08-09;6453;1118;5335
2013-08-10;6454;1118;5336
2013-08-11;6453;1118;5335
2013-08-12;6456;1118;5338
2013-08-13;6456;1118;5338
2013-08-14;6453;1118;5335
2013-08-15;6455;1118;5337
2013-08-16;6459;1118;5341
2013-08-17;6460;1118;5342
2013-08-18;6458;1118;5340
2013-08-19;6457;1118;5339
2013-08-20;6456;1118;5338
2013-08-21;6457;1118;5339
2013-08-22;6457;1118;5339
2013-08-23;6457;1118;5339
2013-08-24;6461;1118;5343
2013-08-25;6462;1118;5344
2013-08-26;6463;1118;5345
2013-08-27;6467;1118;5349
2013-08-28;6466;1118;5348
2013-08-29;6465;1118;5347
2013-08-30;6464;1118;5346
2013-08-31;6466;1118;5348
2013-09-01;6467;1118;5349
2013-09-02;6467;1118;5349
2013-09-03;6466;1118;5348
2013-09-04;6469;1118;5351
2013-09-05;6468;1118;5350
2013-09-06;6468;1118;5350
2013-09-07;6471;1118;5353
2013-09-08;6471;1118;5353
2013-09-09;6471;1118;5353
2013-09-10;6468;1118;5350
2013-09-11;6467;1118;5349
2013-09-12;6469;1118;5351
2013-09-13;6472;1118;5354
2013-09-14;6473;1118;5355
2013-09-15;6477;1118;5359
2013-09-16;6480;1118;5362
2013-09-17;6481;1118;5363
2013-09-18;6487;1118;5369
2013-09-19;6491;1118;5373
2013-09-20;6490;1118;5372
2013-09-21;6491;1117;5374
2013-09-22;6493;1117;5376
2013-09-23;6495;1118;5377
2013-09-24;6498;1118;5380
2013-09-25;6499;1118;5381
2013-09-26;6498;1118;5380
2013-09-27;6495;1117;5378
2013-09-28;6495;1117;5378
2013-09-29;6495;1117;5378
2013-10-01;6499;1117;5382
2013-10-02;6499;1117;5382
2013-10-03;6501;1117;5384
2013-10-04;6503;1116;5387
2013-10-05;6507;1116;5391
2013-10-06;6510;1116;5394
2013-10-07;6506;1116;5390
2013-10-08;6505;1116;5389
2013-10-09;6506;1116;5390
2013-10-10;6508;1115;5393
2013-10-11;6508;967;5541
2013-10-12;6509;967;5542
2013-10-13;6512;967;5545
2013-10-14;6511;846;5665
2013-10-15;6509;846;5663
2013-10-16;6508;847;5661
2013-10-17;6508;847;5661
2013-10-18;6505;847;5658
2013-10-19;6505;847;5658
2013-10-20;6504;847;5657
2013-10-21;6506;847;5659
2013-10-22;6510;847;5663
2013-10-23;6510;847;5663
2013-10-24;6510;847;5663
2013-10-25;6509;847;5662
2013-10-26;6508;847;5661
2013-10-27;6507;847;5660
2013-10-28;6506;847;5659
2013-10-29;6506;847;5659
2013-10-30;6505;847;5658
2013-10-31;6506;847;5659
2013-11-01;6504;847;5657
2013-11-02;6504;847;5657
2013-11-04;6507;847;5660
2013-11-05;6506;847;5659
2013-11-06;6507;847;5660
2013-11-07;6511;847;5664
2013-11-08;6509;847;5662
2013-11-09;6511;847;5664
2013-11-10;6509;847;5662
2013-11-11;6515;847;5668
2013-11-12;6516;847;5669
2013-11-13;6517;847;5670
2013-11-14;6518;847;5671
2013-11-15;6520;847;5673
2013-11-16;6522;847;5675
2013-11-17;6524;847;5677
2013-11-18;6526;847;5679
2013-11-19;6527;847;5680
2013-11-20;6526;847;5679
2013-11-21;6530;847;5683
2013-11-22;6533;847;5686
2013-11-23;6534;847;5687
2013-11-24;6533;847;5686
2013-11-25;6532;847;5685
2013-11-26;6533;847;5686
2013-11-27;6531;847;5684
2013-11-28;6530;847;5683
2013-11-29;6527;847;5680
2013-11-30;6528;847;5681
2013-12-01;6528;847;5681
2013-12-02;6528;847;5681
2013-12-03;6525;847;5678
2013-12-04;6526;847;5679
2013-12-05;6525;847;5678
2013-12-06;6514;847;5667
2013-12-07;6513;847;5666
2013-12-08;6512;847;5665
2013-12-09;6514;847;5667
2013-12-11;6512;846;5666
2013-12-12;6509;845;5664
2013-12-13;6510;845;5665
2013-12-14;6510;845;5665
2013-12-15;6514;845;5669
2013-12-16;6513;845;5668
