date;followers;following;fans
2013-04-17;9035;6099;2936
2013-04-18;9042;6099;2943
2013-04-19;9045;6099;2946
2013-04-20;9052;6099;2953
2013-04-21;9064;6099;2965
2013-04-22;9075;6098;2977
2013-04-23;9082;6098;2984
2013-04-24;9105;6098;3007
2013-04-26;9108;6098;3010
2013-04-27;9111;6098;3013
2013-04-28;9118;6098;3020
2013-04-29;9126;6098;3028
2013-04-30;9136;6095;3041
2013-05-01;9147;6094;3053
2013-05-02;9156;6093;3063
2013-05-03;9161;6093;3068
2013-05-04;9171;6093;3078
2013-05-06;9176;6092;3084
2013-05-07;9181;6092;3089
2013-05-08;9193;6092;3101
2013-05-09;9197;6092;3105
2013-05-10;9196;6091;3105
2013-05-11;9163;6061;3102
2013-05-12;9162;6059;3103
2013-05-13;9163;6058;3105
2013-05-14;9210;6089;3121
2013-05-16;9271;6091;3180
2013-05-17;9294;6091;3203
2013-05-18;9301;6092;3209
2013-05-19;9315;6092;3223
2013-05-20;9327;6091;3236
2013-05-21;9338;6092;3246
2013-05-22;9347;6092;3255
2013-05-23;9371;6093;3278
2013-05-25;9377;6093;3284
2013-05-26;9389;6092;3297
2013-05-27;9394;6091;3303
2013-05-28;9402;6092;3310
2013-05-29;9416;6092;3324
2013-05-30;9427;6091;3336
2013-05-31;9444;6090;3354
2013-06-01;9449;6090;3359
2013-06-02;9453;6089;3364
2013-06-04;9460;6089;3371
2013-06-05;9470;6088;3382
2013-06-06;9483;6088;3395
2013-06-07;9491;6087;3404
2013-06-08;9495;6087;3408
2013-06-09;9501;6087;3414
2013-06-10;9512;6086;3426
2013-06-11;9528;6086;3442
2013-06-20;9595;6083;3512
2013-06-21;9606;6082;3524
2013-06-22;9606;6080;3526
2013-06-23;9616;6080;3536
2013-06-25;9620;6080;3540
2013-06-26;9631;6080;3551
2013-06-27;9641;6080;3561
2013-06-28;9652;6080;3572
2013-06-29;9662;6080;3582
2013-06-30;9660;6079;3581
2013-07-01;9669;6076;3593
2013-07-03;9676;6076;3600
2013-07-04;9687;6077;3610
2013-07-05;9692;6075;3617
2013-07-06;9700;6075;3625
2013-07-07;9706;6075;3631
2013-07-08;9710;6075;3635
2013-07-09;9723;6075;3648
2013-07-10;9735;6074;3661
2013-07-11;9747;6075;3672
2013-07-13;9752;6074;3678
2013-07-14;9754;6073;3681
2013-07-15;9759;6073;3686
2013-07-16;9766;6074;3692
2013-07-17;9769;6074;3695
2013-07-18;9775;6074;3701
2013-07-19;9782;6074;3708
2013-07-21;9789;6073;3716
2013-07-22;9791;6073;3718
2013-07-23;9795;6073;3722
2013-07-24;9803;6073;3730
2013-07-25;9816;6072;3744
2013-07-26;9827;6070;3757
2013-07-27;9841;6066;3775
2013-07-29;9843;6065;3778
2013-07-30;9852;6065;3787
2013-07-31;9861;6064;3797
2013-08-01;9870;6062;3808
2013-08-02;9881;6061;3820
2013-08-03;9884;6062;3822
2013-08-04;9887;6062;3825
2013-08-05;9888;6061;3827
2013-08-07;9898;6061;3837
2013-08-08;9906;6061;3845
2013-08-09;9918;6061;3857
2013-08-10;9918;6061;3857
2013-08-11;9920;6061;3859
2013-08-12;9927;6061;3866
2013-08-13;9932;6060;3872
2013-08-14;9934;6060;3874
2013-08-16;9936;6058;3878
2013-08-17;9946;6059;3887
2013-08-18;9949;6059;3890
2013-08-19;9952;6059;3893
2013-08-20;9954;6060;3894
2013-08-21;9963;6059;3904
2013-08-23;9964;6059;3905
2013-08-24;9963;6057;3906
2013-08-25;9963;6056;3907
2013-08-26;9969;6057;3912
2013-08-27;9974;6054;3920
2013-08-28;9976;6053;3923
2013-08-29;9980;6053;3927
2013-08-31;9986;6053;3933
2013-09-01;9982;6053;3929
2013-09-02;9985;6051;3934
2013-09-03;9988;6051;3937
2013-09-04;9989;6049;3940
2013-09-05;9987;6047;3940
2013-09-07;9998;6046;3952
2013-09-08;9995;6046;3949
2013-09-09;9997;6046;3951
2013-09-10;10006;6046;3960
2013-09-11;10025;6044;3981
2013-09-12;10028;6044;3984
2013-09-13;10039;6045;3994
2013-09-15;10040;6045;3995
2013-09-16;10049;6046;4003
2013-09-17;10062;6045;4017
2013-09-18;10071;6045;4026
2013-09-19;10086;6584;3502
2013-09-20;10106;6589;3517
2013-09-22;10108;6587;3521
2013-09-23;10120;6586;3534
2013-09-24;10127;6586;3541
2013-09-25;10142;6587;3555
2013-09-26;10148;6587;3561
2013-09-28;10162;6588;3574
2013-09-29;10168;6588;3580
2013-09-30;10176;6589;3587
2013-10-01;10180;6587;3593
2013-10-02;10182;6588;3594
2013-10-04;10196;6588;3608
2013-10-05;10201;6587;3614
2013-10-06;10208;6587;3621
2013-10-07;10198;6569;3629
2013-10-08;10204;6569;3635
2013-10-10;10216;6568;3648
2013-10-11;10224;6567;3657
2013-10-12;10230;6563;3667
2013-10-13;10237;6562;3675
2013-10-14;10247;6562;3685
2013-10-15;10259;6561;3698
2013-10-17;10263;6559;3704
2013-10-18;10275;6558;3717
2013-10-19;10279;6558;3721
2013-10-20;10284;6557;3727
2013-10-22;10299;6557;3742
2013-10-23;10304;6557;3747
2013-10-24;10305;6556;3749
2013-10-25;10313;6555;3758
2013-10-26;10325;6555;3770
2013-10-27;10335;6555;3780
2013-10-29;10336;6551;3785
2013-10-30;10341;6549;3792
2013-10-31;10349;6549;3800
2013-11-01;10352;6548;3804
2013-11-02;10363;6548;3815
2013-11-04;10366;6548;3818
2013-11-05;10372;6547;3825
2013-11-06;10380;6547;3833
2013-11-07;10388;6546;3842
2013-11-08;10400;6546;3854
2013-11-10;10405;6546;3859
2013-11-11;10416;6545;3871
2013-11-12;10420;6546;3874
2013-11-13;10425;6546;3879
2013-11-15;10439;6546;3893
2013-11-16;10452;6546;3906
2013-11-17;10461;6547;3914
2013-11-18;10469;6546;3923
2013-11-20;10477;6546;3931
2013-11-21;10483;6546;3937
2013-11-22;10484;6545;3939
2013-11-23;10492;6544;3948
2013-11-25;10500;6542;3958
2013-11-26;10503;6542;3961
2013-11-27;10513;6542;3971
2013-11-28;10521;6541;3980
2013-11-30;10526;6541;3985
2013-12-01;10528;6539;3989
2013-12-02;10535;6539;3996
2013-12-03;10541;6539;4002
2013-12-04;10544;6535;4009
2013-12-06;10550;6535;4015
2013-12-07;10551;6535;4016
2013-12-08;10555;6535;4020
2013-12-09;10558;6535;4023
2013-12-11;10569;6536;4033
2013-12-12;10573;6536;4037
2013-12-13;10579;6536;4043
2013-12-14;10584;6536;4048
2013-12-15;10589;6534;4055
2013-12-17;10592;6534;4058
2013-12-18;10596;6535;4061
2013-12-19;10612;6535;4077
2013-12-21;10622;6534;4088
2013-12-22;10629;6535;4094
2013-12-23;10635;6534;4101
2013-12-24;10640;6534;4106
2013-12-26;10636;6534;4102
2013-12-27;10640;6534;4106
2013-12-28;10644;6531;4113
2013-12-29;10648;6532;4116
2013-12-31;10651;6532;4119
2014-01-01;10652;6531;4121
2014-01-02;10652;6531;4121
2014-01-03;10661;6530;4131
2014-01-05;10663;6529;4134
2014-01-06;10664;6530;4134
2014-01-07;10672;6529;4143
2014-01-09;10671;6528;4143
2014-01-10;10670;6529;4141
2014-01-11;10680;6530;4150
2014-01-13;10685;6530;4155
2014-01-14;10686;6527;4159
2014-01-15;10689;6528;4161
2014-01-17;10696;6528;4168
2014-01-18;10701;6529;4172
2014-01-19;10703;6529;4174
2014-01-20;10717;6528;4189
2014-01-22;10722;6528;4194
2014-01-23;10733;6527;4206
2014-01-24;10731;6525;4206
2014-01-26;10738;6524;4214
2014-01-27;10743;6524;4219
2014-01-28;10745;6521;4224
2014-01-30;10752;6518;4234
2014-01-31;10763;6517;4246
2014-02-01;10772;6516;4256
2014-02-02;10782;6515;4267
2014-02-04;10791;6515;4276
2014-02-05;10793;6515;4278
2014-02-06;10803;6513;4290
2014-02-08;10812;6511;4301
2014-02-09;10820;6512;4308
2014-02-10;10825;6511;4314
2014-02-12;10834;6510;4324
2014-02-13;10844;6510;4334
2014-02-14;10856;6510;4346
2014-02-16;10866;6511;4355
2014-02-17;10873;6509;4364
2014-02-18;10893;6508;4385
2014-02-20;10894;6508;4386
2014-02-21;10899;6506;4393
2014-02-22;10920;6506;4414
2014-02-24;10926;6506;4420
2014-02-25;10935;6505;4430
2014-02-26;10951;6504;4447
2014-02-28;10957;6504;4453
2014-03-01;10964;6503;4461
2014-03-02;10971;6503;4468
2014-03-04;10986;6503;4483
2014-03-05;11031;6503;4528
2014-03-06;11053;6503;4550
2014-03-08;11069;6503;4566
2014-03-09;11073;6500;4573
2014-03-10;11096;6499;4597
2014-03-12;11108;6499;4609
2014-03-13;11120;6499;4621
2014-03-14;11129;6499;4630
2014-03-16;11136;6500;4636
2014-03-17;11142;6499;4643
2014-03-19;11161;6499;4662
2014-03-20;11169;6499;4670
2014-03-21;11188;6499;4689
2014-03-22;11205;6500;4705
2014-03-24;11215;6499;4716
2014-03-25;11228;6499;4729
2014-03-27;11238;6500;4738
2014-03-28;11245;6501;4744
2014-03-29;11251;6500;4751
2014-03-31;11257;6500;4757
2014-04-01;11258;6498;4760
2014-04-02;11263;6498;4765
2014-04-04;11278;6497;4781
2014-04-05;11287;6497;4790
2014-04-06;11295;6497;4798
2014-04-08;11302;6497;4805
2014-04-09;11317;6497;4820
2014-04-10;11409;6497;4912
2014-04-12;11442;6497;4945
2014-04-13;11451;6497;4954
