date;followers;following;fans
2013-11-07;7068;58;7010
2013-11-08;7129;58;7071
2013-11-09;7175;58;7117
2013-11-10;7236;58;7178
2013-11-11;7281;59;7222
2013-11-12;7334;59;7275
2013-11-13;7391;59;7332
2013-11-14;7433;59;7374
2013-11-15;7474;59;7415
2013-11-16;7484;59;7425
2013-11-17;7578;59;7519
2013-11-18;7613;59;7554
2013-11-19;7626;59;7567
2013-11-20;7655;59;7596
2013-11-21;7679;60;7619
2013-11-22;7701;61;7640
2013-11-23;7738;61;7677
2013-11-24;7779;61;7718
2013-11-25;7853;61;7792
2013-11-26;7894;61;7833
2013-11-27;7925;61;7864
2013-11-28;7962;61;7901
2013-11-29;7989;62;7927
2013-11-30;8025;62;7963
2013-12-01;8047;62;7985
2013-12-02;8085;62;8023
2013-12-03;8125;62;8063
2013-12-04;8159;62;8097
2013-12-05;8190;62;8128
2013-12-06;8223;62;8161
2013-12-07;8261;63;8198
2013-12-08;8351;64;8287
2013-12-09;8414;64;8350
2013-12-10;8468;64;8404
2013-12-11;8507;64;8443
2013-12-12;8554;64;8490
2013-12-13;8580;64;8516
2013-12-14;8611;64;8547
2013-12-15;8648;64;8584
2013-12-16;8680;65;8615
2013-12-17;8728;65;8663
2013-12-18;8758;66;8692
2013-12-19;8792;66;8726
2013-12-20;8815;66;8749
2013-12-21;8850;66;8784
2013-12-22;8887;66;8821
2013-12-23;8939;66;8873
2013-12-24;8970;66;8904
2013-12-25;9010;66;8944
2013-12-26;9044;66;8978
2013-12-27;9103;66;9037
2013-12-28;9135;66;9069
2013-12-29;9179;66;9113
2013-12-30;9230;66;9164
2013-12-31;9339;66;9273
2014-01-01;9387;66;9321
2014-01-02;9458;66;9392
2014-01-03;9531;66;9465
2014-01-04;9599;67;9532
2014-01-05;9665;67;9598
2014-01-06;9717;67;9650
2014-01-07;9766;67;9699
2014-01-08;9804;67;9737
2014-01-09;9839;67;9772
2014-01-10;9885;68;9817
2014-01-11;9931;68;9863
2014-01-12;9967;69;9898
2014-01-13;10020;69;9951
2014-01-14;10053;69;9984
2014-01-15;10108;70;10038
2014-01-16;10150;70;10080
2014-01-17;10180;70;10110
2014-01-18;10211;70;10141
2014-01-19;10253;70;10183
2014-01-20;10335;70;10265
2014-01-21;10419;70;10349
2014-01-22;10483;70;10413
2014-01-23;10521;70;10451
2014-01-24;10568;70;10498
2014-01-25;10602;74;10528
2014-01-26;10654;75;10579
2014-01-27;10697;78;10619
2014-01-28;10724;78;10646
2014-01-29;10799;78;10721
2014-01-30;10807;78;10729
2014-01-31;10843;78;10765
2014-02-01;10876;78;10798
2014-02-02;10923;79;10844
2014-02-03;10985;87;10898
2014-02-04;11146;88;11058
2014-02-05;11183;88;11095
2014-02-06;11214;88;11126
2014-02-07;11240;88;11152
2014-02-08;11267;88;11179
2014-02-09;11315;88;11227
2014-02-10;11352;88;11264
2014-02-11;11385;88;11297
2014-02-12;11409;88;11321
2014-02-13;11446;88;11358
2014-02-14;11489;88;11401
2014-02-15;11525;88;11437
2014-02-16;11568;88;11480
2014-02-17;11607;88;11519
2014-02-18;11662;89;11573
2014-02-19;11687;89;11598
2014-02-20;11713;89;11624
2014-02-21;11730;89;11641
2014-02-22;11753;89;11664
2014-02-23;11808;90;11718
2014-02-24;11853;90;11763
2014-02-25;11878;90;11788
2014-02-26;11914;90;11824
2014-02-27;11937;90;11847
2014-02-28;11965;90;11875
2014-03-01;11984;90;11894
2014-03-02;12014;92;11922
2014-03-03;12053;92;11961
2014-03-04;12117;92;12025
2014-03-05;12156;92;12064
2014-03-06;12199;92;12107
2014-03-07;12244;92;12152
2014-03-08;12272;92;12180
2014-03-09;12308;92;12216
2014-03-10;12352;92;12260
2014-03-11;12372;93;12279
2014-03-12;12403;93;12310
2014-03-13;12448;93;12355
2014-03-14;12487;93;12394
2014-03-15;12524;93;12431
2014-03-16;12557;93;12464
2014-03-17;12617;94;12523
2014-03-18;12646;94;12552
2014-03-19;12680;94;12586
2014-03-20;12709;94;12615
2014-03-21;12748;95;12653
2014-03-22;12791;95;12696
2014-03-23;12842;95;12747
2014-03-24;12894;95;12799
2014-03-25;12942;95;12847
2014-03-26;12977;95;12882
2014-03-27;13027;95;12932
2014-03-28;13066;95;12971
2014-03-29;13106;95;13011
2014-03-30;13149;95;13054
2014-03-31;13207;95;13112
2014-04-01;13255;95;13160
2014-04-02;13282;95;13187
2014-04-03;13320;95;13225
2014-04-04;13353;96;13257
2014-04-05;13395;96;13299
2014-04-06;13478;96;13382
2014-04-07;13558;97;13461
2014-04-08;13774;97;13677
2014-04-09;13868;97;13771
2014-04-10;13903;97;13806
2014-04-11;13934;97;13837
2014-04-12;13956;97;13859
2014-04-13;14000;97;13903
2014-04-14;14038;97;13941
2014-04-15;14074;97;13977
2014-04-16;14121;98;14023
2014-04-17;14160;99;14061
2014-04-18;14197;99;14098
2014-04-19;14241;99;14142
2014-04-20;14275;99;14176
2014-04-21;14321;99;14222
2014-04-22;14397;100;14297
2014-04-23;14430;101;14329
2014-04-24;14473;101;14372
2014-04-25;14516;101;14415
2014-04-26;14552;101;14451
2014-04-27;14591;101;14490
2014-04-28;14630;101;14529
2014-04-29;14656;101;14555
2014-04-30;14692;105;14587
2014-05-01;14724;106;14618
2014-05-02;14770;106;14664
2014-05-03;14801;106;14695
2014-05-04;14832;106;14726
2014-05-05;14866;106;14760
