date;followers;following;fans
2013-04-17;1605;595;1010
2013-04-19;1608;597;1011
2013-04-21;1612;596;1016
2013-04-23;1612;596;1016
2013-04-26;1615;599;1016
2013-04-28;1612;599;1013
2013-04-30;1614;599;1015
2013-05-02;1616;599;1017
2013-05-03;1621;599;1022
2013-05-06;1623;599;1024
2013-05-08;1629;600;1029
2013-05-09;1632;600;1032
2013-05-11;1625;599;1026
2013-05-14;1630;599;1031
2013-05-16;1636;599;1037
2013-05-18;1640;599;1041
2013-05-20;1647;599;1048
2013-05-22;1645;599;1046
2013-05-23;1644;599;1045
2013-05-26;1646;599;1047
2013-05-28;1649;599;1050
2013-05-30;1649;598;1051
2013-06-01;1651;598;1053
2013-06-03;1653;598;1055
2013-06-05;1656;598;1058
2013-06-07;1659;598;1061
2013-06-09;1664;598;1066
2013-06-11;1667;598;1069
2013-06-20;1677;600;1077
2013-06-22;1680;600;1080
2013-06-24;1681;600;1081
2013-06-26;1683;600;1083
2013-06-28;1689;600;1089
2013-06-30;1697;600;1097
2013-07-02;1696;601;1095
2013-07-04;1703;601;1102
2013-07-06;1705;602;1103
2013-07-08;1707;602;1105
2013-07-10;1706;602;1104
2013-07-12;1705;602;1103
2013-07-14;1708;602;1106
2013-07-16;1709;602;1107
2013-07-18;1713;603;1110
2013-07-20;1713;603;1110
2013-07-22;1717;603;1114
2013-07-24;1719;603;1116
2013-07-26;1719;603;1116
2013-07-28;1722;603;1119
2013-07-30;1724;603;1121
2013-08-01;1727;603;1124
2013-08-03;1730;603;1127
2013-08-05;1727;603;1124
2013-08-07;1731;603;1128
2013-08-09;1735;603;1132
2013-08-11;1737;603;1134
2013-08-13;1740;603;1137
2013-08-15;1739;603;1136
2013-08-17;1742;603;1139
2013-08-19;1744;603;1141
2013-08-21;1745;603;1142
2013-08-23;1748;603;1145
2013-08-25;1750;603;1147
2013-08-27;1753;605;1148
2013-08-29;1755;605;1150
2013-08-31;1755;605;1150
2013-09-02;1756;605;1151
2013-09-04;1762;606;1156
2013-09-06;1763;606;1157
2013-09-08;1763;608;1155
2013-09-10;1765;608;1157
2013-09-12;1769;609;1160
2013-09-14;1774;610;1164
2013-09-16;1780;610;1170
2013-09-18;1780;611;1169
2013-09-20;1778;611;1167
2013-09-22;1779;611;1168
2013-09-24;1780;611;1169
2013-09-26;1781;611;1170
2013-09-28;1780;611;1169
2013-09-30;1784;611;1173
2013-10-02;1784;610;1174
2013-10-04;1785;610;1175
2013-10-06;1784;610;1174
2013-10-08;1785;610;1175
2013-10-10;1784;611;1173
2013-10-12;1787;611;1176
2013-10-14;1786;611;1175
2013-10-16;1789;611;1178
2013-10-18;1794;611;1183
2013-10-20;1792;611;1181
2013-10-22;1792;611;1181
2013-10-24;1801;611;1190
2013-10-26;1803;615;1188
2013-10-28;1804;615;1189
2013-10-30;1806;615;1191
2013-11-01;1809;616;1193
2013-11-03;1809;616;1193
2013-11-05;1809;616;1193
2013-11-07;1812;616;1196
2013-11-09;1814;616;1198
2013-11-11;1816;617;1199
2013-11-13;1818;617;1201
2013-11-15;1821;617;1204
2013-11-17;1824;618;1206
2013-11-19;1830;618;1212
2013-11-21;1834;618;1216
2013-11-23;1839;618;1221
2013-11-25;1838;618;1220
2013-11-27;1838;618;1220
2013-11-29;1838;617;1221
2013-12-01;1838;616;1222
2013-12-03;1839;616;1223
2013-12-05;1840;616;1224
2013-12-07;1841;616;1225
2013-12-09;1840;616;1224
2013-12-11;1842;617;1225
2013-12-13;1842;617;1225
2013-12-15;1845;617;1228
2013-12-17;1848;617;1231
2013-12-19;1852;617;1235
2013-12-21;1854;617;1237
2013-12-23;1854;617;1237
2013-12-25;1857;617;1240
2013-12-27;1860;617;1243
2013-12-29;1859;617;1242
2013-12-31;1861;617;1244
2014-01-02;1867;626;1241
2014-01-04;1867;626;1241
2014-01-06;1867;626;1241
2014-01-08;1867;626;1241
2014-01-10;1869;626;1243
2014-01-12;1871;626;1245
2014-01-14;1874;625;1249
2014-01-16;1876;625;1251
2014-01-18;1876;628;1248
2014-01-20;1878;628;1250
2014-01-22;1882;631;1251
2014-01-24;1884;631;1253
2014-01-26;1885;631;1254
2014-01-28;1886;631;1255
2014-01-30;1888;633;1255
2014-02-01;1896;636;1260
2014-02-03;1894;637;1257
2014-02-05;1896;640;1256
2014-02-07;1903;643;1260
2014-02-09;1903;648;1255
2014-02-11;1903;647;1256
2014-02-13;1908;656;1252
2014-02-15;1914;657;1257
2014-02-17;1916;657;1259
2014-02-19;1918;657;1261
2014-02-21;1919;659;1260
2014-02-23;1921;659;1262
2014-02-25;1923;659;1264
2014-02-27;1931;660;1271
2014-03-01;1931;661;1270
2014-03-03;1932;661;1271
2014-03-05;1938;661;1277
2014-03-07;1941;660;1281
2014-03-09;1946;659;1287
2014-03-11;1946;659;1287
2014-03-13;1946;659;1287
2014-03-15;1948;660;1288
2014-03-17;1947;660;1287
2014-03-19;1949;662;1287
2014-03-21;1951;662;1289
2014-03-23;1953;661;1292
2014-03-25;1959;661;1298
2014-03-27;1962;662;1300
2014-03-29;1962;662;1300
2014-03-31;1965;662;1303
2014-04-02;1965;662;1303
2014-04-04;1968;664;1304
2014-04-06;1972;665;1307
2014-04-08;1974;666;1308
2014-04-10;1977;666;1311
2014-04-12;1981;666;1315
2014-04-14;1987;666;1321
2014-04-16;1986;666;1320
2014-04-18;1986;666;1320
2014-04-20;1985;666;1319
2014-04-22;1987;666;1321
2014-04-24;1988;666;1322
2014-04-26;1984;667;1317
2014-04-28;1986;668;1318
2014-04-30;1986;669;1317
2014-05-02;1984;670;1314
2014-05-04;1985;670;1315
