date;followers;following;fans
2013-04-17;1419;92;1327
2013-04-20;1422;92;1330
2013-04-22;1422;92;1330
2013-04-24;1419;92;1327
2013-04-26;1422;92;1330
2013-04-28;1424;92;1332
2013-04-30;1434;92;1342
2013-05-02;1435;91;1344
2013-05-03;1442;91;1351
2013-05-06;1442;93;1349
2013-05-08;1443;93;1350
2013-05-09;1442;94;1348
2013-05-12;1438;94;1344
2013-05-14;1442;93;1349
2013-05-16;1449;93;1356
2013-05-18;1448;93;1355
2013-05-20;1447;93;1354
2013-05-22;1453;93;1360
2013-05-23;1462;95;1367
2013-05-26;1468;95;1373
2013-05-28;1478;97;1381
2013-05-30;1484;97;1387
2013-06-01;1490;97;1393
2013-06-03;1497;97;1400
2013-06-05;1502;97;1405
2013-06-06;1504;97;1407
2013-06-09;1509;97;1412
2013-06-11;1517;99;1418
2013-06-20;1537;99;1438
2013-06-22;1535;99;1436
2013-06-24;1546;100;1446
2013-06-26;1546;101;1445
2013-06-28;1546;101;1445
2013-06-30;1547;102;1445
2013-07-02;1552;100;1452
2013-07-04;1558;100;1458
2013-07-06;1556;101;1455
2013-07-08;1561;103;1458
2013-07-10;1560;103;1457
2013-07-12;1566;102;1464
2013-07-14;1566;102;1464
2013-07-16;1572;102;1470
2013-07-18;1577;100;1477
2013-07-20;1577;100;1477
2013-07-22;1580;101;1479
2013-07-24;1581;101;1480
2013-07-26;1585;103;1482
2013-07-28;1585;103;1482
2013-07-30;1588;103;1485
2013-08-01;1586;102;1484
2013-08-03;1589;101;1488
2013-08-05;1587;100;1487
2013-08-07;1592;101;1491
2013-08-09;1595;101;1494
2013-08-11;1596;102;1494
2013-08-13;1596;105;1491
2013-08-15;1603;106;1497
2013-08-17;1607;106;1501
2013-08-19;1612;106;1506
2013-08-21;1617;106;1511
2013-08-23;1622;77;1545
2013-08-25;1619;77;1542
2013-08-27;1617;77;1540
2013-08-29;1619;79;1540
2013-08-31;1623;79;1544
2013-09-02;1628;80;1548
2013-09-04;1626;80;1546
2013-09-06;1625;79;1546
2013-09-08;1628;79;1549
2013-09-10;1632;80;1552
2013-09-12;1632;80;1552
2013-09-14;1628;79;1549
2013-09-16;1630;79;1551
2013-09-18;1635;79;1556
2013-09-20;1636;79;1557
2013-09-22;1639;80;1559
2013-09-24;1644;81;1563
2013-09-26;1644;81;1563
2013-09-28;1645;82;1563
2013-09-29;1638;82;1556
2013-10-02;1644;84;1560
2013-10-04;1639;84;1555
2013-10-06;1645;86;1559
2013-10-08;1647;87;1560
2013-10-10;1650;87;1563
2013-10-12;1651;88;1563
2013-10-14;1654;87;1567
2013-10-16;1651;86;1565
2013-10-18;1651;87;1564
2013-10-20;1651;89;1562
2013-10-22;1655;82;1573
2013-10-24;1659;82;1577
2013-10-26;1658;82;1576
2013-10-28;1656;85;1571
2013-10-30;1655;82;1573
2013-11-01;1657;83;1574
2013-11-02;1661;85;1576
2013-11-05;1665;85;1580
2013-11-07;1670;87;1583
2013-11-09;1669;86;1583
2013-11-10;1667;85;1582
2013-11-12;1664;85;1579
2013-11-15;1661;84;1577
2013-11-17;1661;85;1576
2013-11-19;1661;85;1576
2013-11-21;1664;85;1579
2013-11-23;1663;85;1578
2013-11-25;1662;85;1577
2013-11-27;1663;85;1578
2013-11-29;1667;85;1582
2013-12-01;1664;85;1579
2013-12-03;1668;85;1583
2013-12-05;1665;86;1579
2013-12-06;1668;89;1579
2013-12-08;1667;89;1578
2013-12-11;1667;89;1578
2013-12-13;1666;90;1576
2013-12-15;1670;90;1580
2013-12-17;1670;91;1579
2013-12-19;1670;91;1579
2013-12-21;1673;91;1582
2013-12-23;1674;91;1583
2013-12-24;1671;90;1581
2013-12-27;1676;90;1586
2013-12-29;1679;91;1588
2013-12-31;1682;90;1592
2014-01-02;1686;93;1593
2014-01-04;1685;90;1595
2014-01-06;1689;90;1599
2014-01-08;1691;90;1601
2014-01-10;1692;90;1602
2014-01-12;1692;90;1602
2014-01-14;1690;89;1601
2014-01-16;1694;91;1603
2014-01-18;1695;93;1602
2014-01-20;1699;92;1607
2014-01-22;1703;91;1612
2014-01-24;1705;92;1613
2014-01-26;1699;92;1607
2014-01-28;1702;92;1610
2014-01-30;1704;91;1613
2014-02-01;1703;91;1612
2014-02-03;1709;92;1617
2014-02-05;1708;92;1616
2014-02-07;1703;92;1611
2014-02-09;1700;91;1609
2014-02-11;1701;91;1610
2014-02-13;1699;91;1608
2014-02-15;1700;91;1609
2014-02-17;1693;92;1601
2014-02-19;1691;92;1599
2014-02-21;1688;91;1597
2014-02-23;1691;91;1600
2014-02-25;1691;91;1600
2014-02-27;1688;91;1597
2014-03-01;1688;90;1598
2014-03-03;1688;90;1598
2014-03-05;1688;90;1598
2014-03-07;1688;90;1598
2014-03-09;1689;90;1599
2014-03-11;1690;92;1598
2014-03-13;1689;91;1598
2014-03-15;1690;91;1599
2014-03-17;1693;92;1601
2014-03-19;1689;92;1597
2014-03-21;1689;92;1597
2014-03-23;1689;92;1597
2014-03-25;1696;91;1605
2014-03-27;1696;91;1605
2014-03-29;1696;90;1606
2014-03-31;1699;90;1609
2014-04-02;1702;90;1612
2014-04-04;1701;90;1611
2014-04-06;1705;90;1615
2014-04-08;1713;90;1623
2014-04-10;1712;90;1622
2014-04-12;1710;90;1620
2014-04-14;1710;90;1620
2014-04-16;1713;90;1623
2014-04-18;1713;89;1624
2014-04-20;1712;89;1623
2014-04-22;1713;89;1624
2014-04-24;1711;89;1622
2014-04-26;1712;89;1623
2014-04-28;1713;88;1625
2014-04-30;1710;88;1622
2014-05-02;1710;88;1622
2014-05-04;1710;88;1622
