date;followers;following;fans
2014-02-06;19846;42;19804
2014-02-07;19880;42;19838
2014-02-08;19898;42;19856
2014-02-09;19939;42;19897
2014-02-10;19986;42;19944
2014-02-11;20023;42;19981
2014-02-12;20057;42;20015
2014-02-13;20092;42;20050
2014-02-14;20095;42;20053
2014-02-15;20112;42;20070
2014-02-16;20148;42;20106
2014-02-17;20194;42;20152
2014-02-18;20234;42;20192
2014-02-19;20248;42;20206
2014-02-20;20252;42;20210
2014-02-21;20262;42;20220
2014-02-22;20272;42;20230
2014-02-23;20656;42;20614
2014-02-24;21263;42;21221
2014-02-25;21499;43;21456
2014-02-26;21575;43;21532
2014-02-27;21684;43;21641
2014-02-28;21770;43;21727
2014-03-01;21889;43;21846
2014-03-02;21978;43;21935
2014-03-03;22043;43;22000
2014-03-04;22158;43;22115
2014-03-05;22469;43;22426
2014-03-06;22626;43;22583
2014-03-07;22732;43;22689
2014-03-08;22808;43;22765
2014-03-09;22890;43;22847
2014-03-10;22982;43;22939
2014-03-11;23090;43;23047
2014-03-12;23164;43;23121
2014-03-13;23204;43;23161
2014-03-14;23256;43;23213
2014-03-15;23282;43;23239
2014-03-16;23290;43;23247
2014-03-17;23414;43;23371
2014-03-18;23474;43;23431
2014-03-19;23513;43;23470
2014-03-20;23569;43;23526
2014-03-21;23599;43;23556
2014-03-22;23617;43;23574
2014-03-23;23679;43;23636
2014-03-24;23722;43;23679
2014-03-25;23750;43;23707
2014-03-26;23776;43;23733
2014-03-27;23831;43;23788
2014-03-28;23853;43;23810
2014-03-29;23879;43;23836
2014-03-30;23914;43;23871
2014-03-31;23954;43;23911
2014-04-01;23982;43;23939
2014-04-02;24003;43;23960
2014-04-03;24031;43;23988
2014-04-04;24052;43;24009
2014-04-05;24174;43;24131
2014-04-06;24306;43;24263
2014-04-07;24387;43;24344
2014-04-08;24533;43;24490
2014-04-09;24538;43;24495
2014-04-10;24602;43;24559
2014-04-11;24660;43;24617
2014-04-12;24719;43;24676
2014-04-13;24829;43;24786
2014-04-14;24910;43;24867
2014-04-15;24991;43;24948
2014-04-16;25087;43;25044
2014-04-17;25190;43;25147
2014-04-18;25225;43;25182
2014-04-19;25268;43;25225
2014-04-20;25306;43;25263
2014-04-21;25361;43;25318
2014-04-22;25395;43;25352
2014-04-23;25437;43;25394
2014-04-24;25489;43;25446
2014-04-25;25530;43;25487
2014-04-26;25586;43;25543
2014-04-27;25613;43;25570
2014-04-28;25709;43;25666
2014-04-29;25757;43;25714
2014-04-30;25799;43;25756
2014-05-01;25864;43;25821
2014-05-02;25928;43;25885
2014-05-03;25979;43;25936
2014-05-04;26072;43;26029
2014-05-05;26149;43;26106
