date;followers;following;fans
2013-04-18;2853;382;2471
2013-04-20;2848;382;2466
2013-04-22;2846;382;2464
2013-04-24;2847;382;2465
2013-04-26;2848;383;2465
2013-04-28;2846;384;2462
2013-04-30;2843;385;2458
2013-05-02;2842;386;2456
2013-05-04;2843;386;2457
2013-05-06;2841;385;2456
2013-05-08;2840;386;2454
2013-05-10;2840;388;2452
2013-05-12;2835;389;2446
2013-05-14;2838;388;2450
2013-05-16;2839;388;2451
2013-05-18;2843;389;2454
2013-05-20;2841;389;2452
2013-05-22;2839;389;2450
2013-05-24;2840;390;2450
2013-05-26;2840;390;2450
2013-05-28;2838;387;2451
2013-05-30;2836;381;2455
2013-06-01;2833;380;2453
2013-06-03;2831;284;2547
2013-06-04;2830;284;2546
2013-06-05;2827;284;2543
2013-06-06;2826;283;2543
2013-06-07;2825;284;2541
2013-06-08;2826;285;2541
2013-06-09;2825;285;2540
2013-06-10;2825;285;2540
2013-06-11;2826;286;2540
2013-06-20;2819;285;2534
2013-06-21;2817;285;2532
2013-06-22;2817;286;2531
2013-06-23;2818;287;2531
2013-06-25;2820;288;2532
2013-06-26;2818;288;2530
2013-06-27;2816;287;2529
2013-06-28;2816;287;2529
2013-06-29;2816;287;2529
2013-06-30;2815;287;2528
2013-07-01;2814;289;2525
2013-07-02;2810;289;2521
2013-07-04;2810;289;2521
2013-07-05;2809;289;2520
2013-07-06;2808;289;2519
2013-07-07;2807;289;2518
2013-07-08;2808;289;2519
2013-07-09;2809;289;2520
2013-07-10;2810;289;2521
2013-07-11;2810;289;2521
2013-07-13;2811;289;2522
2013-07-14;2810;289;2521
2013-07-15;2811;289;2522
2013-07-16;2810;289;2521
2013-07-17;2810;289;2521
2013-07-18;2809;290;2519
2013-07-19;2808;289;2519
2013-07-21;2808;289;2519
2013-07-22;2807;289;2518
2013-07-23;2808;290;2518
2013-07-24;2807;291;2516
2013-07-25;2808;291;2517
2013-07-26;2808;292;2516
2013-07-27;2808;286;2522
2013-07-29;2806;288;2518
2013-07-30;2806;288;2518
2013-07-31;2807;289;2518
2013-08-01;2807;289;2518
2013-08-02;2806;289;2517
2013-08-03;2807;289;2518
2013-08-04;2807;289;2518
2013-08-05;2808;289;2519
2013-08-07;2808;289;2519
2013-08-08;2808;290;2518
2013-08-09;2809;291;2518
2013-08-10;2810;293;2517
2013-08-11;2811;293;2518
2013-08-12;2811;292;2519
2013-08-13;2811;293;2518
2013-08-14;2809;293;2516
2013-08-16;2810;294;2516
2013-08-17;2810;294;2516
2013-08-18;2812;295;2517
2013-08-19;2810;296;2514
2013-08-20;2810;296;2514
2013-08-21;2808;296;2512
2013-08-23;2809;298;2511
2013-08-24;2810;298;2512
2013-08-25;2810;298;2512
2013-08-26;2810;298;2512
2013-08-27;2811;299;2512
2013-08-28;2811;300;2511
2013-08-30;2810;300;2510
2013-08-31;2807;299;2508
2013-09-01;2808;301;2507
2013-09-02;2807;302;2505
2013-09-03;2804;302;2502
2013-09-04;2804;302;2502
2013-09-05;2803;302;2501
2013-09-07;2802;301;2501
2013-09-08;2801;301;2500
2013-09-09;2801;301;2500
2013-09-10;2799;301;2498
2013-09-12;2799;301;2498
2013-09-14;2798;301;2497
2013-09-16;2796;301;2495
2013-09-18;2790;302;2488
2013-09-20;2788;302;2486
2013-09-22;2786;301;2485
2013-09-24;2787;303;2484
2013-09-26;2785;304;2481
2013-09-28;2784;304;2480
2013-09-30;2781;304;2477
2013-10-02;2779;304;2475
2013-10-04;2778;304;2474
2013-10-06;2776;303;2473
2013-10-08;2774;303;2471
2013-10-10;2775;303;2472
2013-10-12;2774;303;2471
2013-10-14;2775;305;2470
2013-10-16;2774;306;2468
2013-10-18;2776;306;2470
2013-10-20;2773;306;2467
2013-10-22;2767;306;2461
2013-10-24;2766;305;2461
2013-10-26;2768;305;2463
2013-10-28;2763;306;2457
2013-10-30;2761;305;2456
2013-11-01;2760;306;2454
2013-11-03;2760;306;2454
2013-11-05;2761;306;2455
2013-11-07;2759;307;2452
2013-11-09;2759;307;2452
2013-11-11;2754;307;2447
2013-11-13;2748;306;2442
2013-11-15;2746;307;2439
2013-11-17;2745;307;2438
2013-11-19;2742;306;2436
2013-11-21;2744;307;2437
2013-11-23;2744;306;2438
2013-11-25;2742;305;2437
2013-11-27;2743;307;2436
2013-11-29;2745;307;2438
2013-12-01;2739;308;2431
2013-12-03;2738;308;2430
2013-12-05;2736;307;2429
2013-12-07;2733;308;2425
2013-12-09;2733;308;2425
2013-12-11;2736;309;2427
2013-12-13;2733;309;2424
2013-12-15;2732;309;2423
2013-12-17;2733;310;2423
2013-12-19;2731;310;2421
2013-12-21;2731;311;2420
2013-12-23;2731;311;2420
2013-12-25;2730;311;2419
2013-12-27;2731;311;2420
2013-12-29;2732;311;2421
2013-12-31;2734;312;2422
2014-01-02;2734;312;2422
2014-01-04;2734;315;2419
2014-01-06;2735;315;2420
2014-01-08;2735;315;2420
2014-01-10;2735;315;2420
2014-01-12;2736;316;2420
2014-01-14;2736;316;2420
2014-01-16;2735;316;2419
2014-01-18;2735;316;2419
2014-01-20;2733;316;2417
2014-01-22;2732;316;2416
2014-01-24;2729;316;2413
2014-01-26;2731;317;2414
2014-01-28;2729;317;2412
2014-01-30;2730;317;2413
2014-02-01;2729;316;2413
2014-02-03;2729;316;2413
2014-02-05;2729;316;2413
