date;followers;following;fans
2013-04-18;12319;3988;8331
2013-04-19;12322;3981;8341
2013-04-20;12322;3989;8333
2013-04-21;12341;4013;8328
2013-04-22;12375;4040;8335
2013-04-23;12371;4033;8338
2013-04-24;12409;4061;8348
2013-04-25;12420;4092;8328
2013-04-26;12439;4116;8323
2013-04-27;12450;4124;8326
2013-04-28;12449;4123;8326
2013-04-29;12443;4122;8321
2013-04-30;12450;4129;8321
2013-05-01;12454;4137;8317
2013-05-02;12454;4136;8318
2013-05-03;12451;4147;8304
2013-05-04;12445;4142;8303
2013-05-05;12440;4139;8301
2013-05-06;12437;4140;8297
2013-05-07;12445;4153;8292
2013-05-08;12443;4154;8289
2013-05-09;12444;4154;8290
2013-05-10;12442;4158;8284
2013-05-11;12313;4083;8230
2013-05-12;12312;4087;8225
2013-05-13;12306;4084;8222
2013-05-14;12341;4006;8335
2013-05-15;12465;4316;8149
2013-05-16;12475;4321;8154
2013-05-17;12559;4826;7733
2013-05-18;12610;4840;7770
2013-05-19;12619;4053;8566
2013-05-20;12651;4493;8158
2013-05-21;12672;4589;8083
2013-05-22;12682;4591;8091
2013-05-23;12682;4591;8091
2013-05-24;12692;3889;8803
2013-05-25;12691;3890;8801
2013-05-26;12696;3913;8783
2013-05-27;12698;3928;8770
2013-05-28;12701;3942;8759
2013-05-29;12706;3946;8760
2013-05-30;12702;3951;8751
2013-05-31;12704;3951;8753
2013-06-01;12709;3926;8783
2013-06-02;12708;3946;8762
2013-06-03;12714;3953;8761
2013-06-04;12708;3957;8751
2013-06-05;12714;3962;8752
2013-06-06;12715;3962;8753
2013-06-07;12712;3959;8753
2013-06-08;12733;4023;8710
2013-06-09;12729;4022;8707
2013-06-10;12731;4022;8709
2013-06-11;12724;4023;8701
2013-06-20;12731;3973;8758
2013-06-21;12737;3981;8756
2013-06-22;12767;4373;8394
2013-06-23;12780;4533;8247
2013-06-24;12802;4675;8127
2013-06-25;12818;4060;8758
2013-06-26;12830;4230;8600
2013-06-27;12938;4639;8299
2013-06-28;13002;4645;8357
2013-06-29;13025;4244;8781
2013-06-30;13030;4363;8667
2013-07-01;13043;4251;8792
2013-07-02;13061;4477;8584
2013-07-03;13066;4296;8770
2013-07-04;13078;4380;8698
2013-07-05;13081;4380;8701
2013-07-06;13079;4311;8768
2013-07-07;13081;4344;8737
2013-07-08;13085;4319;8766
2013-07-10;13091;4333;8758
2013-07-11;13087;4331;8756
2013-07-12;13108;4328;8780
2013-07-13;13118;4338;8780
2013-07-14;13113;4337;8776
2013-07-15;13126;4335;8791
2013-07-16;13126;4342;8784
2013-07-17;13119;4343;8776
2013-07-18;13114;4343;8771
2013-07-19;13109;4342;8767
2013-07-20;13098;4342;8756
2013-07-21;13095;4340;8755
2013-07-22;13094;4342;8752
2013-07-23;13094;4343;8751
2013-07-24;13102;4410;8692
2013-07-25;13117;4405;8712
2013-07-26;13105;4407;8698
2013-07-27;13051;4374;8677
2013-07-28;13024;4524;8500
2013-07-29;13027;4335;8692
2013-07-30;13032;4342;8690
2013-07-31;13040;4348;8692
2013-08-01;13038;4353;8685
2013-08-02;13082;4886;8196
2013-08-03;13122;5104;8018
2013-08-04;13150;5264;7886
2013-08-05;13169;5319;7850
2013-08-06;13184;5441;7743
2013-08-07;13197;5441;7756
2013-08-08;13195;5498;7697
2013-08-09;13208;5593;7615
2013-08-10;13226;5702;7524
2013-08-11;13234;5714;7520
2013-08-12;13234;5715;7519
2013-08-13;13278;5953;7325
2013-08-14;13295;5968;7327
2013-08-15;13302;6056;7246
2013-08-16;13302;6057;7245
2013-08-17;13327;6203;7124
2013-08-18;13352;6311;7041
2013-08-19;13379;6424;6955
2013-08-20;13423;6601;6822
2013-08-21;13445;6606;6839
2013-08-22;13449;5823;7626
2013-08-23;13470;5909;7561
2013-08-24;13472;5114;8358
2013-08-25;13471;4314;9157
2013-08-26;13479;4326;9153
2013-08-27;13484;4499;8985
2013-08-28;13516;4673;8843
2013-08-29;13521;4674;8847
2013-08-30;13524;4679;8845
2013-08-31;13526;4689;8837
2013-09-01;13519;4690;8829
2013-09-02;13553;4785;8768
2013-09-03;13610;4870;8740
2013-09-04;13622;4878;8744
2013-09-05;13638;4914;8724
2013-09-06;13642;4921;8721
2013-09-07;13649;4934;8715
2013-09-08;13677;5076;8601
2013-09-09;13698;5094;8604
2013-09-10;13705;5102;8603
2013-09-11;13706;5101;8605
2013-09-12;13712;5098;8614
2013-09-13;13722;5137;8585
2013-09-14;13750;5251;8499
2013-09-15;13743;5255;8488
2013-09-16;13748;5254;8494
2013-09-17;13749;5262;8487
2013-09-18;13751;5266;8485
2013-09-19;13742;5261;8481
2013-09-20;13754;5272;8482
2013-09-21;13755;5282;8473
2013-09-22;13754;5168;8586
2013-09-23;13753;5006;8747
2013-09-24;13763;4864;8899
2013-09-25;13764;4613;9151
2013-09-26;13763;4618;9145
2013-09-27;13771;4657;9114
2013-09-28;13770;4666;9104
2013-09-29;13773;4668;9105
2013-10-01;13773;4678;9095
2013-10-02;13775;4754;9021
2013-10-03;13771;4630;9141
2013-10-04;13772;4629;9143
2013-10-05;13783;4703;9080
2013-10-06;13775;4703;9072
2013-10-07;13771;4703;9068
2013-10-08;13777;4741;9036
2013-10-09;13787;4747;9040
2013-10-10;13787;4746;9041
2013-10-11;13789;4746;9043
2013-10-12;13784;4744;9040
2013-10-13;13780;4744;9036
2013-10-14;13779;4743;9036
2013-10-15;13781;4743;9038
2013-10-16;13781;4743;9038
2013-10-17;13782;4744;9038
2013-10-18;13778;4745;9033
2013-10-19;13774;4743;9031
2013-10-20;13773;4743;9030
2013-10-21;13764;4742;9022
2013-10-22;13764;4742;9022
2013-10-23;13761;4741;9020
2013-10-24;13756;4740;9016
2013-10-25;13756;4739;9017
2013-10-26;13754;4740;9014
2013-10-27;13751;4738;9013
2013-10-28;13745;4739;9006
2013-10-29;13743;4740;9003
2013-10-30;13739;4741;8998
2013-10-31;13736;4738;8998
2013-11-01;13736;4756;8980
2013-11-02;13733;4753;8980
2013-11-03;13759;4801;8958
2013-11-04;13794;4868;8926
2013-11-05;13809;4880;8929
2013-11-06;13820;4916;8904
2013-11-07;13846;4955;8891
2013-11-08;13852;4970;8882
2013-11-09;13858;4766;9092
2013-11-10;13844;4761;9083
2013-11-11;13839;4758;9081
2013-11-12;13845;4774;9071
2013-11-13;13847;4779;9068
2013-11-14;13843;4778;9065
2013-11-15;13838;4779;9059
2013-11-16;13839;4793;9046
2013-11-17;13836;4810;9026
2013-11-18;13833;4817;9016
2013-11-19;13842;4769;9073
2013-11-20;13847;4779;9068
2013-11-21;13845;4789;9056
2013-11-22;13848;4801;9047
2013-11-23;13853;4802;9051
2013-11-24;13848;4782;9066
2013-11-25;13860;4788;9072
2013-11-26;13854;4768;9086
2013-11-27;13854;4766;9088
2013-11-28;13848;4764;9084
2013-11-29;13849;4763;9086
2013-11-30;13847;4763;9084
2013-12-01;13849;4790;9059
2013-12-02;13846;4788;9058
2013-12-03;13853;4794;9059
2013-12-04;13844;4799;9045
2013-12-05;13840;4798;9042
2013-12-06;13838;4802;9036
2013-12-07;13832;4800;9032
2013-12-08;13825;4794;9031
2013-12-09;13853;4990;8863
2013-12-10;13865;5004;8861
2013-12-11;13860;4804;9056
2013-12-12;13859;4803;9056
2013-12-13;13851;4807;9044
2013-12-14;13877;5075;8802
2013-12-15;13900;5258;8642
2013-12-16;13922;5338;8584
2013-12-17;13931;4869;9062
2013-12-18;13930;4869;9061
2013-12-19;13928;4868;9060
2013-12-20;13941;4980;8961
2013-12-21;13963;5254;8709
2013-12-22;13975;5333;8642
2013-12-23;14007;5518;8489
2013-12-24;14013;5529;8484
2013-12-25;14021;5530;8491
2013-12-26;14017;4951;9066
2013-12-27;14020;4952;9068
2013-12-28;14018;4952;9066
2013-12-29;14017;4954;9063
2013-12-30;14017;4952;9065
2013-12-31;14017;4947;9070
2014-01-01;14010;4946;9064
2014-01-02;14002;4942;9060
2014-01-03;14015;5032;8983
2014-01-04;14027;5127;8900
2014-01-05;14029;5126;8903
2014-01-06;14050;5301;8749
2014-01-07;14051;4992;9059
2014-01-08;14044;4989;9055
2014-01-09;14047;5081;8966
2014-01-10;14087;5238;8849
2014-01-11;14107;5296;8811
2014-01-12;14119;5353;8766
2014-01-13;14124;5349;8775
2014-01-14;14146;5596;8550
2014-01-15;14152;5088;9064
2014-01-16;14151;5089;9062
2014-01-17;14156;5114;9042
2014-01-18;14158;5125;9033
2014-01-19;14158;5098;9060
2014-01-20;14152;5094;9058
2014-01-21;14150;5096;9054
2014-01-22;14184;5354;8830
2014-01-23;14190;5117;9073
2014-01-24;14190;5124;9066
2014-01-25;14195;5206;8989
2014-01-26;14219;5376;8843
2014-01-27;14221;5380;8841
2014-01-28;14223;5157;9066
2014-01-30;14231;5208;9023
2014-01-31;14230;5211;9019
2014-02-01;14231;5212;9019
2014-02-02;14240;5255;8985
2014-02-03;14243;5262;8981
2014-02-04;14284;5447;8837
2014-02-05;14288;5227;9061
2014-02-06;14300;5319;8981
2014-02-07;14304;5320;8984
2014-02-08;14313;5340;8973
2014-02-09;14319;5346;8973
2014-02-10;14320;5349;8971
2014-02-11;14322;5350;8972
2014-02-12;14324;5355;8969
2014-02-13;14345;5530;8815
2014-02-14;14346;5535;8811
2014-02-15;14355;5628;8727
2014-02-16;14355;5630;8725
2014-02-17;14359;5634;8725
2014-02-18;14362;5649;8713
2014-02-19;14378;5298;9080
2014-02-20;14380;5301;9079
2014-02-21;14389;5305;9084
2014-02-22;14391;5310;9081
2014-02-23;14398;5314;9084
2014-02-24;14395;5311;9084
2014-02-25;14408;5323;9085
2014-02-26;14406;5320;9086
2014-02-27;14413;5327;9086
2014-02-28;14415;5332;9083
2014-03-01;14423;5340;9083
2014-03-02;14421;5337;9084
2014-03-03;14420;5333;9087
2014-03-04;14424;5341;9083
2014-03-05;14431;5348;9083
2014-03-06;14427;5347;9080
2014-03-07;14433;5351;9082
2014-03-08;14437;5356;9081
2014-03-09;14453;5372;9081
2014-03-10;14467;5385;9082
2014-03-11;14466;5384;9082
2014-03-12;14468;5383;9085
2014-03-13;14474;5387;9087
2014-03-14;14466;5381;9085
2014-03-15;14468;5379;9089
2014-03-16;14465;5376;9089
2014-03-17;14471;5375;9096
2014-03-18;14472;5375;9097
2014-03-19;14471;5372;9099
2014-03-20;14472;5373;9099
2014-03-21;14472;5387;9085
2014-03-22;14479;5390;9089
2014-03-23;14486;5396;9090
2014-03-24;14492;5404;9088
2014-03-25;14501;5410;9091
2014-03-26;14501;5411;9090
2014-03-27;14506;5407;9099
2014-03-28;14502;5412;9090
2014-03-29;14500;5409;9091
2014-03-30;14498;5407;9091
2014-03-31;14507;5412;9095
2014-04-01;14510;5417;9093
2014-04-02;14513;5421;9092
2014-04-03;14514;5420;9094
2014-04-04;14514;5421;9093
2014-04-05;14515;5418;9097
2014-04-06;14515;5421;9094
2014-04-07;14528;5592;8936
2014-04-08;14524;5431;9093
2014-04-09;14523;5433;9090
2014-04-10;14522;5436;9086
2014-04-11;14521;5436;9085
2014-04-12;14520;5437;9083
2014-04-13;14519;5437;9082
2014-04-14;14523;5437;9086
2014-04-15;14536;5521;9015
2014-04-16;14534;5522;9012
2014-04-17;14528;5521;9007
2014-04-18;14537;5524;9013
2014-04-19;14534;5525;9009
2014-04-20;14528;5523;9005
2014-04-21;14528;5522;9006
2014-04-22;14529;5523;9006
2014-04-23;14533;5528;9005
2014-04-24;14536;5540;8996
2014-04-25;14534;5542;8992
2014-04-26;14533;5545;8988
2014-04-27;14542;5557;8985
2014-04-28;14546;5564;8982
2014-04-29;14549;5565;8984
2014-04-30;14552;5467;9085
2014-05-01;14546;5469;9077
2014-05-02;14544;5469;9075
2014-05-03;14543;5469;9074
2014-05-04;14545;5468;9077
2014-05-05;14545;5467;9078
