date;followers;following;fans
2013-05-10;1023;20;1003
2013-05-13;1149;26;1123
2013-05-15;1168;26;1142
2013-05-17;1183;28;1155
2013-05-19;1205;28;1177
2013-05-21;1233;28;1205
2013-05-23;1246;28;1218
2013-05-25;1254;28;1226
2013-05-27;1263;28;1235
2013-05-28;1270;28;1242
2013-05-31;1274;28;1246
2013-06-02;1275;28;1247
2013-06-04;1282;26;1256
2013-06-06;1284;26;1258
2013-06-08;1295;26;1269
2013-06-10;1296;26;1270
2013-06-20;1290;26;1264
2013-06-21;1292;26;1266
2013-06-23;1297;26;1271
2013-06-26;1299;26;1273
2013-06-28;1300;26;1274
2013-06-30;1298;26;1272
2013-07-02;1289;26;1263
2013-07-04;1284;26;1258
2013-07-06;1284;26;1258
2013-07-08;1288;26;1262
2013-07-10;1288;26;1262
2013-07-12;1287;26;1261
2013-07-14;1284;26;1258
2013-07-16;1284;26;1258
2013-07-18;1276;26;1250
2013-07-20;1276;26;1250
2013-07-22;1276;26;1250
2013-07-24;1276;26;1250
2013-07-26;1273;26;1247
2013-07-28;1271;26;1245
2013-07-30;1275;26;1249
2013-08-01;1277;26;1251
2013-08-03;1277;26;1251
2013-08-05;1271;26;1245
2013-08-07;1270;26;1244
2013-08-09;1264;26;1238
2013-08-11;1266;26;1240
2013-08-13;1261;26;1235
2013-08-15;1260;26;1234
2013-08-17;1261;26;1235
2013-08-19;1258;26;1232
2013-08-21;1261;26;1235
2013-08-23;1258;26;1232
2013-08-25;1256;26;1230
2013-08-27;1254;26;1228
2013-08-29;1252;26;1226
2013-08-31;1251;26;1225
2013-09-02;1252;26;1226
2013-09-04;1256;26;1230
2013-09-06;1255;26;1229
2013-09-08;1256;26;1230
2013-09-10;1255;26;1229
2013-09-12;1256;26;1230
2013-09-14;1255;26;1229
2013-09-16;1253;26;1227
2013-09-18;1253;26;1227
2013-09-20;1250;26;1224
2013-09-22;1246;26;1220
2013-09-24;1244;26;1218
2013-09-26;1245;26;1219
2013-09-28;1244;26;1218
2013-09-29;1238;26;1212
2013-10-02;1235;26;1209
2013-10-04;1236;26;1210
2013-10-06;1236;26;1210
2013-10-08;1236;26;1210
2013-10-10;1235;26;1209
2013-10-12;1234;26;1208
2013-10-14;1235;26;1209
2013-10-16;1233;26;1207
2013-10-18;1234;26;1208
2013-10-20;1232;26;1206
2013-10-22;1233;26;1207
2013-10-24;1232;26;1206
2013-10-26;1229;26;1203
2013-10-28;1225;26;1199
2013-10-30;1220;26;1194
2013-11-01;1214;26;1188
2013-11-03;1214;26;1188
2013-11-05;1215;26;1189
2013-11-07;1215;26;1189
2013-11-09;1212;26;1186
2013-11-11;1214;26;1188
2013-11-12;1211;26;1185
2013-11-15;1207;26;1181
2013-11-17;1207;26;1181
2013-11-19;1205;26;1179
2013-11-21;1207;27;1180
2013-11-23;1205;27;1178
2013-11-25;1209;27;1182
2013-11-27;1210;27;1183
2013-11-29;1211;27;1184
2013-12-01;1208;27;1181
2013-12-03;1206;27;1179
2013-12-05;1206;27;1179
2013-12-07;1203;27;1176
2013-12-09;1203;27;1176
2013-12-11;1204;27;1177
2013-12-13;1207;27;1180
2013-12-15;1209;27;1182
2013-12-17;1208;27;1181
2013-12-19;1205;27;1178
2013-12-21;1206;27;1179
2013-12-23;1202;27;1175
2013-12-25;1205;27;1178
2013-12-27;1204;27;1177
2013-12-29;1205;27;1178
2013-12-31;1203;27;1176
2014-01-02;1205;27;1178
2014-01-04;1205;27;1178
2014-01-06;1205;27;1178
2014-01-08;1206;27;1179
2014-01-10;1206;27;1179
2014-01-12;1205;27;1178
2014-01-14;1208;27;1181
2014-01-16;1207;27;1180
2014-01-18;1205;27;1178
2014-01-20;1202;27;1175
2014-01-22;1200;27;1173
2014-01-24;1200;27;1173
2014-01-26;1197;27;1170
2014-01-28;1197;27;1170
2014-01-30;1196;27;1169
2014-02-01;1198;27;1171
2014-02-03;1197;27;1170
2014-02-05;1196;27;1169
2014-02-07;1194;27;1167
2014-02-09;1196;27;1169
2014-02-11;1198;27;1171
2014-02-13;1194;27;1167
2014-02-15;1192;27;1165
2014-02-17;1196;27;1169
2014-02-19;1197;27;1170
2014-02-21;1205;27;1178
2014-02-23;1212;27;1185
2014-02-25;1213;27;1186
2014-02-27;1217;27;1190
2014-03-01;1226;27;1199
2014-03-03;1232;27;1205
2014-03-05;1237;27;1210
2014-03-07;1239;27;1212
2014-03-09;1245;27;1218
2014-03-11;1252;27;1225
2014-03-13;1260;27;1233
2014-03-15;1261;27;1234
2014-03-17;1270;27;1243
2014-03-19;1276;27;1249
2014-03-21;1286;27;1259
2014-03-23;1297;27;1270
2014-03-25;1310;27;1283
2014-03-27;1324;27;1297
2014-03-29;1346;27;1319
2014-03-31;1371;27;1344
2014-04-02;1389;27;1362
2014-04-04;1410;27;1383
2014-04-06;1426;27;1399
2014-04-08;1436;27;1409
2014-04-10;1447;27;1420
2014-04-12;1479;29;1450
2014-04-14;1513;31;1482
2014-04-16;1547;31;1516
2014-04-18;1577;31;1546
2014-04-20;1624;31;1593
2014-04-22;1658;31;1627
2014-04-24;1697;31;1666
2014-04-26;1725;31;1694
2014-04-28;1769;31;1738
2014-04-30;1790;31;1759
2014-05-02;1817;31;1786
2014-05-04;1846;31;1815
