date;followers;following;fans
2013-04-18;2676;1006;1670
2013-04-20;2691;1006;1685
2013-04-22;2699;1008;1691
2013-04-24;2700;1008;1692
2013-04-26;2705;1008;1697
2013-04-28;2711;1008;1703
2013-04-30;2714;1007;1707
2013-05-02;2721;1008;1713
2013-05-04;2721;1009;1712
2013-05-06;2729;1009;1720
2013-05-08;2741;1009;1732
2013-05-10;2743;1009;1734
2013-05-12;2741;1004;1737
2013-05-14;2741;1005;1736
2013-05-16;2756;1007;1749
2013-05-18;2761;1008;1753
2013-05-20;2766;1009;1757
2013-05-22;2768;1009;1759
2013-05-24;2775;1009;1766
2013-05-26;2776;1008;1768
2013-05-28;2786;1008;1778
2013-05-30;2798;1010;1788
2013-06-01;2811;1011;1800
2013-06-03;2860;1011;1849
2013-06-05;3198;1011;2187
2013-06-07;3328;1012;2316
2013-06-09;3354;1012;2342
2013-06-11;3366;1013;2353
2013-06-20;3385;1015;2370
2013-06-22;3391;1015;2376
2013-06-24;3394;1015;2379
2013-06-26;3402;1014;2388
2013-06-28;3405;1014;2391
2013-06-30;3409;1013;2396
2013-07-02;3415;1013;2402
2013-07-04;3427;1014;2413
2013-07-06;3431;1014;2417
2013-07-08;3437;1014;2423
2013-07-10;3445;1015;2430
2013-07-12;3447;1016;2431
2013-07-14;3445;1016;2429
2013-07-16;3451;1016;2435
2013-07-18;3456;1016;2440
2013-07-20;3457;1016;2441
2013-07-22;3461;1016;2445
2013-07-24;3466;1015;2451
2013-07-26;3475;1015;2460
2013-07-28;3477;1015;2462
2013-07-30;3483;1015;2468
2013-08-01;3485;1015;2470
2013-08-03;3494;1015;2479
2013-08-05;3501;1015;2486
2013-08-07;3507;1016;2491
2013-08-09;3518;1039;2479
2013-08-11;3520;1039;2481
2013-08-13;3525;1039;2486
2013-08-15;3530;1039;2491
2013-08-17;3535;1040;2495
2013-08-19;3544;1042;2502
2013-08-20;3544;1042;2502
2013-08-21;3545;1042;2503
2013-08-22;3553;1042;2511
2013-08-23;3560;1042;2518
2013-08-24;3564;1042;2522
2013-08-25;3566;1042;2524
2013-08-27;3568;1045;2523
2013-08-28;3569;1045;2524
2013-08-29;3572;1045;2527
2013-08-30;3577;1045;2532
2013-08-31;3582;1045;2537
2013-09-01;3583;1045;2538
2013-09-03;3590;1046;2544
2013-09-04;3592;1048;2544
2013-09-05;3597;1048;2549
2013-09-06;3602;1048;2554
2013-09-07;3621;1048;2573
2013-09-08;3623;1048;2575
2013-09-09;3629;1048;2581
2013-09-11;3633;1048;2585
2013-09-12;3634;1048;2586
2013-09-13;3636;1048;2588
2013-09-14;3637;1048;2589
2013-09-15;3640;1048;2592
2013-09-16;3643;1049;2594
2013-09-18;3645;1049;2596
2013-09-19;3649;1050;2599
2013-09-20;3656;1051;2605
2013-09-21;3661;1051;2610
2013-09-22;3661;1051;2610
2013-09-24;3670;1051;2619
2013-09-25;3676;1050;2626
2013-09-26;3678;1050;2628
2013-09-27;3680;1051;2629
2013-09-28;3682;1052;2630
2013-09-29;3684;1053;2631
2013-09-30;3691;1053;2638
2013-10-02;3695;1054;2641
2013-10-03;3700;1055;2645
2013-10-04;3701;1055;2646
2013-10-05;3703;1055;2648
2013-10-06;3706;1055;2651
2013-10-08;3710;1055;2655
2013-10-09;3711;1055;2656
2013-10-10;3714;1055;2659
2013-10-11;3715;1056;2659
2013-10-12;3723;1057;2666
