date;followers;following;fans
2013-04-18;6874;270;6604
2013-04-19;6881;270;6611
2013-04-20;6894;270;6624
2013-04-21;6901;270;6631
2013-04-22;6916;270;6646
2013-04-23;6932;270;6662
2013-04-24;6944;270;6674
2013-04-25;6952;270;6682
2013-04-26;6954;270;6684
2013-04-27;6956;270;6686
2013-04-28;6971;270;6701
2013-04-29;6985;270;6715
2013-04-30;7007;270;6737
2013-05-01;7016;270;6746
2013-05-02;7022;270;6752
2013-05-03;7040;270;6770
2013-05-04;7041;270;6771
2013-05-05;7051;270;6781
2013-05-06;7060;270;6790
2013-05-07;7062;270;6792
2013-05-08;7068;270;6798
2013-05-09;7078;270;6808
2013-05-10;7091;270;6821
2013-05-11;7091;270;6821
2013-05-12;7096;270;6826
2013-05-13;7106;270;6836
2013-05-14;7123;270;6853
2013-05-15;7131;270;6861
2013-05-16;7137;270;6867
2013-05-17;7142;270;6872
2013-05-18;7153;269;6884
2013-05-19;7161;269;6892
2013-05-20;7172;269;6903
2013-05-21;7183;269;6914
2013-05-22;7197;269;6928
2013-05-23;7203;269;6934
2013-05-24;7222;269;6953
2013-05-25;7232;269;6963
2013-05-26;7248;269;6979
2013-05-27;7252;269;6983
2013-05-28;7256;269;6987
2013-05-29;7268;269;6999
2013-05-30;7278;269;7009
2013-05-31;7290;269;7021
2013-06-01;7300;269;7031
2013-06-02;7304;269;7035
2013-06-03;7305;269;7036
2013-06-04;7312;269;7043
2013-06-05;7317;269;7048
2013-06-06;7328;269;7059
2013-06-07;7341;269;7072
2013-06-08;7355;269;7086
2013-06-09;7363;269;7094
2013-06-10;7377;269;7108
2013-06-11;7389;269;7120
2013-06-20;7662;271;7391
2013-06-21;7677;271;7406
2013-06-22;7694;271;7423
2013-06-23;7710;271;7439
2013-06-24;7723;271;7452
2013-06-25;7748;271;7477
2013-06-26;7768;271;7497
2013-06-27;7781;271;7510
2013-06-28;7797;271;7526
2013-06-29;7818;271;7547
2013-06-30;7841;271;7570
2013-07-02;7872;271;7601
2013-07-03;7888;271;7617
2013-07-04;7901;271;7630
2013-07-05;7918;271;7647
2013-07-06;7932;271;7661
2013-07-07;7946;271;7675
2013-07-08;7958;271;7687
2013-07-10;7976;271;7705
2013-07-11;7989;274;7715
2013-07-12;8010;283;7727
2013-07-13;8027;283;7744
2013-07-14;8036;284;7752
2013-07-15;8053;284;7769
2013-07-16;8077;284;7793
2013-07-17;8090;284;7806
2013-07-18;8108;284;7824
2013-07-19;8119;284;7835
2013-07-20;8131;284;7847
2013-07-21;8143;284;7859
2013-07-22;8154;284;7870
2013-07-23;8167;284;7883
2013-07-24;8183;284;7899
2013-07-25;8196;284;7912
2013-07-26;8210;284;7926
2013-07-27;8217;284;7933
2013-07-28;8218;284;7934
2013-07-29;8226;283;7943
2013-07-30;8236;283;7953
2013-07-31;8247;283;7964
2013-08-01;8255;283;7972
2013-08-03;8269;283;7986
2013-08-04;8281;283;7998
2013-08-05;8294;284;8010
2013-08-06;8303;284;8019
2013-08-07;8305;284;8021
2013-08-08;8314;284;8030
2013-08-09;8318;284;8034
2013-08-10;8329;284;8045
2013-08-11;8337;284;8053
2013-08-12;8350;284;8066
2013-08-13;8355;284;8071
2013-08-14;8361;285;8076
2013-08-15;8368;285;8083
2013-08-16;8372;285;8087
2013-08-17;8379;285;8094
2013-08-18;8378;285;8093
2013-08-19;8389;285;8104
2013-08-20;8397;285;8112
2013-08-21;8407;285;8122
2013-08-22;8411;285;8126
2013-08-23;8414;285;8129
2013-08-24;8420;285;8135
2013-08-25;8425;285;8140
2013-08-26;8439;285;8154
2013-08-27;8448;285;8163
2013-08-28;8465;285;8180
2013-08-29;8477;285;8192
2013-08-30;8482;285;8197
2013-08-31;8491;285;8206
2013-09-01;8502;286;8216
2013-09-02;8509;286;8223
2013-09-03;8519;286;8233
2013-09-04;8528;286;8242
2013-09-05;8536;287;8249
2013-09-06;8540;287;8253
2013-09-07;8547;287;8260
2013-09-08;8551;287;8264
2013-09-09;8557;287;8270
2013-09-10;8574;287;8287
2013-09-11;8584;287;8297
2013-09-12;8598;287;8311
2013-09-13;8602;287;8315
2013-09-14;8612;287;8325
2013-09-15;8628;287;8341
2013-09-16;8646;287;8359
2013-09-17;8654;287;8367
2013-09-18;8668;287;8381
2013-09-19;8677;288;8389
2013-09-20;8694;289;8405
2013-09-21;8722;289;8433
2013-09-22;8742;289;8453
2013-09-23;8752;290;8462
2013-09-24;8763;290;8473
2013-09-25;8782;290;8492
2013-09-26;8790;290;8500
2013-09-27;8802;290;8512
2013-09-28;8821;290;8531
2013-09-29;8833;290;8543
2013-10-01;8865;290;8575
2013-10-02;8893;290;8603
2013-10-03;8947;290;8657
2013-10-04;8973;289;8684
2013-10-05;8981;289;8692
2013-10-06;8991;289;8702
2013-10-07;8998;290;8708
2013-10-08;9012;290;8722
2013-10-09;9019;289;8730
2013-10-10;9040;289;8751
2013-10-11;9067;289;8778
2013-10-12;9079;289;8790
2013-10-13;9093;289;8804
2013-10-14;9099;289;8810
2013-10-15;9117;291;8826
2013-10-16;9118;291;8827
2013-10-17;9127;291;8836
2013-10-18;9127;291;8836
2013-10-19;9145;291;8854
2013-10-20;9154;291;8863
2013-10-21;9171;291;8880
2013-10-22;9184;291;8893
2013-10-23;9189;291;8898
2013-10-24;9202;291;8911
2013-10-25;9215;291;8924
2013-10-26;9223;291;8932
2013-10-27;9227;291;8936
2013-10-29;9240;291;8949
2013-10-30;9244;291;8953
2013-10-31;9247;291;8956
2013-11-01;9254;291;8963
2013-11-02;9258;291;8967
2013-11-04;9288;291;8997
2013-11-05;9302;291;9011
2013-11-06;9325;291;9034
2013-11-07;9335;291;9044
2013-11-08;9356;291;9065
2013-11-09;9363;291;9072
