date;followers;following;fans
2013-04-17;22083;226;21857
2013-04-18;22109;226;21883
2013-04-19;22133;227;21906
2013-04-20;22154;231;21923
2013-04-21;22166;231;21935
2013-04-22;22176;231;21945
2013-04-23;22201;231;21970
2013-04-24;22213;231;21982
2013-04-25;22236;231;22005
2013-04-26;22251;255;21996
2013-04-27;22264;262;22002
2013-04-28;22279;262;22017
2013-04-29;22290;262;22028
2013-04-30;22312;262;22050
2013-05-01;22328;262;22066
2013-05-02;22348;262;22086
2013-05-03;22357;261;22096
2013-05-04;22369;262;22107
2013-05-05;22383;262;22121
2013-05-06;22376;262;22114
2013-05-07;22389;262;22127
2013-05-08;22413;262;22151
2013-05-09;22434;263;22171
2013-05-10;22437;263;22174
2013-05-11;22394;263;22131
2013-05-12;22402;263;22139
2013-05-13;22420;263;22157
2013-05-14;22462;263;22199
2013-05-15;22495;263;22232
2013-05-16;22522;263;22259
2013-05-17;22541;263;22278
2013-05-18;22557;263;22294
2013-05-19;22558;263;22295
2013-05-20;22569;263;22306
2013-05-21;22580;263;22317
2013-05-22;22595;263;22332
2013-05-23;22608;263;22345
2013-05-24;22626;263;22363
2013-05-25;22640;264;22376
2013-05-26;22649;264;22385
2013-05-27;22664;264;22400
2013-05-28;22682;264;22418
2013-05-29;22704;264;22440
2013-05-30;22725;264;22461
2013-05-31;22744;264;22480
2013-06-01;22760;265;22495
2013-06-02;22775;265;22510
2013-06-03;22779;265;22514
2013-06-04;22793;265;22528
2013-06-05;22810;265;22545
2013-06-06;22834;265;22569
2013-06-07;22856;266;22590
2013-06-08;22862;266;22596
2013-06-09;22874;266;22608
2013-06-10;22881;266;22615
2013-06-11;22894;267;22627
2013-06-20;23000;275;22725
2013-06-21;23019;274;22745
2013-06-22;23036;274;22762
2013-06-23;23045;274;22771
2013-06-24;23062;274;22788
2013-06-25;23072;274;22798
2013-06-26;23088;275;22813
2013-06-27;23107;275;22832
2013-06-28;23127;275;22852
2013-06-29;23138;277;22861
2013-06-30;23147;277;22870
2013-07-01;23157;277;22880
2013-07-02;23161;277;22884
2013-07-03;23172;278;22894
2013-07-04;23185;277;22908
2013-07-05;23195;277;22918
2013-07-06;23207;277;22930
2013-07-07;23210;277;22933
2013-07-08;23220;277;22943
2013-07-09;23230;277;22953
2013-07-10;23243;277;22966
2013-07-11;23254;278;22976
2013-07-12;23269;278;22991
2013-07-13;23280;276;23004
2013-07-14;23290;276;23014
2013-07-15;23296;276;23020
2013-07-16;23306;277;23029
2013-07-17;23303;276;23027
2013-07-18;23314;276;23038
2013-07-19;23316;276;23040
2013-07-20;23319;276;23043
2013-07-21;23325;276;23049
2013-07-22;23321;276;23045
2013-07-23;23333;276;23057
2013-07-24;23339;276;23063
2013-07-25;23344;279;23065
2013-07-26;23380;279;23101
2013-07-27;23382;279;23103
2013-07-28;23380;279;23101
2013-07-29;23388;279;23109
2013-07-30;23395;279;23116
2013-07-31;23404;279;23125
2013-08-01;23419;281;23138
2013-08-02;23436;283;23153
2013-08-03;23445;283;23162
2013-08-04;23444;283;23161
2013-08-05;23447;283;23164
2013-08-06;23457;283;23174
2013-08-07;23466;283;23183
2013-08-08;23480;286;23194
2013-08-09;23482;286;23196
2013-08-10;23504;286;23218
2013-08-11;23523;286;23237
2013-08-12;23528;286;23242
