date;followers;following;fans
2014-03-21;1188;185;1003
2014-03-24;1190;185;1005
2014-03-26;1192;185;1007
2014-03-28;1190;185;1005
2014-03-29;1189;185;1004
2014-04-01;1193;185;1008
2014-04-03;1194;185;1009
2014-04-05;1193;185;1008
2014-04-07;1191;185;1006
2014-04-09;1190;185;1005
2014-04-11;1190;185;1005
2014-04-13;1192;185;1007
2014-04-15;1191;185;1006
2014-04-17;1190;186;1004
2014-04-19;1191;186;1005
2014-04-21;1191;186;1005
2014-04-23;1190;186;1004
2014-04-25;1189;187;1002
2014-04-27;1190;189;1001
2014-04-29;1194;192;1002
2014-05-01;1195;193;1002
2014-05-03;1194;193;1001
