date;followers;following;fans
2013-04-17;10528;350;10178
2013-04-18;10528;350;10178
2013-04-19;10428;350;10078
2013-04-20;10433;350;10083
2013-04-21;10434;350;10084
2013-04-22;10435;350;10085
2013-04-23;6505;350;6155
2013-04-25;5947;350;5597
2013-04-26;6055;350;5705
2013-04-27;6154;350;5804
2013-04-28;6405;350;6055
2013-04-29;6583;350;6233
2013-05-01;6929;350;6579
2013-05-02;7120;350;6770
2013-05-03;7222;350;6872
2013-05-04;7239;350;6889
2013-05-06;7258;350;6908
2013-05-07;7272;349;6923
2013-05-08;7276;349;6927
2013-05-09;7276;349;6927
2013-05-11;7284;349;6935
2013-05-12;7286;349;6937
2013-05-13;7289;349;6940
2013-05-14;7290;349;6941
2013-05-15;7290;349;6941
2013-05-16;7290;349;6941
2013-05-17;7291;349;6942
2013-05-18;7291;349;6942
2013-05-19;7293;349;6944
2013-05-20;7295;348;6947
2013-05-21;7295;348;6947
2013-05-22;7294;348;6946
2013-05-23;7294;348;6946
2013-05-24;7330;348;6982
2013-05-25;7360;348;7012
2013-05-26;7387;348;7039
2013-05-27;7424;348;7076
2013-05-28;7431;348;7083
2013-05-29;7445;348;7097
2013-05-30;7445;348;7097
2013-05-31;7447;348;7099
2013-06-01;7447;348;7099
2013-06-02;7448;349;7099
2013-06-03;7449;349;7100
2013-06-04;7452;349;7103
2013-06-05;7452;349;7103
2013-06-06;7454;349;7105
2013-06-07;7454;349;7105
2013-06-08;7454;349;7105
2013-06-09;7455;349;7106
2013-06-10;7456;349;7107
2013-06-11;7455;349;7106
2013-06-20;5810;350;5460
2013-06-21;5805;350;5455
2013-06-22;5805;350;5455
2013-06-23;5806;350;5456
2013-06-24;5807;350;5457
2013-06-25;5807;350;5457
2013-06-26;5807;350;5457
2013-06-27;5807;350;5457
2013-06-28;5806;350;5456
2013-06-29;5807;349;5458
2013-06-30;5807;350;5457
2013-07-01;5807;350;5457
2013-07-02;5807;350;5457
2013-07-03;5807;350;5457
2013-07-04;5807;350;5457
2013-07-05;5807;350;5457
2013-07-06;5806;350;5456
2013-07-07;5806;350;5456
2013-07-08;5807;350;5457
2013-07-10;5807;350;5457
2013-07-11;5807;350;5457
2013-07-12;5808;350;5458
2013-07-13;5807;350;5457
2013-07-14;5806;350;5456
2013-07-15;5806;350;5456
2013-07-16;5803;350;5453
2013-07-17;5803;350;5453
2013-07-18;5803;350;5453
2013-07-19;5803;350;5453
2013-07-20;5803;350;5453
2013-07-21;5803;350;5453
2013-07-22;5804;350;5454
2013-07-23;5805;350;5455
2013-07-24;5805;350;5455
2013-07-25;5805;349;5456
2013-07-26;5806;349;5457
2013-07-27;5805;350;5455
2013-07-28;5805;350;5455
2013-07-29;5805;350;5455
2013-07-30;5808;350;5458
2013-07-31;5808;350;5458
2013-08-01;5808;350;5458
2013-08-02;5807;350;5457
2013-08-03;5807;350;5457
2013-08-04;5807;350;5457
2013-08-05;5807;350;5457
2013-08-06;5779;351;5428
2013-08-07;5757;352;5405
2013-08-08;5775;352;5423
2013-08-09;5783;352;5431
2013-08-10;5790;352;5438
2013-08-11;5798;352;5446
2013-08-12;5798;352;5446
2013-08-13;5798;352;5446
2013-08-14;5798;352;5446
2013-08-15;5800;352;5448
2013-08-16;5800;352;5448
2013-08-17;5800;352;5448
2013-08-18;5801;352;5449
2013-08-19;5801;352;5449
2013-08-20;5801;352;5449
2013-08-21;5801;352;5449
2013-08-22;5803;352;5451
2013-08-23;5776;352;5424
2013-08-24;5778;352;5426
2013-08-25;5778;352;5426
2013-08-26;5778;352;5426
2013-08-27;5775;353;5422
2013-08-28;5777;353;5424
2013-08-29;5776;353;5423
2013-08-30;5775;353;5422
2013-08-31;5775;353;5422
2013-09-01;5774;353;5421
2013-09-02;5774;353;5421
2013-09-03;5773;353;5420
2013-09-04;5773;353;5420
2013-09-05;5773;353;5420
2013-09-06;5781;353;5428
2013-09-07;5781;353;5428
2013-09-08;5781;353;5428
2013-09-09;5781;353;5428
2013-09-10;5781;353;5428
2013-09-11;5781;353;5428
2013-09-12;5781;353;5428
2013-09-13;5781;353;5428
2013-09-14;5782;353;5429
2013-09-15;5782;353;5429
2013-09-16;5785;353;5432
2013-09-17;5785;353;5432
2013-09-18;5785;353;5432
2013-09-19;5785;353;5432
2013-09-20;5786;353;5433
2013-09-21;5786;353;5433
2013-09-22;5786;353;5433
2013-09-23;5786;353;5433
2013-09-24;5785;353;5432
2013-09-25;5785;353;5432
2013-09-26;5785;353;5432
2013-09-27;5785;353;5432
2013-09-28;5785;353;5432
2013-09-29;5784;353;5431
2013-10-01;5784;356;5428
2013-10-02;5784;356;5428
2013-10-03;5784;356;5428
2013-10-04;5785;357;5428
2013-10-05;5785;357;5428
2013-10-06;5785;357;5428
2013-10-07;5786;357;5429
2013-10-08;5786;357;5429
2013-10-09;5786;357;5429
2013-10-10;5786;357;5429
2013-10-11;5786;357;5429
2013-10-12;5787;358;5429
2013-10-13;5787;358;5429
2013-10-14;5786;358;5428
2013-10-15;5787;359;5428
2013-10-16;5788;359;5429
2013-10-17;5788;359;5429
2013-10-18;5786;359;5427
2013-10-19;5786;359;5427
2013-10-20;5786;359;5427
2013-10-21;5786;359;5427
2013-10-22;5786;359;5427
2013-10-23;5785;359;5426
2013-10-24;5786;359;5427
2013-10-25;5786;359;5427
2013-10-26;5786;359;5427
2013-10-27;5786;359;5427
2013-10-28;5786;359;5427
2013-10-29;5786;359;5427
2013-10-30;5786;359;5427
2013-10-31;5787;359;5428
2013-11-01;5786;361;5425
2013-11-02;5786;361;5425
2013-11-03;5787;361;5426
2013-11-04;5787;361;5426
2013-11-05;5787;361;5426
2013-11-06;5786;361;5425
2013-11-07;5786;360;5426
2013-11-08;5786;360;5426
2013-11-09;5785;360;5425
2013-11-10;5786;360;5426
2013-11-11;5785;360;5425
2013-11-12;5785;360;5425
2013-11-13;5785;360;5425
2013-11-14;5785;362;5423
2013-11-15;5784;365;5419
2013-11-16;5784;365;5419
2013-11-17;5785;365;5420
2013-11-18;5786;365;5421
2013-11-19;5785;365;5420
2013-11-20;5785;365;5420
2013-11-21;5777;366;5411
2013-11-22;5786;369;5417
2013-11-23;5786;369;5417
2013-11-24;5785;369;5416
2013-11-25;5784;369;5415
2013-11-26;5783;369;5414
2013-11-27;5775;369;5406
2013-11-28;5784;369;5415
2013-11-29;5784;369;5415
2013-11-30;5784;369;5415
2013-12-01;5785;368;5417
2013-12-02;5785;368;5417
2013-12-03;5786;368;5418
2013-12-04;5786;368;5418
2013-12-05;5786;368;5418
2013-12-06;5786;368;5418
2013-12-07;5787;368;5419
2013-12-08;5787;368;5419
2013-12-09;5789;368;5421
2013-12-10;5789;368;5421
2013-12-11;5789;371;5418
2013-12-12;5790;376;5414
2013-12-13;5797;398;5399
2013-12-14;5804;401;5403
2013-12-15;5805;401;5404
2013-12-16;5806;401;5405
2013-12-17;5809;405;5404
2013-12-18;5809;405;5404
2013-12-19;5808;406;5402
2013-12-20;5808;406;5402
2013-12-21;5797;406;5391
2013-12-22;5806;407;5399
2013-12-23;5807;407;5400
2013-12-24;5806;407;5399
2013-12-25;5806;407;5399
2013-12-26;5806;407;5399
2013-12-27;5806;407;5399
2013-12-28;5806;408;5398
2013-12-29;5806;408;5398
2013-12-30;5807;409;5398
2013-12-31;5808;409;5399
2014-01-01;5806;409;5397
2014-01-02;5806;410;5396
2014-01-03;5808;411;5397
2014-01-04;5808;411;5397
2014-01-05;5808;412;5396
2014-01-06;5809;412;5397
2014-01-07;5808;412;5396
2014-01-08;5808;413;5395
2014-01-09;5809;414;5395
2014-01-10;5809;414;5395
2014-01-11;5809;416;5393
2014-01-12;5810;417;5393
2014-01-13;5809;418;5391
2014-01-14;5809;418;5391
2014-01-15;5810;418;5392
2014-01-16;5811;418;5393
2014-01-17;5812;420;5392
2014-01-18;5813;422;5391
2014-01-19;5815;422;5393
2014-01-20;5815;425;5390
2014-01-21;5816;431;5385
2014-01-22;5813;432;5381
2014-01-23;5813;432;5381
2014-01-24;5812;432;5380
2014-01-25;5814;434;5380
2014-01-26;5814;434;5380
2014-01-27;5814;434;5380
2014-01-28;5814;434;5380
2014-01-30;5813;442;5371
2014-01-31;5805;443;5362
2014-02-01;5814;448;5366
2014-02-02;5814;449;5365
2014-02-03;5815;449;5366
2014-02-04;5816;453;5363
2014-02-05;5816;456;5360
2014-02-06;5818;458;5360
2014-02-07;5820;461;5359
2014-02-08;5822;463;5359
2014-02-09;5822;464;5358
2014-02-10;5174;464;4710
2014-02-11;4955;465;4490
