date;followers;following;fans
2013-06-04;8358;7130;1228
2013-06-06;8371;7131;1240
2013-06-08;8383;7149;1234
2013-06-10;8387;7148;1239
2013-06-20;8423;7167;1256
2013-06-22;8430;7193;1237
2013-06-24;8439;7193;1246
2013-06-26;8451;7192;1259
2013-06-28;8451;7191;1260
2013-06-30;8456;7217;1239
2013-07-02;8462;7216;1246
2013-07-04;8469;7216;1253
2013-07-06;8488;7235;1253
2013-07-08;8489;7236;1253
2013-07-10;8500;7236;1264
2013-07-12;8509;7235;1274
2013-07-14;8508;7256;1252
2013-07-16;8512;7255;1257
2013-07-18;8514;7253;1261
2013-07-20;8518;7256;1262
2013-07-22;8526;7257;1269
2013-07-24;8534;7256;1278
2013-07-26;8540;7256;1284
2013-07-28;8529;7256;1273
2013-07-30;8537;7255;1282
2013-08-01;8544;7255;1289
2013-08-03;8555;7269;1286
2013-08-05;8555;7268;1287
2013-08-07;8559;7268;1291
2013-08-09;8567;7267;1300
2013-08-11;8569;7283;1286
2013-08-13;8583;7283;1300
2013-08-15;8585;7282;1303
2013-08-17;8591;7296;1295
2013-08-19;8595;7297;1298
2013-08-21;8607;7298;1309
2013-08-23;8612;7298;1314
2013-08-25;8619;7310;1309
2013-08-27;8631;7310;1321
2013-08-29;8629;7307;1322
2013-08-31;8637;7317;1320
2013-09-02;8636;7316;1320
2013-09-04;8644;7315;1329
2013-09-06;8657;7314;1343
2013-09-08;8664;7324;1340
2013-09-10;8672;7326;1346
2013-09-12;8674;7325;1349
2013-09-14;8674;7337;1337
2013-09-16;8681;7339;1342
2013-09-18;8694;7339;1355
2013-09-20;8706;7339;1367
2013-09-22;8702;7346;1356
2013-09-24;8718;7346;1372
2013-09-26;8722;7344;1378
2013-09-28;8732;7355;1377
2013-09-30;8733;7354;1379
2013-10-02;8745;7355;1390
2013-10-04;8748;7354;1394
2013-10-06;8751;7358;1393
2013-10-08;8758;7358;1400
2013-10-10;8761;7354;1407
2013-10-12;8785;7367;1418
2013-10-14;8793;7367;1426
2013-10-16;8798;7367;1431
2013-10-18;8809;7365;1444
2013-10-20;8807;7376;1431
2013-10-22;8817;7373;1444
2013-10-24;8818;7371;1447
2013-10-26;8824;7373;1451
2013-10-28;8838;7373;1465
2013-10-30;8843;7375;1468
2013-11-01;8850;7374;1476
2013-11-03;8849;7389;1460
2013-11-05;8854;7389;1465
2013-11-07;8863;7389;1474
2013-11-09;8863;7386;1477
2013-11-11;8868;7385;1483
2013-11-13;8867;7385;1482
2013-11-15;8876;7382;1494
2013-11-17;8877;7401;1476
2013-11-19;8883;7403;1480
2013-11-21;8890;7403;1487
2013-11-23;8895;7413;1482
2013-11-25;8896;7412;1484
2013-11-27;8900;7411;1489
2013-11-29;8905;7409;1496
2013-12-01;8907;7413;1494
2013-12-03;8917;7413;1504
2013-12-05;8917;7412;1505
2013-12-07;8920;7421;1499
2013-12-09;8928;7421;1507
2013-12-11;8930;7420;1510
2013-12-13;8939;7422;1517
2013-12-15;8948;7433;1515
2013-12-17;8956;7435;1521
2013-12-19;8955;7434;1521
2013-12-21;8957;7458;1499
2013-12-23;8959;7457;1502
2013-12-25;8958;7456;1502
2013-12-27;8961;7456;1505
2013-12-29;8960;7454;1506
2013-12-31;8964;7450;1514
2014-01-02;8969;7450;1519
2014-01-04;8974;7467;1507
2014-01-06;8976;7463;1513
2014-01-08;8990;7463;1527
2014-01-10;8997;7463;1534
2014-01-12;9003;7476;1527
2014-01-14;9000;7474;1526
2014-01-16;8996;7472;1524
2014-01-18;9003;7484;1519
2014-01-20;9012;7483;1529
2014-01-22;9018;7479;1539
2014-01-24;9022;7479;1543
2014-01-26;9029;7489;1540
2014-01-28;9041;7489;1552
2014-01-30;9047;7486;1561
2014-02-01;9052;7514;1538
2014-02-03;9065;7511;1554
2014-02-05;9065;7514;1551
2014-02-07;9079;7523;1556
2014-02-09;9073;7519;1554
2014-02-11;9079;7517;1562
2014-02-13;9090;7515;1575
2014-02-15;9093;7529;1564
2014-02-17;9099;7528;1571
2014-02-19;9128;7527;1601
2014-02-21;9137;7529;1608
2014-02-23;9140;7536;1604
2014-02-25;9147;7537;1610
2014-02-27;9147;7536;1611
2014-03-01;9146;7540;1606
2014-03-03;9149;7540;1609
2014-03-05;9152;7539;1613
2014-03-07;9152;7538;1614
2014-03-09;9161;7544;1617
2014-03-11;9158;7539;1619
2014-03-13;9163;7540;1623
2014-03-15;9167;7543;1624
2014-03-17;9174;7542;1632
2014-03-19;9175;7538;1637
2014-03-21;9178;7539;1639
2014-03-23;9180;7539;1641
2014-03-25;9191;7538;1653
2014-03-27;9198;7537;1661
2014-03-29;9209;7547;1662
2014-03-31;9215;7548;1667
2014-04-02;9216;7547;1669
2014-04-04;9226;7547;1679
2014-04-06;9232;7557;1675
2014-04-08;9237;7555;1682
2014-04-10;9242;7555;1687
2014-04-12;9252;7574;1678
2014-04-14;9261;7573;1688
2014-04-16;9261;7572;1689
2014-04-18;9265;7572;1693
2014-04-20;9263;7583;1680
2014-04-22;9264;7580;1684
2014-04-24;9266;7578;1688
2014-04-26;9276;7594;1682
2014-04-28;9289;7593;1696
2014-04-30;9290;7593;1697
2014-05-02;9289;7590;1699
2014-05-04;9293;7611;1682
