date;followers;following;fans
2013-04-18;2032;395;1637
2013-04-20;2035;395;1640
2013-04-22;2040;395;1645
2013-04-24;2048;395;1653
2013-04-26;2051;395;1656
2013-04-28;2057;395;1662
2013-04-30;2062;395;1667
2013-05-02;2069;395;1674
2013-05-04;2071;395;1676
2013-05-06;2074;394;1680
2013-05-08;2083;394;1689
2013-05-10;2088;394;1694
2013-05-12;2088;394;1694
2013-05-14;2093;394;1699
2013-05-16;2097;394;1703
2013-05-18;2102;394;1708
2013-05-20;2109;394;1715
2013-05-22;2118;394;1724
2013-05-24;2124;394;1730
2013-05-26;2131;394;1737
2013-05-28;2134;396;1738
2013-05-30;2143;396;1747
2013-06-01;2147;396;1751
2013-06-03;2152;396;1756
2013-06-05;2156;396;1760
2013-06-07;2160;397;1763
2013-06-09;2165;397;1768
2013-06-11;2171;397;1774
2013-06-20;2197;397;1800
2013-06-22;2202;397;1805
2013-06-24;2210;397;1813
2013-06-26;2217;398;1819
2013-06-28;2223;398;1825
2013-06-30;2231;398;1833
2013-07-02;2236;398;1838
2013-07-04;2242;398;1844
2013-07-06;2246;398;1848
2013-07-08;2248;398;1850
2013-07-10;2256;398;1858
2013-07-12;2262;398;1864
2013-07-14;2269;398;1871
2013-07-16;2271;398;1873
2013-07-18;2280;398;1882
2013-07-20;2288;398;1890
2013-07-22;2291;398;1893
2013-07-24;2300;398;1902
2013-07-26;2302;398;1904
2013-07-28;2306;398;1908
2013-07-30;2310;398;1912
2013-08-01;2314;398;1916
2013-08-03;2317;398;1919
2013-08-05;2322;398;1924
2013-08-07;2326;398;1928
2013-08-09;2336;399;1937
2013-08-11;2343;400;1943
2013-08-13;2352;400;1952
2013-08-15;2356;400;1956
2013-08-17;2364;400;1964
2013-08-19;2367;400;1967
2013-08-21;2377;400;1977
2013-08-23;2383;400;1983
2013-08-25;2387;400;1987
2013-08-27;2389;400;1989
2013-08-29;2393;400;1993
2013-08-31;2396;400;1996
2013-09-02;2404;400;2004
2013-09-04;2412;400;2012
2013-09-06;2417;400;2017
2013-09-08;2425;400;2025
2013-09-10;2432;403;2029
2013-09-12;2440;403;2037
2013-09-14;2446;403;2043
2013-09-16;2453;403;2050
2013-09-18;2465;403;2062
2013-09-20;2475;403;2072
2013-09-22;2484;403;2081
2013-09-24;2493;403;2090
2013-09-26;2498;403;2095
2013-09-28;2501;403;2098
2013-09-30;2508;403;2105
2013-10-02;2511;403;2108
2013-10-04;2514;403;2111
2013-10-06;2518;402;2116
2013-10-08;2528;403;2125
2013-10-10;2534;403;2131
2013-10-12;2536;403;2133
2013-10-14;2540;403;2137
2013-10-16;2548;403;2145
2013-10-18;2548;403;2145
2013-10-20;2558;403;2155
2013-10-22;2559;403;2156
2013-10-24;2565;403;2162
2013-10-26;2573;403;2170
