date;followers;following;fans
2013-04-17;3591;81;3510
2013-04-18;3601;81;3520
2013-04-19;3611;81;3530
2013-04-20;3619;81;3538
2013-04-21;3624;81;3543
2013-04-22;3625;81;3544
2013-04-23;3632;81;3551
2013-04-24;3634;81;3553
2013-04-25;3639;81;3558
2013-04-26;3647;84;3563
2013-04-28;3649;84;3565
2013-04-29;3653;84;3569
2013-04-30;3660;84;3576
2013-05-01;3676;84;3592
2013-05-02;3690;84;3606
2013-05-03;3701;84;3617
2013-05-04;3718;84;3634
2013-05-05;3723;84;3639
2013-05-06;3745;84;3661
2013-05-08;3755;84;3671
2013-05-09;3763;84;3679
2013-05-10;3771;84;3687
2013-05-11;3779;84;3695
2013-05-12;3789;84;3705
2013-05-13;3805;84;3721
2013-05-14;3831;84;3747
2013-05-15;3845;84;3761
2013-05-16;3872;84;3788
2013-05-18;3885;84;3801
2013-05-19;3892;84;3808
2013-05-20;3895;84;3811
2013-05-21;3908;84;3824
2013-05-22;3932;84;3848
2013-05-23;3943;84;3859
2013-05-24;3960;84;3876
2013-05-25;3974;84;3890
2013-05-26;3981;84;3897
2013-05-27;4018;84;3934
2013-05-29;4033;84;3949
2013-05-30;4052;84;3968
2013-05-31;4064;84;3980
2013-06-01;4076;84;3992
2013-06-02;4077;84;3993
2013-06-03;4091;84;4007
2013-06-04;4105;84;4021
2013-06-05;4118;84;4034
2013-06-07;4130;84;4046
2013-06-08;4139;84;4055
2013-06-09;4139;84;4055
2013-06-10;4150;84;4066
2013-06-11;4154;84;4070
2013-06-20;4242;84;4158
2013-06-21;4257;84;4173
2013-06-22;4271;84;4187
2013-06-23;4278;85;4193
2013-06-24;4298;85;4213
2013-06-26;4313;85;4228
2013-06-27;4323;85;4238
2013-06-28;4337;85;4252
2013-06-29;4345;85;4260
2013-06-30;4361;85;4276
2013-07-01;4369;85;4284
2013-07-02;4381;86;4295
2013-07-03;4407;86;4321
2013-07-05;4416;86;4330
2013-07-06;4427;86;4341
2013-07-07;4438;86;4352
2013-07-08;4448;86;4362
2013-07-09;4445;86;4359
2013-07-10;4463;86;4377
2013-07-11;4470;86;4384
2013-07-12;4488;86;4402
2013-07-14;4491;86;4405
2013-07-15;4502;86;4416
2013-07-16;4516;86;4430
2013-07-17;4533;86;4447
2013-07-18;4540;86;4454
2013-07-19;4550;86;4464
2013-07-20;4556;86;4470
2013-07-21;4562;86;4476
2013-07-23;4571;86;4485
2013-07-24;4573;86;4487
2013-07-25;4591;86;4505
2013-07-26;4598;86;4512
2013-07-27;4604;86;4518
2013-07-28;4607;86;4521
2013-07-29;4617;86;4531
2013-07-31;4629;86;4543
2013-08-01;4640;86;4554
2013-08-02;4650;86;4564
2013-08-03;4655;86;4569
2013-08-04;4666;86;4580
2013-08-05;4673;86;4587
2013-08-06;4683;86;4597
2013-08-07;4697;86;4611
2013-08-09;4706;86;4620
2013-08-10;4713;86;4627
2013-08-11;4720;86;4634
2013-08-12;4727;86;4641
2013-08-13;4733;86;4647
2013-08-14;4744;86;4658
2013-08-15;4755;86;4669
2013-08-17;4762;86;4676
2013-08-18;4770;86;4684
2013-08-19;4774;86;4688
2013-08-20;4787;86;4701
2013-08-21;4800;86;4714
2013-08-22;4823;86;4737
2013-08-24;4836;86;4750
2013-08-25;4846;86;4760
2013-08-26;4862;86;4776
2013-08-27;4875;86;4789
2013-08-28;4896;87;4809
2013-08-29;4903;87;4816
2013-08-30;4914;87;4827
2013-08-31;4926;87;4839
2013-09-02;4945;87;4858
2013-09-03;4985;87;4898
2013-09-04;4997;87;4910
2013-09-05;5004;87;4917
2013-09-06;5017;87;4930
2013-09-08;5048;87;4961
2013-09-09;5067;87;4980
2013-09-10;5081;87;4994
2013-09-11;5082;87;4995
2013-09-12;5087;87;5000
2013-09-13;5089;87;5002
2013-09-14;5094;87;5007
2013-09-15;5097;87;5010
2013-09-16;5106;87;5019
2013-09-17;5116;87;5029
2013-09-18;5134;87;5047
2013-09-19;5150;87;5063
2013-09-20;5173;87;5086
2013-09-21;5181;87;5094
2013-09-22;5196;87;5109
2013-09-23;5215;87;5128
2013-09-24;5227;87;5140
2013-09-25;5235;87;5148
2013-09-26;5247;87;5160
2013-09-27;5257;87;5170
2013-09-28;5263;87;5176
2013-09-29;5270;87;5183
2013-09-30;5281;87;5194
2013-10-01;5286;87;5199
2013-10-02;5289;87;5202
2013-10-03;5304;88;5216
2013-10-04;5314;88;5226
2013-10-05;5321;88;5233
2013-10-06;5330;88;5242
2013-10-07;5337;88;5249
2013-10-08;5344;88;5256
