date;followers;following;fans
2013-07-13;6550;11;6539
2013-07-14;6599;11;6588
2013-07-15;6671;11;6660
2013-07-16;6721;11;6710
2013-07-17;6780;11;6769
2013-07-18;6823;11;6812
2013-07-19;6860;11;6849
2013-07-20;6916;11;6905
2013-07-21;6961;11;6950
2013-07-22;7000;11;6989
2013-07-23;7088;12;7076
2013-07-24;7137;12;7125
2013-07-25;7199;12;7187
2013-07-26;7244;12;7232
2013-07-27;7330;12;7318
2013-07-28;7404;13;7391
2013-07-29;7468;24;7444
2013-07-30;7549;26;7523
2013-07-31;7603;26;7577
2013-08-01;7665;26;7639
2013-08-02;7711;26;7685
2013-08-03;7735;26;7709
2013-08-04;7780;26;7754
2013-08-05;7927;26;7901
2013-08-06;8037;26;8011
2013-08-07;8125;26;8099
2013-08-08;8201;26;8175
2013-08-09;8285;26;8259
2013-08-10;8357;26;8331
2013-08-11;8427;26;8401
2013-08-12;8504;26;8478
2013-08-13;8568;26;8542
2013-08-14;8639;26;8613
2013-08-15;8704;26;8678
2013-08-16;8773;26;8747
2013-08-17;8830;26;8804
2013-08-18;8898;26;8872
2013-08-19;9004;26;8978
2013-08-20;9083;26;9057
2013-08-21;9157;26;9131
2013-08-22;9219;26;9193
2013-08-23;9267;26;9241
2013-08-24;9320;26;9294
2013-08-25;9369;26;9343
2013-08-26;9435;26;9409
2013-08-27;9485;26;9459
2013-08-28;9540;26;9514
2013-08-29;9613;26;9587
2013-08-30;9686;26;9660
2013-08-31;9761;26;9735
2013-09-01;9832;26;9806
2013-09-02;9910;26;9884
2013-09-03;9966;26;9940
2013-09-04;10004;26;9978
2013-09-05;10057;26;10031
2013-09-06;10108;27;10081
2013-09-07;10151;27;10124
2013-09-08;10212;27;10185
2013-09-09;10283;27;10256
2013-09-10;10309;27;10282
2013-09-11;10352;27;10325
2013-09-12;10382;27;10355
2013-09-13;10412;27;10385
2013-09-14;10474;27;10447
2013-09-15;10620;28;10592
2013-09-16;10706;28;10678
2013-09-17;10763;28;10735
2013-09-18;10817;29;10788
2013-09-19;10853;30;10823
2013-09-20;10889;30;10859
2013-09-21;10954;30;10924
2013-09-22;11002;31;10971
2013-09-23;11221;31;11190
2013-09-24;11317;31;11286
2013-09-25;11380;31;11349
2013-09-26;11455;31;11424
2013-09-27;11531;31;11500
2013-09-28;11599;31;11568
2013-09-29;11677;32;11645
2013-09-30;11817;32;11785
2013-10-01;11889;32;11857
2013-10-02;11961;32;11929
2013-10-03;12012;32;11980
2013-10-04;12113;32;12081
2013-10-05;12189;32;12157
2013-10-06;12274;33;12241
2013-10-07;12347;33;12314
2013-10-08;12400;33;12367
2013-10-09;12469;33;12436
2013-10-10;12553;33;12520
2013-10-11;12627;33;12594
2013-10-12;12747;33;12714
2013-10-13;12836;33;12803
2013-10-14;12940;33;12907
2013-10-15;13002;33;12969
2013-10-16;13066;33;13033
2013-10-17;13114;33;13081
2013-10-18;13173;33;13140
2013-10-19;13235;33;13202
2013-10-20;13302;35;13267
2013-10-21;13397;35;13362
2013-10-22;13461;36;13425
2013-10-23;13507;36;13471
2013-10-24;13556;38;13518
2013-10-25;13585;38;13547
2013-10-26;13633;38;13595
2013-10-27;13691;38;13653
2013-10-28;13771;38;13733
2013-10-29;13838;38;13800
2013-10-30;13918;38;13880
2013-10-31;13982;38;13944
2013-11-01;14032;38;13994
2013-11-02;14104;38;14066
2013-11-03;14192;38;14154
2013-11-04;14291;38;14253
2013-11-05;14330;38;14292
2013-11-06;14386;39;14347
2013-11-07;14415;39;14376
2013-11-08;14465;39;14426
2013-11-09;14508;39;14469
2013-11-10;14565;39;14526
2013-11-11;14647;39;14608
2013-11-12;14690;39;14651
2013-11-13;14734;39;14695
2013-11-14;14771;39;14732
2013-11-15;14805;39;14766
2013-11-16;14847;39;14808
2013-11-17;14906;39;14867
2013-11-18;14972;39;14933
2013-11-19;15017;39;14978
2013-11-20;15065;39;15026
2013-11-21;15099;39;15060
2013-11-22;15131;39;15092
2013-11-23;15175;39;15136
2013-11-24;15229;39;15190
2013-11-25;15295;39;15256
2013-11-26;15322;39;15283
2013-11-27;15356;39;15317
2013-11-28;15387;39;15348
2013-11-29;15417;39;15378
2013-11-30;15456;39;15417
2013-12-01;15506;39;15467
2013-12-02;15571;39;15532
2013-12-03;15605;39;15566
2013-12-04;15625;39;15586
2013-12-05;15646;39;15607
2013-12-06;15695;39;15656
2013-12-07;15824;39;15785
2013-12-08;15950;39;15911
2013-12-09;16050;39;16011
2013-12-10;16111;39;16072
2013-12-11;16165;39;16126
2013-12-12;16216;39;16177
2013-12-13;16261;39;16222
2013-12-14;16299;39;16260
2013-12-15;16385;42;16343
2013-12-16;16516;42;16474
2013-12-17;16592;42;16550
2013-12-18;16656;42;16614
2013-12-19;16767;42;16725
2013-12-20;16849;42;16807
2013-12-21;16921;42;16879
2013-12-22;17017;42;16975
2013-12-23;17135;42;17093
2013-12-24;17270;42;17228
2013-12-25;17347;42;17305
2013-12-26;17463;42;17421
2013-12-27;17618;42;17576
2013-12-28;17725;42;17683
2013-12-29;17815;42;17773
2013-12-30;17925;42;17883
2013-12-31;18017;42;17975
2014-01-01;18139;43;18096
2014-01-02;18295;43;18252
2014-01-03;18422;43;18379
2014-01-04;18557;43;18514
2014-01-05;18688;43;18645
2014-01-06;18820;45;18775
2014-01-07;18948;45;18903
2014-01-08;19058;45;19013
2014-01-09;19137;45;19092
2014-01-10;19233;45;19188
2014-01-11;19325;45;19280
2014-01-12;19500;45;19455
2014-01-13;19714;45;19669
2014-01-14;19837;46;19791
2014-01-15;19928;46;19882
2014-01-16;20024;46;19978
2014-01-17;20100;46;20054
2014-01-18;20190;46;20144
2014-01-19;20279;46;20233
2014-01-20;20406;46;20360
2014-01-21;20495;46;20449
2014-01-22;20571;46;20525
2014-01-23;20671;47;20624
2014-01-24;20724;47;20677
2014-01-25;20779;47;20732
2014-01-26;20902;47;20855
2014-01-27;21080;47;21033
2014-01-28;21164;47;21117
2014-01-29;21296;47;21249
2014-01-30;21302;47;21255
2014-01-31;21418;47;21371
2014-02-01;21516;47;21469
2014-02-02;21648;47;21601
2014-02-03;21774;47;21727
2014-02-04;21867;47;21820
2014-02-05;21962;47;21915
2014-02-06;22040;47;21993
2014-02-07;22126;47;22079
2014-02-08;22217;47;22170
2014-02-09;22312;47;22265
2014-02-10;22447;47;22400
2014-02-11;22544;47;22497
2014-02-12;22623;47;22576
2014-02-13;22689;47;22642
2014-02-14;22792;48;22744
2014-02-15;22867;48;22819
2014-02-16;22954;48;22906
2014-02-17;23087;48;23039
2014-02-18;23163;48;23115
2014-02-19;23273;48;23225
2014-02-20;23366;48;23318
2014-02-21;23439;48;23391
2014-02-22;23514;48;23466
2014-02-23;23646;48;23598
2014-02-24;23821;48;23773
2014-02-25;23928;48;23880
2014-02-26;24017;48;23969
2014-02-27;24076;48;24028
2014-02-28;24145;48;24097
2014-03-01;24219;48;24171
2014-03-02;24326;48;24278
2014-03-03;24476;48;24428
2014-03-04;24590;48;24542
2014-03-05;24704;48;24656
2014-03-06;24788;48;24740
2014-03-07;24859;48;24811
2014-03-08;24953;48;24905
2014-03-09;25056;49;25007
2014-03-10;25179;49;25130
2014-03-11;25250;49;25201
2014-03-12;25307;49;25258
2014-03-13;25378;49;25329
2014-03-14;25436;49;25387
2014-03-15;25506;49;25457
2014-03-16;25652;50;25602
2014-03-17;25833;50;25783
2014-03-18;25918;50;25868
2014-03-19;26053;50;26003
2014-03-20;26166;50;26116
2014-03-21;26273;50;26223
2014-03-22;26387;50;26337
2014-03-23;26546;50;26496
2014-03-24;26686;50;26636
2014-03-25;26828;50;26778
2014-03-26;26928;50;26878
2014-03-27;27015;50;26965
2014-03-28;27098;50;27048
2014-03-29;27174;50;27124
2014-03-30;27294;50;27244
2014-03-31;27390;50;27340
2014-04-01;27467;50;27417
2014-04-02;27551;50;27501
2014-04-03;27613;50;27563
2014-04-04;27666;50;27616
2014-04-05;27733;50;27683
2014-04-06;27823;50;27773
2014-04-07;27949;50;27899
2014-04-08;28022;50;27972
2014-04-09;28075;50;28025
2014-04-10;28138;50;28088
2014-04-11;28191;50;28141
2014-04-12;28360;50;28310
2014-04-13;28443;50;28393
2014-04-14;28538;50;28488
2014-04-15;28663;50;28613
2014-04-16;28755;50;28705
2014-04-17;28847;50;28797
2014-04-18;28933;50;28883
2014-04-19;29048;50;28998
2014-04-20;29158;50;29108
2014-04-21;29231;50;29181
2014-04-22;29313;50;29263
2014-04-23;29410;50;29360
2014-04-24;29497;50;29447
2014-04-25;29690;50;29640
2014-04-26;29911;50;29861
2014-04-27;30094;50;30044
2014-04-28;30274;50;30224
2014-04-29;30385;50;30335
2014-04-30;30465;50;30415
2014-05-01;30551;50;30501
2014-05-02;30667;50;30617
2014-05-03;30751;50;30701
2014-05-04;30838;50;30788
2014-05-05;31000;50;30950
2014-05-06;31084;50;31034
