date;followers;following;fans
2013-04-18;2545;1094;1451
2013-04-20;2546;1098;1448
2013-04-22;2557;1098;1459
2013-04-24;2556;1099;1457
2013-04-26;2553;1099;1454
2013-04-28;2555;1098;1457
2013-04-30;2558;1098;1460
2013-05-02;2561;1098;1463
2013-05-04;2563;1100;1463
2013-05-06;2565;1102;1463
2013-05-08;2574;1102;1472
2013-05-10;2592;1103;1489
2013-05-12;2588;1104;1484
2013-05-14;2598;1104;1494
2013-05-16;2603;1103;1500
2013-05-18;2602;1103;1499
2013-05-20;2604;1102;1502
2013-05-22;2614;1101;1513
2013-05-24;2615;1101;1514
2013-05-26;2611;1100;1511
2013-05-28;2624;1102;1522
2013-05-30;2626;1103;1523
2013-06-01;2620;1103;1517
2013-06-03;2623;1103;1520
2013-06-05;2622;1103;1519
2013-06-07;2625;1103;1522
2013-06-09;2633;1107;1526
2013-06-11;2637;1112;1525
2013-06-20;2673;1123;1550
2013-06-22;2688;1123;1565
2013-06-24;2692;1122;1570
2013-06-26;2704;1121;1583
2013-06-28;2714;1121;1593
2013-06-30;2718;1121;1597
2013-07-02;2720;1120;1600
2013-07-04;2732;1124;1608
2013-07-06;2737;1125;1612
2013-07-08;2759;1125;1634
2013-07-10;2777;1127;1650
2013-07-12;2782;1128;1654
2013-07-14;2783;1131;1652
2013-07-16;2785;1132;1653
2013-07-18;2791;1132;1659
2013-07-20;2808;1133;1675
2013-07-22;2807;1133;1674
2013-07-24;2810;1132;1678
2013-07-26;2820;1132;1688
2013-07-28;2837;1136;1701
2013-07-30;2832;1136;1696
2013-08-01;2839;1137;1702
2013-08-03;2864;1139;1725
2013-08-05;2866;1140;1726
2013-08-07;2872;1141;1731
2013-08-09;2869;1143;1726
2013-08-11;2881;1144;1737
2013-08-13;2881;1144;1737
2013-08-15;2883;1144;1739
2013-08-17;2885;1144;1741
2013-08-19;2889;1146;1743
2013-08-21;2904;1149;1755
2013-08-23;2918;1152;1766
2013-08-25;2930;1156;1774
2013-08-27;2928;1155;1773
2013-08-29;2937;1158;1779
2013-08-31;2947;1158;1789
2013-09-02;2948;1161;1787
2013-09-04;2956;1162;1794
2013-09-06;2953;1163;1790
2013-09-08;2959;1163;1796
2013-09-10;2963;1166;1797
2013-09-12;2968;1167;1801
2013-09-14;2975;1169;1806
2013-09-16;2974;1170;1804
2013-09-18;2972;1169;1803
2013-09-20;2977;1171;1806
2013-09-22;2993;1172;1821
2013-09-24;3011;1175;1836
2013-09-26;3013;1177;1836
2013-09-28;3022;1181;1841
2013-09-30;3024;1182;1842
2013-10-02;3022;1182;1840
2013-10-04;3025;1182;1843
2013-10-06;3027;1184;1843
2013-10-08;3038;1186;1852
2013-10-10;3040;1190;1850
2013-10-12;3048;1189;1859
2013-10-14;3047;1188;1859
2013-10-16;3055;1190;1865
2013-10-18;3058;1190;1868
2013-10-20;3062;1191;1871
2013-10-22;3073;1192;1881
2013-10-24;3088;1193;1895
2013-10-26;3091;1193;1898
2013-10-28;3093;1194;1899
2013-10-30;3104;1196;1908
2013-11-01;3112;1197;1915
2013-11-03;3110;1196;1914
2013-11-05;3132;1199;1933
2013-11-07;3137;1200;1937
2013-11-09;3137;1200;1937
2013-11-11;3139;1201;1938
2013-11-13;3143;1204;1939
2013-11-15;3148;1207;1941
2013-11-17;3155;1209;1946
2013-11-19;3150;1210;1940
2013-11-21;3153;1211;1942
2013-11-23;3157;1210;1947
2013-11-25;3160;1210;1950
2013-11-27;3163;1210;1953
2013-11-29;3157;1209;1948
2013-12-01;3160;1209;1951
2013-12-03;3159;1207;1952
2013-12-05;3175;1206;1969
2013-12-07;3184;1207;1977
2013-12-09;3205;1208;1997
2013-12-11;3212;1209;2003
2013-12-13;3217;1209;2008
2013-12-15;3219;1211;2008
2013-12-17;3220;1211;2009
2013-12-19;3228;1211;2017
2013-12-21;3232;1210;2022
2013-12-23;3237;1210;2027
2013-12-25;3239;1213;2026
2013-12-27;3246;1214;2032
2013-12-29;3254;1216;2038
2013-12-31;3257;1222;2035
2014-01-02;3272;1223;2049
2014-01-04;3277;1226;2051
2014-01-06;3274;1226;2048
2014-01-08;3289;1228;2061
2014-01-10;3292;1228;2064
2014-01-12;3293;1228;2065
2014-01-14;3294;1228;2066
2014-01-16;3298;1228;2070
2014-01-18;3301;1231;2070
2014-01-20;3298;1230;2068
2014-01-22;3299;1234;2065
2014-01-24;3301;1234;2067
2014-01-26;3303;1234;2069
2014-01-28;3314;1233;2081
2014-01-30;3313;1234;2079
2014-02-01;3318;1236;2082
2014-02-03;3322;1236;2086
2014-02-05;3323;1238;2085
2014-02-07;3324;1238;2086
2014-02-09;3326;1242;2084
2014-02-11;3327;1243;2084
2014-02-13;3331;1245;2086
2014-02-15;3326;1244;2082
2014-02-17;3332;1250;2082
2014-02-19;3336;1252;2084
2014-02-21;3343;1252;2091
2014-02-23;3348;1253;2095
2014-02-25;3361;1255;2106
2014-02-27;3364;1258;2106
2014-03-01;3368;1258;2110
2014-03-03;3376;1260;2116
2014-03-05;3382;1260;2122
2014-03-07;3396;1265;2131
2014-03-09;3401;1267;2134
2014-03-11;3411;1268;2143
2014-03-13;3420;1271;2149
2014-03-15;3424;1272;2152
2014-03-17;3425;1275;2150
2014-03-19;3422;1274;2148
2014-03-21;3432;1277;2155
2014-03-23;3449;1281;2168
2014-03-25;3446;1280;2166
2014-03-27;3454;1283;2171
2014-03-29;3463;1287;2176
2014-03-31;3462;1287;2175
2014-04-02;3470;1293;2177
2014-04-04;3473;1294;2179
2014-04-06;3476;1294;2182
2014-04-08;3476;1293;2183
2014-04-10;3482;1294;2188
2014-04-12;3477;1296;2181
2014-04-14;3477;1297;2180
2014-04-16;3479;1300;2179
2014-04-18;3488;1300;2188
2014-04-20;3494;1300;2194
2014-04-22;3498;1299;2199
2014-04-24;3504;1299;2205
2014-04-26;3507;1298;2209
2014-04-28;3511;1300;2211
2014-04-30;3517;1301;2216
2014-05-02;3524;1299;2225
2014-05-04;3526;1301;2225
