date;followers;following;fans
2013-04-18;1973;521;1452
2013-04-20;1978;522;1456
2013-04-22;1978;522;1456
2013-04-24;1977;523;1454
2013-04-26;1973;523;1450
2013-04-28;1976;524;1452
2013-04-30;1974;524;1450
2013-05-02;1976;524;1452
2013-05-04;1977;525;1452
2013-05-06;1979;525;1454
2013-05-08;1985;526;1459
2013-05-10;1988;527;1461
2013-05-12;1980;526;1454
2013-05-14;1981;526;1455
2013-05-16;1991;526;1465
2013-05-18;2003;527;1476
2013-05-20;2005;527;1478
2013-05-22;2006;527;1479
2013-05-24;2008;527;1481
2013-05-26;2010;530;1480
2013-05-28;2002;531;1471
2013-05-30;2010;531;1479
2013-06-01;2013;531;1482
2013-06-03;2016;531;1485
2013-06-05;2018;532;1486
2013-06-07;2020;532;1488
2013-06-09;2019;534;1485
2013-06-11;2023;534;1489
2013-06-20;2027;537;1490
2013-06-22;2026;538;1488
2013-06-24;2028;542;1486
2013-06-26;2028;541;1487
2013-06-28;2031;543;1488
2013-06-30;2029;544;1485
2013-07-02;2028;545;1483
2013-07-04;2031;546;1485
2013-07-06;2031;546;1485
2013-07-08;2033;546;1487
2013-07-10;2040;548;1492
2013-07-12;2041;548;1493
2013-07-14;2039;548;1491
2013-07-16;2040;548;1492
2013-07-18;2045;548;1497
2013-07-20;2044;550;1494
2013-07-22;2044;551;1493
2013-07-24;2047;552;1495
2013-07-26;2049;553;1496
2013-07-28;2045;555;1490
2013-07-30;2045;557;1488
2013-08-01;2047;557;1490
2013-08-03;2050;561;1489
2013-08-05;2054;561;1493
2013-08-07;2056;563;1493
2013-08-09;2058;562;1496
2013-08-11;2058;563;1495
2013-08-13;2058;561;1497
2013-08-15;2062;563;1499
2013-08-17;2066;564;1502
2013-08-19;2066;564;1502
2013-08-21;2069;565;1504
2013-08-23;2069;567;1502
2013-08-25;2069;568;1501
2013-08-27;2075;570;1505
2013-08-29;2075;571;1504
2013-08-31;2079;574;1505
2013-09-02;2084;574;1510
2013-09-04;2088;574;1514
2013-09-06;2095;574;1521
2013-09-08;2097;574;1523
2013-09-10;2096;574;1522
2013-09-12;2099;575;1524
2013-09-14;2100;579;1521
2013-09-16;2102;579;1523
2013-09-18;2108;585;1523
2013-09-20;2114;587;1527
2013-09-22;2115;590;1525
2013-09-24;2112;590;1522
2013-09-26;2113;591;1522
2013-09-28;2116;591;1525
2013-09-29;2116;591;1525
2013-10-02;2120;591;1529
2013-10-04;2125;591;1534
2013-10-06;2126;591;1535
2013-10-08;2127;591;1536
2013-10-10;2131;593;1538
2013-10-12;2142;596;1546
2013-10-14;2143;596;1547
2013-10-16;2139;597;1542
2013-10-18;2145;600;1545
2013-10-20;2154;601;1553
2013-10-22;2161;601;1560
2013-10-24;2165;605;1560
2013-10-26;2169;604;1565
2013-10-28;2172;604;1568
2013-10-30;2182;604;1578
2013-11-01;2184;607;1577
2013-11-03;2188;608;1580
2013-11-05;2190;609;1581
2013-11-07;2195;612;1583
2013-11-09;2205;614;1591
2013-11-11;2212;617;1595
2013-11-13;2218;618;1600
2013-11-15;2234;621;1613
2013-11-17;2234;621;1613
2013-11-19;2237;621;1616
2013-11-21;2244;621;1623
2013-11-23;2251;621;1630
2013-11-25;2248;621;1627
2013-11-27;2248;621;1627
2013-11-29;2253;621;1632
2013-12-01;2254;621;1633
2013-12-03;2256;621;1635
2013-12-05;2256;622;1634
2013-12-07;2260;623;1637
2013-12-09;2257;624;1633
2013-12-11;2265;627;1638
2013-12-13;2271;628;1643
2013-12-15;2272;630;1642
2013-12-17;2275;630;1645
2013-12-19;2281;631;1650
2013-12-21;2284;632;1652
2013-12-23;2285;632;1653
2013-12-25;2290;632;1658
2013-12-27;2294;633;1661
2013-12-29;2299;633;1666
2013-12-31;2297;634;1663
2014-01-02;2302;635;1667
