date;followers;following;fans
2013-05-11;132902;631;132271
2013-05-12;133076;633;132443
2013-05-13;133228;635;132593
2013-05-14;133379;636;132743
2013-05-15;133540;636;132904
2013-05-16;133696;637;133059
2013-05-17;133821;639;133182
2013-05-18;133976;642;133334
2013-05-19;134164;642;133522
2013-05-20;134299;641;133658
2013-05-21;134458;641;133817
2013-05-22;134623;642;133981
2013-05-23;134723;642;134081
2013-05-24;134839;642;134197
2013-05-25;134977;642;134335
2013-05-26;135089;642;134447
2013-05-27;135210;643;134567
2013-05-28;135348;643;134705
2013-05-29;135487;644;134843
2013-05-30;135684;644;135040
2013-05-31;135817;646;135171
2013-06-01;135948;647;135301
2013-06-02;136136;649;135487
2013-06-03;136260;651;135609
2013-06-04;136370;652;135718
2013-06-05;136518;654;135864
2013-06-06;136656;654;136002
2013-06-07;136761;654;136107
2013-06-08;136819;654;136165
2013-06-09;136930;654;136276
2013-06-10;137053;655;136398
2013-06-11;137178;656;136522
2013-06-20;138162;662;137500
2013-06-21;138228;666;137562
2013-06-22;138336;667;137669
2013-06-23;138423;669;137754
2013-06-24;138552;672;137880
2013-06-25;138632;673;137959
2013-06-26;138757;674;138083
2013-06-27;138895;674;138221
2013-06-28;139048;674;138374
2013-06-29;139195;676;138519
2013-06-30;139345;676;138669
2013-07-01;139458;675;138783
2013-07-02;139608;678;138930
2013-07-03;139727;680;139047
2013-07-04;139886;681;139205
2013-07-05;139985;681;139304
2013-07-06;140103;681;139422
2013-07-07;140277;682;139595
2013-07-08;140450;682;139768
2013-07-09;140603;682;139921
2013-07-10;140750;683;140067
2013-07-11;140867;684;140183
2013-07-12;141004;684;140320
2013-07-13;141103;684;140419
2013-07-14;141220;687;140533
2013-07-15;141284;689;140595
2013-07-16;141403;690;140713
2013-07-17;141516;690;140826
2013-07-18;141626;691;140935
2013-07-19;141739;691;141048
2013-07-20;141844;692;141152
2013-07-21;141942;692;141250
2013-07-22;142042;693;141349
2013-07-23;142113;694;141419
2013-07-24;142188;696;141492
2013-07-25;142281;696;141585
2013-07-26;142390;697;141693
2013-07-27;142494;697;141797
2013-07-28;142633;700;141933
2013-07-29;142707;705;142002
2013-07-30;142842;706;142136
2013-07-31;142983;706;142277
2013-08-01;143125;707;142418
2013-08-02;143287;707;142580
2013-08-03;143470;707;142763
2013-08-04;143598;708;142890
2013-08-05;143754;707;143047
2013-08-06;143901;707;143194
2013-08-07;144035;707;143328
2013-08-08;144227;708;143519
2013-08-09;144421;708;143713
2013-08-10;144605;709;143896
2013-08-11;144771;709;144062
2013-08-12;144967;708;144259
2013-08-13;145196;708;144488
2013-08-14;145342;708;144634
2013-08-15;145485;708;144777
2013-08-16;145638;709;144929
2013-08-17;145817;709;145108
2013-08-18;145943;708;145235
2013-08-19;146076;707;145369
2013-08-20;146229;707;145522
2013-08-21;146396;709;145687
2013-08-22;146620;710;145910
2013-08-23;146777;711;146066
2013-08-24;146906;711;146195
2013-08-25;147045;711;146334
2013-08-26;147202;711;146491
2013-08-27;147317;711;146606
2013-08-28;147390;711;146679
2013-08-29;147511;710;146801
2013-08-30;147598;710;146888
2013-08-31;147714;709;147005
2013-09-01;147845;709;147136
2013-09-02;147922;709;147213
2013-09-03;148086;710;147376
2013-09-04;148187;713;147474
2013-09-05;148283;712;147571
2013-09-06;148371;712;147659
2013-09-07;148428;713;147715
2013-09-08;148553;713;147840
2013-09-09;148675;714;147961
2013-09-10;148768;713;148055
2013-09-11;148845;712;148133
2013-09-12;148936;712;148224
2013-09-13;149024;712;148312
2013-09-14;149138;713;148425
2013-09-15;149324;714;148610
2013-09-16;149422;719;148703
2013-09-17;149495;721;148774
2013-09-18;149607;721;148886
2013-09-19;149691;723;148968
2013-09-20;149769;723;149046
2013-09-21;149867;723;149144
2013-09-22;150011;723;149288
2013-09-23;150121;723;149398
2013-09-24;150221;724;149497
2013-09-25;150342;726;149616
2013-09-26;150470;727;149743
2013-09-27;150538;728;149810
2013-09-28;150654;728;149926
2013-09-29;150762;728;150034
2013-09-30;150844;729;150115
2013-10-01;150933;729;150204
2013-10-02;151007;729;150278
2013-10-03;151098;729;150369
2013-10-04;151181;729;150452
2013-10-05;151248;729;150519
2013-10-06;151380;729;150651
2013-10-07;151482;729;150753
2013-10-08;151569;730;150839
2013-10-09;151642;731;150911
2013-10-10;151687;731;150956
2013-10-11;151786;732;151054
2013-10-12;151868;737;151131
2013-10-13;152116;738;151378
2013-10-14;152261;738;151523
2013-10-15;152378;738;151640
2013-10-16;152486;738;151748
2013-10-17;152555;740;151815
2013-10-18;152608;740;151868
2013-10-19;152678;741;151937
2013-10-20;152778;741;152037
2013-10-21;152869;743;152126
2013-10-22;152936;744;152192
2013-10-23;153017;745;152272
2013-10-24;153070;746;152324
2013-10-25;153118;746;152372
2013-10-26;153184;749;152435
2013-10-27;153260;749;152511
2013-10-28;153343;749;152594
2013-10-29;153414;751;152663
2013-10-30;153459;751;152708
2013-10-31;153528;751;152777
2013-11-01;153730;751;152979
2013-11-02;153841;752;153089
2013-11-03;154137;752;153385
2013-11-04;154335;752;153583
2013-11-05;154488;756;153732
2013-11-06;154821;760;154061
2013-11-07;154976;761;154215
2013-11-08;155091;761;154330
2013-11-09;155294;761;154533
2013-11-10;155784;761;155023
2013-11-11;156056;762;155294
2013-11-12;156257;764;155493
