date;followers;following;fans
2013-04-18;1794;578;1216
2013-04-20;1795;582;1213
2013-04-22;1798;582;1216
2013-04-24;1800;582;1218
2013-04-26;1800;582;1218
2013-04-28;1801;582;1219
2013-04-30;1803;582;1221
2013-05-02;1803;582;1221
2013-05-04;1806;582;1224
2013-05-06;1806;582;1224
2013-05-08;1809;585;1224
2013-05-10;1810;585;1225
2013-05-12;1808;586;1222
2013-05-14;1810;586;1224
2013-05-16;1815;586;1229
2013-05-18;1817;586;1231
2013-05-20;1816;588;1228
2013-05-22;1819;588;1231
2013-05-24;1820;588;1232
2013-05-26;1822;588;1234
2013-05-28;1822;589;1233
2013-05-30;1824;589;1235
2013-06-01;1826;589;1237
2013-06-03;1827;591;1236
2013-06-05;1824;591;1233
2013-06-07;1830;591;1239
2013-06-09;1831;591;1240
2013-06-11;1829;591;1238
2013-06-20;1830;592;1238
2013-06-22;1833;592;1241
2013-06-24;1838;593;1245
2013-06-26;1848;598;1250
2013-06-28;1851;598;1253
2013-06-30;1851;598;1253
2013-07-02;1852;598;1254
2013-07-04;1854;598;1256
2013-07-06;1856;598;1258
2013-07-08;1855;599;1256
2013-07-10;1855;599;1256
2013-07-12;1858;604;1254
2013-07-14;1861;604;1257
2013-07-16;1863;605;1258
2013-07-18;1865;605;1260
2013-07-20;1868;605;1263
2013-07-22;1869;605;1264
2013-07-24;1868;606;1262
2013-07-26;1866;606;1260
2013-07-28;1866;606;1260
2013-07-30;1867;606;1261
2013-08-01;1871;606;1265
2013-08-03;1872;606;1266
2013-08-05;1875;606;1269
2013-08-07;1874;609;1265
2013-08-09;1876;609;1267
2013-08-11;1874;610;1264
2013-08-13;1874;612;1262
2013-08-15;1874;613;1261
2013-08-17;1874;613;1261
2013-08-19;1874;613;1261
2013-08-21;1877;614;1263
2013-08-23;1879;614;1265
2013-08-25;1881;615;1266
2013-08-27;1885;612;1273
2013-08-29;1887;613;1274
2013-08-31;1895;613;1282
2013-09-02;1894;615;1279
2013-09-04;1895;616;1279
2013-09-06;1900;618;1282
2013-09-08;1903;619;1284
2013-09-10;1903;620;1283
2013-09-12;1902;621;1281
2013-09-14;1905;621;1284
2013-09-16;1905;621;1284
2013-09-18;1906;621;1285
2013-09-20;1905;622;1283
2013-09-22;1904;622;1282
2013-09-24;1904;622;1282
2013-09-26;1904;636;1268
2013-09-28;1907;637;1270
2013-09-30;1906;637;1269
2013-10-02;1905;637;1268
2013-10-04;1907;638;1269
