date;followers;following;fans
2013-05-05;1273;220;1053
2013-05-07;1271;220;1051
2013-05-09;1272;222;1050
2013-05-11;1266;222;1044
2013-05-13;1264;222;1042
2013-05-15;1270;222;1048
2013-05-17;1273;232;1041
2013-05-19;1274;233;1041
2013-05-21;1274;234;1040
2013-05-23;1276;233;1043
2013-05-25;1277;234;1043
2013-05-27;1279;238;1041
2013-05-29;1280;236;1044
2013-05-31;1283;236;1047
2013-06-02;1283;236;1047
2013-06-04;1284;237;1047
2013-06-06;1285;238;1047
2013-06-08;1286;238;1048
2013-06-10;1283;238;1045
2013-06-20;1290;229;1061
2013-06-22;1290;228;1062
2013-06-24;1287;228;1059
2013-06-26;1287;228;1059
2013-06-28;1295;231;1064
2013-06-30;1294;231;1063
2013-07-02;1297;232;1065
2013-07-04;1297;242;1055
2013-07-06;1310;257;1053
2013-07-08;1311;258;1053
2013-07-10;1311;257;1054
2013-07-12;1313;260;1053
2013-07-14;1312;261;1051
2013-07-16;1311;261;1050
2013-07-18;1310;261;1049
2013-07-20;1309;261;1048
2013-07-22;1309;261;1048
2013-07-24;1308;262;1046
2013-07-26;1333;262;1071
2013-07-28;1334;263;1071
2013-07-30;1334;264;1070
2013-08-01;1337;264;1073
2013-08-03;1337;268;1069
2013-08-05;1336;267;1069
2013-08-07;1336;270;1066
2013-08-09;1339;268;1071
2013-08-11;1338;268;1070
2013-08-13;1338;268;1070
2013-08-15;1336;268;1068
2013-08-17;1335;268;1067
2013-08-19;1337;268;1069
2013-08-21;1337;269;1068
2013-08-23;1338;271;1067
2013-08-25;1339;271;1068
2013-08-27;1336;272;1064
2013-08-29;1333;273;1060
2013-08-31;1335;274;1061
2013-09-02;1339;276;1063
2013-09-04;1342;282;1060
2013-09-06;1342;279;1063
2013-09-08;1343;280;1063
2013-09-10;1342;280;1062
2013-09-12;1341;266;1075
2013-09-14;1343;266;1077
2013-09-16;1341;266;1075
2013-09-18;1340;266;1074
2013-09-20;1340;266;1074
2013-09-22;1340;267;1073
2013-09-24;1338;267;1071
2013-09-26;1344;266;1078
2013-09-28;1342;266;1076
2013-09-29;1341;267;1074
2013-10-02;1342;267;1075
2013-10-04;1338;267;1071
2013-10-06;1337;267;1070
2013-10-08;1339;267;1072
2013-10-10;1344;270;1074
2013-10-12;1345;271;1074
2013-10-16;1343;274;1069
2013-10-18;1344;270;1074
2013-10-20;1346;270;1076
2013-10-22;1345;270;1075
2013-10-24;1347;272;1075
2013-10-26;1348;272;1076
2013-10-28;1347;272;1075
2013-10-30;1346;274;1072
2013-11-01;1347;235;1112
2013-11-03;1348;235;1113
2013-11-05;1348;235;1113
2013-11-07;1347;290;1057
2013-11-09;1341;233;1108
2013-11-11;1339;234;1105
2013-11-13;1338;232;1106
2013-11-15;1337;232;1105
2013-11-17;1337;232;1105
2013-11-19;1337;233;1104
2013-11-21;1339;234;1105
2013-11-23;1338;234;1104
2013-11-25;1338;234;1104
2013-11-27;1338;235;1103
2013-11-29;1337;234;1103
2013-12-01;1337;233;1104
2013-12-03;1337;234;1103
2013-12-05;1337;214;1123
2013-12-07;1335;214;1121
2013-12-09;1334;214;1120
2013-12-11;1333;214;1119
2013-12-13;1334;214;1120
2013-12-15;1334;215;1119
2013-12-17;1333;215;1118
2013-12-19;1335;216;1119
2013-12-21;1337;216;1121
2013-12-23;1337;216;1121
2013-12-25;1337;216;1121
2013-12-27;1337;216;1121
2013-12-29;1337;216;1121
2013-12-31;1337;216;1121
2014-01-02;1335;216;1119
2014-01-04;1337;217;1120
2014-01-06;1338;217;1121
2014-01-08;1340;217;1123
2014-01-10;1339;217;1122
2014-01-12;1337;217;1120
2014-01-14;1338;217;1121
2014-01-16;1337;217;1120
2014-01-18;1336;218;1118
2014-01-20;1335;218;1117
2014-01-22;1336;217;1119
2014-01-24;1336;217;1119
2014-01-26;1336;217;1119
2014-01-28;1335;217;1118
2014-01-30;1337;217;1120
2014-02-01;1337;217;1120
2014-02-03;1337;217;1120
2014-02-05;1335;217;1118
2014-02-07;1334;218;1116
2014-02-09;1334;218;1116
2014-02-11;1334;218;1116
2014-02-13;1334;218;1116
2014-02-15;1339;219;1120
2014-02-17;1339;219;1120
2014-02-19;1338;220;1118
2014-02-21;1338;220;1118
2014-02-23;1338;220;1118
2014-02-25;1337;220;1117
2014-02-27;1338;221;1117
2014-03-01;1337;221;1116
2014-03-03;1338;222;1116
2014-03-05;1337;223;1114
2014-03-07;1338;228;1110
2014-03-09;1340;230;1110
2014-03-11;1339;230;1109
2014-03-13;1339;231;1108
2014-03-15;1339;232;1107
2014-03-17;1337;232;1105
2014-03-19;1337;232;1105
2014-03-21;1337;232;1105
2014-03-23;1336;232;1104
2014-03-25;1337;233;1104
2014-03-27;1336;233;1103
2014-03-29;1336;233;1103
2014-03-31;1336;233;1103
2014-04-02;1338;235;1103
2014-04-04;1338;236;1102
2014-04-06;1337;236;1101
2014-04-08;1337;236;1101
2014-04-10;1337;237;1100
2014-04-12;1337;237;1100
2014-04-14;1337;237;1100
2014-04-16;1339;237;1102
2014-04-18;1337;237;1100
2014-04-20;1337;237;1100
2014-04-22;1337;237;1100
2014-04-24;1339;237;1102
2014-04-26;1339;238;1101
2014-04-28;1340;238;1102
2014-04-30;1341;238;1103
2014-05-02;1340;238;1102
2014-05-04;1341;238;1103
