date;followers;following;fans
2013-04-17;24462;128;24334
2013-04-18;24488;128;24360
2013-04-19;24495;128;24367
2013-04-20;24518;128;24390
2013-04-21;24530;128;24402
2013-04-22;24533;127;24406
2013-04-23;24536;127;24409
2013-04-24;24554;127;24427
2013-04-25;24570;127;24443
2013-04-26;24584;127;24457
2013-04-27;24596;127;24469
2013-04-28;24614;127;24487
2013-04-29;24622;127;24495
2013-04-30;24635;127;24508
2013-05-01;24661;127;24534
2013-05-02;24683;127;24556
2013-05-03;24708;127;24581
2013-05-04;24739;127;24612
2013-05-05;24758;127;24631
2013-05-06;24778;127;24651
2013-05-07;24811;127;24684
2013-05-08;24842;127;24715
2013-05-09;24856;127;24729
2013-05-10;24879;127;24752
2013-05-11;24889;127;24762
2013-05-12;24918;127;24791
2013-05-13;24956;127;24829
2013-05-14;24996;127;24869
2013-05-15;25027;127;24900
2013-05-16;25063;127;24936
2013-05-17;25103;127;24976
2013-05-18;25141;127;25014
2013-05-19;25179;127;25052
2013-05-20;25222;127;25095
2013-05-21;25268;127;25141
2013-05-22;25307;127;25180
2013-05-23;25328;127;25201
2013-05-24;25357;127;25230
2013-05-25;25394;127;25267
2013-05-26;25424;127;25297
2013-05-27;25458;127;25331
2013-05-28;25497;127;25370
2013-05-29;25524;127;25397
2013-05-30;25555;127;25428
2013-05-31;25606;127;25479
2013-06-01;25650;127;25523
2013-06-02;25684;127;25557
2013-06-03;25728;127;25601
2013-06-04;25770;127;25643
2013-06-05;25795;127;25668
2013-06-06;25824;127;25697
2013-06-07;25867;127;25740
2013-06-08;25895;127;25768
2013-06-09;25936;127;25809
2013-06-10;25970;127;25843
2013-06-11;25993;127;25866
2013-06-20;26277;128;26149
2013-06-21;26303;128;26175
2013-06-22;26336;128;26208
2013-06-23;26372;128;26244
2013-06-24;26412;128;26284
2013-06-25;26444;128;26316
2013-06-26;26481;128;26353
2013-06-27;26524;128;26396
2013-06-28;26593;128;26465
2013-06-29;26623;128;26495
2013-06-30;26682;128;26554
2013-07-01;26716;128;26588
2013-07-02;26758;128;26630
2013-07-03;26794;128;26666
2013-07-04;26831;128;26703
2013-07-05;26864;128;26736
2013-07-06;26909;128;26781
2013-07-07;26964;128;26836
2013-07-08;27006;128;26878
2013-07-09;27049;128;26921
2013-07-10;27094;128;26966
2013-07-11;27127;128;26999
2013-07-12;27155;128;27027
2013-07-13;27211;128;27083
2013-07-14;27240;128;27112
2013-07-15;27280;128;27152
2013-07-16;27302;128;27174
2013-07-17;27317;128;27189
2013-07-18;27340;128;27212
2013-07-19;27384;128;27256
2013-07-20;27418;128;27290
2013-07-21;27463;128;27335
2013-07-22;27490;128;27362
2013-07-23;27525;128;27397
2013-07-24;27565;128;27437
2013-07-25;27606;128;27478
2013-07-26;27633;128;27505
2013-07-27;27653;128;27525
2013-07-28;27656;128;27528
2013-07-29;27682;128;27554
2013-07-30;27722;128;27594
2013-07-31;27745;128;27617
2013-08-01;27781;128;27653
2013-08-02;27793;128;27665
2013-08-03;27806;128;27678
2013-08-04;27829;128;27701
2013-08-05;27852;128;27724
2013-08-06;27871;128;27743
2013-08-07;27890;128;27762
2013-08-08;27914;128;27786
2013-08-09;27935;128;27807
2013-08-10;27949;128;27821
2013-08-11;27963;128;27835
2013-08-12;27977;128;27849
2013-08-13;27991;128;27863
2013-08-14;28005;128;27877
2013-08-15;28023;128;27895
2013-08-16;28047;128;27919
2013-08-17;28077;128;27949
2013-08-18;28094;128;27966
2013-08-19;28110;128;27982
2013-08-20;28139;128;28011
2013-08-21;28160;128;28032
2013-08-22;28158;128;28030
2013-08-23;28185;128;28057
2013-08-24;28204;128;28076
2013-08-25;28226;128;28098
2013-08-26;28238;128;28110
2013-08-27;28248;128;28120
2013-08-28;28270;128;28142
2013-08-29;28280;128;28152
2013-08-30;28291;128;28163
2013-08-31;28309;128;28181
2013-09-01;28349;128;28221
2013-09-02;28406;128;28278
2013-09-03;28434;128;28306
2013-09-04;28493;128;28365
