date;followers;following;fans
2013-09-27;1457;164;1293
2013-09-29;1453;164;1289
2013-10-01;1457;164;1293
2013-10-03;1457;164;1293
2013-10-05;1456;164;1292
2013-10-07;1454;165;1289
2013-10-09;1454;163;1291
2013-10-11;1453;164;1289
2013-10-13;1453;163;1290
2013-10-15;1452;164;1288
2013-10-17;1448;164;1284
2013-10-19;1447;165;1282
2013-10-21;1447;165;1282
2013-10-23;1447;165;1282
2013-10-25;1448;165;1283
2013-10-27;1449;168;1281
2013-10-29;1448;168;1280
2013-10-31;1450;168;1282
2013-11-02;1450;168;1282
2013-11-04;1450;169;1281
2013-11-06;1449;169;1280
2013-11-08;1449;169;1280
2013-11-10;1447;169;1278
2013-11-12;1444;169;1275
2013-11-14;1444;168;1276
2013-11-16;1443;168;1275
2013-11-18;1441;168;1273
2013-11-20;1439;168;1271
2013-11-22;1440;168;1272
2013-11-24;1438;168;1270
2013-11-26;1436;166;1270
2013-11-28;1438;167;1271
2013-11-30;1437;168;1269
2013-12-02;1437;168;1269
2013-12-04;1438;168;1270
2013-12-06;1436;168;1268
2013-12-08;1435;168;1267
2013-12-10;1435;168;1267
2013-12-12;1435;167;1268
2013-12-14;1435;167;1268
2013-12-16;1434;167;1267
2013-12-18;1435;166;1269
2013-12-20;1435;166;1269
2013-12-22;1433;166;1267
2013-12-24;1432;166;1266
2013-12-26;1430;166;1264
2013-12-28;1431;166;1265
2013-12-30;1430;166;1264
2014-01-01;1428;167;1261
2014-01-03;1428;168;1260
2014-01-05;1428;168;1260
2014-01-07;1426;168;1258
2014-01-09;1425;168;1257
2014-01-11;1423;168;1255
2014-01-13;1424;168;1256
2014-01-15;1424;168;1256
2014-01-17;1423;168;1255
2014-01-19;1421;168;1253
2014-01-21;1421;168;1253
2014-01-23;1422;168;1254
2014-01-25;1422;170;1252
2014-01-27;1422;170;1252
2014-01-30;1420;171;1249
2014-02-01;1419;171;1248
2014-02-03;1417;172;1245
2014-02-05;1419;172;1247
2014-02-07;1422;172;1250
2014-02-09;1422;172;1250
2014-02-11;1422;172;1250
2014-02-13;1422;171;1251
2014-02-15;1420;172;1248
2014-02-17;1419;173;1246
2014-02-19;1421;174;1247
2014-02-21;1420;174;1246
2014-02-23;1419;174;1245
2014-02-25;1419;175;1244
2014-02-27;1419;176;1243
2014-03-01;1419;176;1243
2014-03-03;1417;176;1241
2014-03-05;1418;177;1241
2014-03-07;1418;178;1240
2014-03-09;1418;179;1239
2014-03-11;1416;180;1236
2014-03-13;1414;180;1234
2014-03-15;1414;180;1234
2014-03-17;1415;181;1234
2014-03-19;1416;180;1236
2014-03-21;1415;180;1235
2014-03-23;1413;181;1232
2014-03-25;1414;181;1233
2014-03-27;1415;180;1235
2014-03-29;1415;180;1235
2014-03-31;1415;180;1235
2014-04-02;1414;180;1234
2014-04-04;1415;180;1235
2014-04-06;1415;180;1235
2014-04-08;1413;181;1232
2014-04-10;1413;181;1232
2014-04-12;1411;181;1230
2014-04-14;1410;183;1227
2014-04-16;1411;183;1228
2014-04-18;1411;184;1227
2014-04-20;1410;184;1226
2014-04-22;1410;184;1226
2014-04-24;1411;184;1227
2014-04-26;1410;183;1227
2014-04-28;1411;183;1228
2014-04-30;1411;183;1228
2014-05-02;1409;184;1225
2014-05-04;1408;184;1224
