date;followers;following;fans
2013-04-17;25450;94;25356
2013-04-18;25501;94;25407
2013-04-19;25532;94;25438
2013-04-20;25577;94;25483
2013-04-21;25613;94;25519
2013-04-22;25644;94;25550
2013-04-23;25680;94;25586
2013-04-24;25706;94;25612
2013-04-25;25745;94;25651
2013-04-26;25770;94;25676
2013-04-27;25797;94;25703
2013-04-28;25834;94;25740
2013-04-29;25862;94;25768
2013-04-30;25897;95;25802
2013-05-01;25924;95;25829
2013-05-02;25957;95;25862
2013-05-03;26004;95;25909
2013-05-04;26055;95;25960
2013-05-05;26077;95;25982
2013-05-06;26111;95;26016
2013-05-07;26143;95;26048
2013-05-08;26184;95;26089
2013-05-09;26230;95;26135
2013-05-10;26271;95;26176
2013-05-11;26280;95;26185
2013-05-12;26302;95;26207
2013-05-13;26333;95;26238
2013-05-14;26358;95;26263
2013-05-15;26401;95;26306
2013-05-16;26441;95;26346
2013-05-17;26466;95;26371
2013-05-18;26497;95;26402
2013-05-19;26527;95;26432
2013-05-20;26571;95;26476
2013-05-21;26610;95;26515
2013-05-22;26660;95;26565
2013-05-23;26695;97;26598
2013-05-24;26729;97;26632
2013-05-25;26756;97;26659
2013-05-26;26784;97;26687
2013-05-27;26811;97;26714
2013-05-28;26860;97;26763
2013-05-29;26897;97;26800
2013-05-30;26929;97;26832
2013-05-31;26969;97;26872
2013-06-01;27002;98;26904
2013-06-02;27030;98;26932
2013-06-03;27065;98;26967
2013-06-04;27104;98;27006
2013-06-05;27135;98;27037
2013-06-06;27173;98;27075
2013-06-07;27213;98;27115
2013-06-08;27247;98;27149
2013-06-09;27270;98;27172
2013-06-10;27306;98;27208
2013-06-11;27338;98;27240
2013-06-20;27597;98;27499
2013-06-21;27625;98;27527
2013-06-22;27674;98;27576
2013-06-23;27700;98;27602
2013-06-24;27737;98;27639
2013-06-25;27774;98;27676
2013-06-26;27817;98;27719
2013-06-27;27846;98;27748
2013-06-28;27876;98;27778
2013-06-29;27899;98;27801
2013-06-30;27939;98;27841
2013-07-01;27975;98;27877
2013-07-02;28007;98;27909
2013-07-03;28056;98;27958
2013-07-04;28085;98;27987
2013-07-05;28117;98;28019
2013-07-06;28138;98;28040
2013-07-07;28156;98;28058
2013-07-08;28170;98;28072
2013-07-09;28194;98;28096
2013-07-10;28226;98;28128
2013-07-11;28262;98;28164
2013-07-12;28306;98;28208
2013-07-13;28349;97;28252
2013-07-14;28389;97;28292
2013-07-15;28417;97;28320
2013-07-16;28444;97;28347
2013-07-17;28481;97;28384
2013-07-18;28504;97;28407
2013-07-19;28523;97;28426
2013-07-20;28547;97;28450
2013-07-21;28569;97;28472
2013-07-22;28595;97;28498
2013-07-23;28629;97;28532
2013-07-24;28671;97;28574
2013-07-25;28701;97;28604
2013-07-26;28721;97;28624
2013-07-27;28736;97;28639
2013-07-28;28747;97;28650
2013-07-29;28755;97;28658
2013-07-30;28773;97;28676
2013-07-31;28822;97;28725
2013-08-01;28870;97;28773
2013-08-02;28889;97;28792
2013-08-03;28923;97;28826
2013-08-04;28947;97;28850
2013-08-05;28988;97;28891
2013-08-06;29021;97;28924
2013-08-07;29058;97;28961
2013-08-08;29100;97;29003
2013-08-09;29145;97;29048
2013-08-10;29167;97;29070
2013-08-11;29218;97;29121
2013-08-12;29238;97;29141
2013-08-13;29276;97;29179
2013-08-14;29306;97;29209
2013-08-15;29341;97;29244
2013-08-16;29373;97;29276
2013-08-17;29410;97;29313
2013-08-18;29429;97;29332
2013-08-19;29448;97;29351
2013-08-20;29479;97;29382
2013-08-21;29500;97;29403
2013-08-22;29537;97;29440
2013-08-23;29565;97;29468
2013-08-24;29579;97;29482
2013-08-25;29605;97;29508
2013-08-26;29635;97;29538
2013-08-27;29671;97;29574
2013-08-28;29720;97;29623
2013-08-29;29765;97;29668
2013-08-30;29786;97;29689
2013-08-31;29813;97;29716
2013-09-01;29850;97;29753
2013-09-02;29884;97;29787
2013-09-03;29925;97;29828
2013-09-04;29967;97;29870
2013-09-05;29998;97;29901
2013-09-06;30031;97;29934
2013-09-07;30065;97;29968
2013-09-08;30093;97;29996
2013-09-09;30122;97;30025
2013-09-10;30174;97;30077
2013-09-11;30218;97;30121
2013-09-12;30266;97;30169
2013-09-13;30286;97;30189
2013-09-14;30307;97;30210
2013-09-15;30334;97;30237
2013-09-16;30366;97;30269
2013-09-17;30389;97;30292
2013-09-18;30428;97;30331
2013-09-19;30456;97;30359
2013-09-20;30485;97;30388
2013-09-21;30521;97;30424
2013-09-22;30534;97;30437
2013-09-23;30544;97;30447
2013-09-24;30571;97;30474
2013-09-25;30587;98;30489
2013-09-26;30608;98;30510
2013-09-27;30633;98;30535
2013-09-28;30658;98;30560
2013-09-29;30672;98;30574
2013-09-30;30691;98;30593
2013-10-01;30722;98;30624
2013-10-02;30738;98;30640
2013-10-03;30770;98;30672
2013-10-04;30782;98;30684
2013-10-05;30798;98;30700
2013-10-06;30819;98;30721
2013-10-07;30849;98;30751
2013-10-08;30870;98;30772
2013-10-09;30876;98;30778
2013-10-10;30894;98;30796
2013-10-11;30923;98;30825
2013-10-12;30938;98;30840
2013-10-13;30964;98;30866
2013-10-14;30996;98;30898
2013-10-15;31022;98;30924
2013-10-16;31044;98;30946
2013-10-17;31069;98;30971
2013-10-18;31099;98;31001
2013-10-19;31117;98;31019
2013-10-20;31122;98;31024
2013-10-21;31141;98;31043
2013-10-22;31169;98;31071
2013-10-23;31185;98;31087
2013-10-24;31200;98;31102
2013-10-25;31219;98;31121
2013-10-26;31240;98;31142
2013-10-27;31246;98;31148
2013-10-28;31266;98;31168
2013-10-29;31281;98;31183
2013-10-30;31299;98;31201
2013-10-31;31325;98;31227
2013-11-01;31340;98;31242
2013-11-02;31368;98;31270
2013-11-03;31394;98;31296
2013-11-04;31402;98;31304
2013-11-05;31414;98;31316
2013-11-06;31435;98;31337
2013-11-07;31452;98;31354
2013-11-08;31478;98;31380
2013-11-09;31504;98;31406
2013-11-10;31518;98;31420
2013-11-11;31548;98;31450
2013-11-12;31556;98;31458
2013-11-13;31575;98;31477
2013-11-14;31602;98;31504
2013-11-15;31629;98;31531
2013-11-16;31650;98;31552
2013-11-17;31664;98;31566
2013-11-18;31678;98;31580
2013-11-19;31706;98;31608
2013-11-20;31721;98;31623
2013-11-21;31735;98;31637
2013-11-22;31770;98;31672
2013-11-23;31781;98;31683
2013-11-24;31798;98;31700
2013-11-25;31826;98;31728
2013-11-26;31842;98;31744
2013-11-27;31842;98;31744
2013-11-28;31858;98;31760
2013-11-29;31862;98;31764
2013-11-30;31875;98;31777
2013-12-01;31882;98;31784
2013-12-02;31890;98;31792
2013-12-03;31922;99;31823
2013-12-04;31936;99;31837
2013-12-05;31950;99;31851
2013-12-06;31960;99;31861
2013-12-07;31984;99;31885
2013-12-08;32011;99;31912
2013-12-09;32024;99;31925
2013-12-10;32048;99;31949
2013-12-11;32062;99;31963
2013-12-12;32078;99;31979
2013-12-13;32102;99;32003
2013-12-14;32113;99;32014
2013-12-15;32128;99;32029
2013-12-16;32139;99;32040
2013-12-17;32154;99;32055
2013-12-18;32168;99;32069
2013-12-19;32198;99;32099
2013-12-20;32212;99;32113
2013-12-21;32224;99;32125
2013-12-22;32235;99;32136
2013-12-23;32245;99;32146
2013-12-24;32253;100;32153
2013-12-25;32273;100;32173
2013-12-26;32277;100;32177
2013-12-27;32288;100;32188
2013-12-28;32301;100;32201
2013-12-29;32305;100;32205
2013-12-30;32306;100;32206
2013-12-31;32327;100;32227
2014-01-01;32343;100;32243
2014-01-02;32361;100;32261
2014-01-03;32380;101;32279
2014-01-04;32403;101;32302
2014-01-05;32416;101;32315
2014-01-06;32436;101;32335
2014-01-07;32473;101;32372
2014-01-08;32500;101;32399
2014-01-09;32521;101;32420
2014-01-10;32539;102;32437
2014-01-11;32562;102;32460
2014-01-12;32575;102;32473
2014-01-13;32589;102;32487
2014-01-14;32620;102;32518
2014-01-15;32634;103;32531
2014-01-16;32657;103;32554
2014-01-17;32689;103;32586
2014-01-18;32720;103;32617
2014-01-19;32730;103;32627
2014-01-20;32748;103;32645
2014-01-21;32782;103;32679
2014-01-22;32817;103;32714
2014-01-23;32838;103;32735
2014-01-24;32861;103;32758
2014-01-25;32879;103;32776
2014-01-26;32889;103;32786
2014-01-27;32911;1209;31702
2014-01-28;32937;2254;30683
2014-01-29;32988;2277;30711
2014-01-30;32998;2279;30719
2014-01-31;33021;2282;30739
2014-02-01;33034;2287;30747
2014-02-02;33055;2291;30764
2014-02-03;33087;2290;30797
2014-02-04;33117;2290;30827
2014-02-05;33157;2291;30866
2014-02-06;33186;2292;30894
2014-02-07;33223;2293;30930
2014-02-08;33255;2349;30906
2014-02-09;33286;2351;30935
2014-02-10;33317;2351;30966
2014-02-11;33336;2351;30985
2014-02-12;33379;2351;31028
2014-02-13;33407;2353;31054
2014-02-14;33435;2353;31082
2014-02-15;33473;2353;31120
2014-02-16;33491;2354;31137
2014-02-17;33523;2357;31166
2014-02-18;33566;2358;31208
2014-02-19;33598;2359;31239
2014-02-20;33627;2361;31266
2014-02-21;33641;2362;31279
2014-02-22;33654;2361;31293
2014-02-23;33675;2361;31314
2014-02-24;33696;2361;31335
2014-02-25;33721;2361;31360
2014-02-26;33742;2362;31380
2014-02-27;33764;2364;31400
2014-02-28;33782;2364;31418
2014-03-01;33807;2364;31443
2014-03-02;33833;2364;31469
2014-03-03;33861;2364;31497
2014-03-04;33884;2363;31521
2014-03-05;33922;2363;31559
2014-03-06;33953;2363;31590
2014-03-07;33978;2363;31615
2014-03-08;34011;2363;31648
2014-03-09;34027;2365;31662
2014-03-10;34048;2365;31683
2014-03-11;34075;2365;31710
2014-03-12;34088;2365;31723
2014-03-13;34116;2364;31752
2014-03-14;34155;2364;31791
2014-03-15;34180;2364;31816
2014-03-16;34206;2364;31842
2014-03-17;34222;2364;31858
2014-03-18;34247;2363;31884
2014-03-19;34270;2363;31907
2014-03-20;34300;2363;31937
2014-03-21;34323;2363;31960
2014-03-22;34349;2363;31986
2014-03-23;34374;2362;32012
2014-03-24;34394;2362;32032
2014-03-25;34432;2362;32070
2014-03-26;34477;2363;32114
2014-03-27;34506;2363;32143
2014-03-28;34534;2364;32170
2014-03-29;34565;2364;32201
2014-03-30;34582;2364;32218
2014-03-31;34609;2364;32245
2014-04-01;34651;2363;32288
2014-04-02;34676;2363;32313
2014-04-03;34723;2364;32359
2014-04-04;34750;2366;32384
2014-04-05;34776;2366;32410
2014-04-06;34801;2365;32436
2014-04-07;34836;2365;32471
2014-04-08;34871;2364;32507
2014-04-09;34914;2365;32549
2014-04-10;34939;2365;32574
2014-04-11;34971;2365;32606
2014-04-12;35004;2367;32637
2014-04-13;35022;2367;32655
2014-04-14;35048;2367;32681
2014-04-15;35078;2368;32710
2014-04-16;35097;2366;32731
2014-04-17;35126;2367;32759
2014-04-18;35149;2367;32782
2014-04-19;35180;2366;32814
2014-04-20;35184;2367;32817
2014-04-21;35197;2368;32829
2014-04-22;35221;2367;32854
2014-04-23;35244;2367;32877
2014-04-24;35272;2367;32905
2014-04-25;35301;2366;32935
2014-04-26;35334;2364;32970
2014-04-27;35367;2363;33004
2014-04-28;35397;2364;33033
2014-04-29;35413;2365;33048
2014-04-30;35444;2365;33079
2014-05-01;35484;2365;33119
2014-05-02;35520;2365;33155
2014-05-03;35542;2365;33177
2014-05-04;35562;2365;33197
2014-05-05;35592;2365;33227
2014-05-06;35620;2365;33255
