date;followers;following;fans
2013-04-19;1435;434;1001
2013-04-20;1438;434;1004
2013-04-22;1440;434;1006
2013-04-25;1441;434;1007
2013-04-27;1442;434;1008
2013-04-28;1441;434;1007
2013-05-01;1445;434;1011
2013-05-03;1448;434;1014
2013-05-05;1446;434;1012
2013-05-06;1450;434;1016
2013-05-08;1452;434;1018
2013-05-11;1446;434;1012
2013-05-13;1448;434;1014
2013-05-15;1455;434;1021
2013-05-17;1457;434;1023
2013-05-19;1458;435;1023
2013-05-21;1454;435;1019
2013-05-23;1460;435;1025
2013-05-25;1461;435;1026
2013-05-27;1462;435;1027
2013-05-28;1464;435;1029
2013-05-31;1464;435;1029
2013-06-02;1464;435;1029
2013-06-04;1465;435;1030
2013-06-06;1465;435;1030
2013-06-08;1466;435;1031
2013-06-10;1463;435;1028
2013-06-20;1471;436;1035
2013-06-21;1472;437;1035
2013-06-23;1474;437;1037
2013-06-26;1473;437;1036
2013-06-28;1475;437;1038
2013-06-30;1477;436;1041
2013-07-02;1480;438;1042
2013-07-04;1479;440;1039
2013-07-06;1485;440;1045
2013-07-08;1487;441;1046
2013-07-10;1491;441;1050
2013-07-12;1491;441;1050
2013-07-13;1492;441;1051
2013-07-16;1492;441;1051
2013-07-18;1490;441;1049
2013-07-20;1494;441;1053
2013-07-22;1495;441;1054
2013-07-24;1498;441;1057
2013-07-26;1499;441;1058
2013-07-28;1497;441;1056
2013-07-30;1497;440;1057
2013-08-01;1497;440;1057
2013-08-03;1501;440;1061
2013-08-05;1500;440;1060
2013-08-07;1501;440;1061
2013-08-09;1503;440;1063
2013-08-11;1500;440;1060
2013-08-13;1504;440;1064
2013-08-15;1505;440;1065
2013-08-17;1500;440;1060
2013-08-19;1503;439;1064
2013-08-21;1509;440;1069
2013-08-23;1509;440;1069
2013-08-25;1507;440;1067
2013-08-27;1510;440;1070
2013-08-29;1515;440;1075
2013-08-31;1514;440;1074
2013-09-02;1514;441;1073
2013-09-04;1513;441;1072
2013-09-06;1512;441;1071
2013-09-08;1516;442;1074
2013-09-10;1516;445;1071
2013-09-12;1520;445;1075
2013-09-14;1523;445;1078
2013-09-16;1526;446;1080
2013-09-18;1525;446;1079
2013-09-20;1523;446;1077
2013-09-22;1522;446;1076
2013-09-24;1522;446;1076
2013-09-26;1529;447;1082
2013-09-28;1538;448;1090
2013-09-29;1545;448;1097
2013-10-01;1548;448;1100
2013-10-03;1546;448;1098
2013-10-05;1551;448;1103
2013-10-07;1553;448;1105
2013-10-09;1553;448;1105
2013-10-11;1552;448;1104
2013-10-13;1552;448;1104
2013-10-15;1553;448;1105
2013-10-17;1554;448;1106
2013-10-19;1555;448;1107
2013-10-21;1554;448;1106
2013-10-23;1553;448;1105
2013-10-25;1554;448;1106
2013-10-27;1553;448;1105
2013-10-29;1556;448;1108
2013-10-31;1557;448;1109
2013-11-02;1557;448;1109
2013-11-04;1558;448;1110
2013-11-06;1555;448;1107
2013-11-08;1559;448;1111
2013-11-10;1559;448;1111
2013-11-12;1559;451;1108
2013-11-14;1564;451;1113
2013-11-16;1566;451;1115
2013-11-18;1567;451;1116
2013-11-20;1569;451;1118
2013-11-22;1570;451;1119
2013-11-24;1572;451;1121
2013-11-26;1573;451;1122
2013-11-28;1575;452;1123
2013-11-30;1574;452;1122
2013-12-02;1570;453;1117
2013-12-04;1573;453;1120
2013-12-06;1574;454;1120
2013-12-08;1574;454;1120
2013-12-10;1577;454;1123
2013-12-12;1578;454;1124
2013-12-14;1578;454;1124
2013-12-16;1577;454;1123
2013-12-18;1580;454;1126
2013-12-20;1581;454;1127
2013-12-22;1581;454;1127
2013-12-24;1582;454;1128
2013-12-26;1582;454;1128
2013-12-28;1581;454;1127
2013-12-30;1583;454;1129
2014-01-01;1586;454;1132
2014-01-03;1586;454;1132
2014-01-05;1585;454;1131
2014-01-07;1585;453;1132
2014-01-09;1584;453;1131
2014-01-11;1582;453;1129
2014-01-13;1582;453;1129
2014-01-15;1584;453;1131
2014-01-17;1582;453;1129
2014-01-19;1583;453;1130
2014-01-21;1583;453;1130
2014-01-23;1580;453;1127
2014-01-25;1586;453;1133
2014-01-27;1586;453;1133
2014-01-29;1587;453;1134
2014-02-01;1587;453;1134
2014-02-03;1589;453;1136
2014-02-05;1592;453;1139
2014-02-07;1597;453;1144
2014-02-09;1596;453;1143
2014-02-11;1598;453;1145
2014-02-13;1612;455;1157
2014-02-15;1617;455;1162
2014-02-17;1618;455;1163
2014-02-19;1620;455;1165
2014-02-21;1620;455;1165
2014-02-23;1615;455;1160
2014-02-25;1616;455;1161
2014-02-27;1617;455;1162
2014-03-01;1616;456;1160
2014-03-03;1615;456;1159
2014-03-05;1618;455;1163
2014-03-07;1619;455;1164
2014-03-09;1618;455;1163
2014-03-11;1618;456;1162
2014-03-13;1617;456;1161
2014-03-15;1614;456;1158
2014-03-17;1615;456;1159
2014-03-19;1616;456;1160
2014-03-21;1618;456;1162
2014-03-23;1618;456;1162
2014-03-25;1618;456;1162
2014-03-27;1620;456;1164
2014-03-29;1621;456;1165
2014-03-31;1621;456;1165
2014-04-02;1622;456;1166
2014-04-04;1623;456;1167
2014-04-06;1622;456;1166
2014-04-08;1622;456;1166
2014-04-10;1621;456;1165
2014-04-12;1623;456;1167
2014-04-14;1624;456;1168
2014-04-16;1623;456;1167
2014-04-18;1622;456;1166
2014-04-20;1625;456;1169
2014-04-22;1627;456;1171
2014-04-24;1627;456;1171
2014-04-26;1626;456;1170
2014-04-28;1626;456;1170
2014-04-30;1624;456;1168
2014-05-02;1623;456;1167
2014-05-04;1625;456;1169
