date;followers;following;fans
2013-04-17;2788;160;2628
2013-04-18;2783;159;2624
2013-04-19;2782;159;2623
2013-04-20;2786;159;2627
2013-04-21;2785;159;2626
2013-04-22;2787;159;2628
2013-04-23;2792;159;2633
2013-04-24;2793;159;2634
2013-04-25;2795;159;2636
2013-04-26;2792;159;2633
2013-04-28;2792;159;2633
2013-04-29;2792;159;2633
2013-04-30;2792;159;2633
2013-05-01;2796;159;2637
2013-05-02;2802;159;2643
2013-05-03;2805;159;2646
2013-05-04;2806;159;2647
2013-05-05;2801;159;2642
2013-05-06;2805;160;2645
2013-05-08;2807;160;2647
2013-05-09;2808;160;2648
2013-05-10;2805;160;2645
2013-05-11;2794;160;2634
2013-05-12;2792;160;2632
2013-05-13;2796;160;2636
2013-05-14;2804;160;2644
2013-05-15;2808;161;2647
2013-05-16;2811;161;2650
2013-05-18;2813;161;2652
2013-05-19;2815;160;2655
2013-05-20;2815;160;2655
2013-05-21;2819;160;2659
2013-05-22;2821;160;2661
2013-05-23;2823;160;2663
2013-05-24;2823;160;2663
2013-05-25;2826;160;2666
2013-05-26;2824;160;2664
2013-05-27;2824;160;2664
2013-05-29;2826;160;2666
2013-05-30;2827;160;2667
2013-05-31;2828;160;2668
2013-06-01;2827;160;2667
2013-06-02;2827;160;2667
2013-06-03;2826;160;2666
2013-06-04;2827;160;2667
2013-06-05;2830;161;2669
2013-06-07;2832;159;2673
2013-06-08;2832;159;2673
2013-06-09;2835;159;2676
2013-06-10;2835;159;2676
2013-06-11;2837;158;2679
2013-06-20;2847;159;2688
2013-06-21;2849;159;2690
2013-06-22;2847;159;2688
2013-06-23;2850;159;2691
2013-06-24;2849;159;2690
2013-06-26;2851;160;2691
2013-06-27;2850;160;2690
2013-06-28;2853;160;2693
2013-06-29;2853;160;2693
2013-06-30;2855;160;2695
2013-07-01;2857;160;2697
2013-07-02;2860;160;2700
2013-07-03;2860;160;2700
2013-07-05;2860;160;2700
2013-07-06;2862;160;2702
2013-07-07;2860;160;2700
2013-07-08;2862;160;2702
2013-07-09;2859;160;2699
2013-07-10;2857;160;2697
2013-07-11;2856;160;2696
2013-07-12;2859;160;2699
2013-07-13;2859;160;2699
2013-07-15;2859;160;2699
2013-07-16;2864;160;2704
2013-07-17;2866;160;2706
2013-07-18;2866;160;2706
2013-07-19;2868;160;2708
2013-07-20;2869;160;2709
2013-07-21;2869;160;2709
2013-07-22;2872;160;2712
2013-07-24;2873;160;2713
2013-07-25;2871;160;2711
2013-07-26;2873;160;2713
