date;followers;following;fans
2013-04-18;3607;1123;2484
2013-04-20;3611;1125;2486
2013-04-22;3610;1125;2485
2013-04-24;3621;1126;2495
2013-04-26;3626;1126;2500
2013-04-27;3627;1125;2502
2013-04-28;3627;1125;2502
2013-04-29;3631;1125;2506
2013-04-30;3630;1125;2505
2013-05-01;3636;1126;2510
2013-05-02;3636;1126;2510
2013-05-03;3639;1126;2513
2013-05-04;3643;1125;2518
2013-05-05;3643;1126;2517
2013-05-07;3644;1126;2518
2013-05-08;3643;1125;2518
2013-05-09;3650;1127;2523
2013-05-10;3651;1127;2524
2013-05-11;3645;1127;2518
2013-05-12;3644;1127;2517
2013-05-13;3646;1127;2519
2013-05-14;3656;1127;2529
2013-05-15;3658;1127;2531
2013-05-17;3663;1129;2534
2013-05-18;3669;1130;2539
2013-05-19;3671;1130;2541
2013-05-20;3671;1130;2541
2013-05-21;3670;1130;2540
2013-05-22;3674;1130;2544
2013-05-23;3678;1131;2547
2013-05-24;3676;1131;2545
2013-05-25;3676;1134;2542
2013-05-27;3677;1134;2543
2013-05-28;3675;1135;2540
2013-05-29;3681;1135;2546
2013-05-30;3680;1134;2546
2013-05-31;3684;1135;2549
2013-06-01;3690;1136;2554
2013-06-02;3692;1136;2556
2013-06-03;3694;1136;2558
2013-06-04;3699;1136;2563
2013-06-06;3699;1135;2564
2013-06-07;3704;1135;2569
2013-06-08;3707;1136;2571
2013-06-09;3709;1136;2573
2013-06-10;3712;1136;2576
2013-06-11;3712;1136;2576
2013-06-20;3733;1142;2591
2013-06-21;3732;1142;2590
2013-06-22;3732;1142;2590
2013-06-23;3728;1143;2585
2013-06-24;3734;1145;2589
2013-06-26;3737;1145;2592
2013-06-27;3737;1145;2592
2013-06-28;3740;1145;2595
2013-06-29;3743;1145;2598
2013-06-30;3743;1145;2598
2013-07-01;3745;1145;2600
2013-07-02;3744;1146;2598
2013-07-04;3746;1146;2600
2013-07-05;3748;1147;2601
2013-07-06;3753;1147;2606
2013-07-07;3752;1147;2605
2013-07-08;3753;1147;2606
2013-07-09;3753;1147;2606
2013-07-10;3756;1147;2609
2013-07-11;3760;1148;2612
2013-07-13;3757;1149;2608
2013-07-14;3756;1149;2607
2013-07-15;3758;1149;2609
2013-07-16;3756;1150;2606
2013-07-17;3757;1150;2607
2013-07-18;3761;1150;2611
2013-07-19;3764;1150;2614
2013-07-20;3766;1151;2615
2013-07-21;3770;1151;2619
2013-07-23;3770;1151;2619
2013-07-24;3774;1151;2623
2013-07-25;3775;1151;2624
2013-07-26;3776;1151;2625
2013-07-27;3775;1151;2624
2013-07-28;3773;1151;2622
2013-07-29;3771;1151;2620
2013-07-31;3776;1152;2624
2013-08-01;3776;1153;2623
2013-08-02;3779;1153;2626
2013-08-03;3781;1155;2626
2013-08-04;3781;1155;2626
2013-08-05;3782;1155;2627
2013-08-06;3785;1155;2630
2013-08-07;3791;1156;2635
2013-08-09;3790;1156;2634
2013-08-10;3791;1155;2636
