date;followers;following;fans
2013-04-17;2775;590;2185
2013-04-19;2769;590;2179
2013-04-22;2770;591;2179
2013-04-24;2765;591;2174
2013-04-26;2766;591;2175
2013-04-28;2769;589;2180
2013-04-30;2771;591;2180
2013-05-02;2774;590;2184
2013-05-03;2776;590;2186
2013-05-05;2776;589;2187
2013-05-07;2778;589;2189
2013-05-09;2785;591;2194
2013-05-11;2781;590;2191
2013-05-13;2782;588;2194
2013-05-16;2786;587;2199
2013-05-17;2792;587;2205
2013-05-20;2790;588;2202
2013-05-22;2790;588;2202
2013-05-23;2791;588;2203
2013-05-26;2788;588;2200
2013-05-28;2787;588;2199
2013-05-30;2797;588;2209
2013-06-01;2797;586;2211
2013-06-03;2792;587;2205
2013-06-05;2798;586;2212
2013-06-06;2799;588;2211
2013-06-09;2800;588;2212
2013-06-11;2795;587;2208
2013-06-20;2791;591;2200
2013-06-22;2789;591;2198
2013-06-24;2790;591;2199
2013-06-26;2793;594;2199
2013-06-28;2790;591;2199
2013-06-30;2788;593;2195
2013-07-02;2792;592;2200
2013-07-04;2793;590;2203
2013-07-06;2789;590;2199
2013-07-08;2790;590;2200
2013-07-10;2787;590;2197
2013-07-12;2787;589;2198
2013-07-14;2781;589;2192
2013-07-16;2777;590;2187
2013-07-18;2779;590;2189
2013-07-20;2780;590;2190
2013-07-22;2782;591;2191
2013-07-24;2776;590;2186
2013-07-26;2776;588;2188
2013-07-28;2761;589;2172
2013-07-30;2762;588;2174
2013-08-01;2760;589;2171
2013-08-03;2758;588;2170
2013-08-05;2760;588;2172
2013-08-07;2765;586;2179
2013-08-09;2763;586;2177
2013-08-11;2766;587;2179
2013-08-13;2761;588;2173
2013-08-15;2758;588;2170
2013-08-17;2761;587;2174
2013-08-19;2765;588;2177
2013-08-21;2768;589;2179
2013-08-23;2767;590;2177
2013-08-25;2767;588;2179
2013-08-27;2767;586;2181
2013-08-29;2768;587;2181
2013-08-31;2767;582;2185
2013-09-02;2768;579;2189
2013-09-04;2769;579;2190
2013-09-06;2768;579;2189
2013-09-08;2762;575;2187
2013-09-10;2763;576;2187
2013-09-12;2763;576;2187
2013-09-14;2763;575;2188
2013-09-16;2767;576;2191
2013-09-18;2769;574;2195
2013-09-20;2764;573;2191
2013-09-22;2766;572;2194
2013-09-24;2765;570;2195
2013-09-26;2761;571;2190
2013-09-28;2763;571;2192
2013-09-29;2760;571;2189
2013-10-02;2757;570;2187
2013-10-04;2758;571;2187
2013-10-06;2754;571;2183
2013-10-08;2754;572;2182
2013-10-10;2751;570;2181
2013-10-12;2749;569;2180
2013-10-14;2747;568;2179
2013-10-16;2746;568;2178
2013-10-18;2745;568;2177
2013-10-20;2747;567;2180
2013-10-22;2749;567;2182
2013-10-24;2749;566;2183
2013-10-26;2746;566;2180
2013-10-28;2741;566;2175
2013-10-30;2740;566;2174
2013-10-31;2739;566;2173
2013-11-02;2738;567;2171
2013-11-04;2741;566;2175
2013-11-07;2738;564;2174
2013-11-09;2742;565;2177
2013-11-10;2737;562;2175
2013-11-12;2734;563;2171
2013-11-15;2729;561;2168
2013-11-17;2727;562;2165
2013-11-19;2728;561;2167
2013-11-21;2723;560;2163
2013-11-23;2727;560;2167
2013-11-25;2715;560;2155
2013-11-27;2715;560;2155
2013-11-29;2713;559;2154
2013-12-01;2711;560;2151
2013-12-03;2707;559;2148
2013-12-05;2707;561;2146
2013-12-06;2709;565;2144
2013-12-08;2711;565;2146
2013-12-11;2713;567;2146
2013-12-13;2716;567;2149
2013-12-15;2715;567;2148
2013-12-17;2718;566;2152
2013-12-19;2719;567;2152
2013-12-21;2719;567;2152
2013-12-23;2719;567;2152
2013-12-24;2713;566;2147
2013-12-27;2714;566;2148
2013-12-29;2714;567;2147
2013-12-31;2709;565;2144
2014-01-02;2710;564;2146
2014-01-04;2708;565;2143
2014-01-06;2705;566;2139
2014-01-08;2709;565;2144
2014-01-10;2707;566;2141
2014-01-12;2705;566;2139
2014-01-14;2706;567;2139
2014-01-16;2707;566;2141
2014-01-18;2704;566;2138
2014-01-20;2705;566;2139
2014-01-22;2703;566;2137
2014-01-24;2704;565;2139
2014-01-26;2702;566;2136
2014-01-28;2702;565;2137
2014-01-30;2703;565;2138
2014-02-01;2701;565;2136
2014-02-03;2701;567;2134
2014-02-05;2697;563;2134
2014-02-07;2693;565;2128
2014-02-09;2694;565;2129
2014-02-11;2687;565;2122
2014-02-13;2685;567;2118
2014-02-15;2685;568;2117
2014-02-17;2689;569;2120
2014-02-19;2687;570;2117
2014-02-21;2686;570;2116
2014-02-23;2685;569;2116
2014-02-25;2686;569;2117
2014-02-27;2684;570;2114
2014-03-01;2683;570;2113
2014-03-03;2678;569;2109
2014-03-05;2680;571;2109
2014-03-07;2680;571;2109
2014-03-09;2683;572;2111
2014-03-11;2686;573;2113
2014-03-13;2684;574;2110
2014-03-15;2681;574;2107
2014-03-17;2681;575;2106
2014-03-19;2682;574;2108
2014-03-21;2683;574;2109
2014-03-23;2679;576;2103
2014-03-25;2674;577;2097
2014-03-27;2675;578;2097
2014-03-29;2673;578;2095
2014-03-31;2675;578;2097
2014-04-02;2673;578;2095
2014-04-04;2674;577;2097
2014-04-06;2671;578;2093
2014-04-08;2672;579;2093
2014-04-10;2669;578;2091
2014-04-12;2674;578;2096
2014-04-14;2678;578;2100
2014-04-16;2678;578;2100
2014-04-18;2676;577;2099
2014-04-20;2684;579;2105
2014-04-22;2681;581;2100
2014-04-24;2683;583;2100
2014-04-26;2683;584;2099
2014-04-28;2686;584;2102
2014-04-30;2683;584;2099
2014-05-02;2680;583;2097
2014-05-04;2676;583;2093
