date;followers;following;fans
2014-01-15;1596;15;1581
2014-01-17;1893;15;1878
2014-01-19;2019;15;2004
2014-01-21;2141;15;2126
2014-01-23;2208;15;2193
2014-01-25;2288;15;2273
2014-01-26;2430;15;2415
2014-01-29;2576;15;2561
2014-01-31;2612;15;2597
2014-02-01;2682;15;2667
2014-02-02;2732;15;2717
2014-02-04;2816;15;2801
2014-02-05;2855;15;2840
2014-02-06;2895;15;2880
2014-02-07;2967;15;2952
2014-02-09;3021;15;3006
2014-02-10;3066;15;3051
2014-02-11;3122;15;3107
2014-02-13;3166;15;3151
2014-02-14;3220;15;3205
2014-02-15;3288;15;3273
2014-02-17;3388;15;3373
2014-02-18;3427;15;3412
2014-02-19;3456;15;3441
2014-02-20;3529;15;3514
2014-02-22;3610;15;3595
2014-02-23;3662;15;3647
2014-02-24;3730;15;3715
2014-02-26;3777;15;3762
2014-02-27;3824;15;3809
2014-02-28;3903;15;3888
2014-03-02;3965;15;3950
2014-03-03;4018;15;4003
2014-03-05;4107;15;4092
2014-03-06;4153;15;4138
2014-03-07;4172;15;4157
2014-03-08;4318;15;4303
2014-03-10;4398;15;4383
2014-03-11;4450;15;4435
2014-03-13;4480;15;4465
2014-03-14;4547;15;4532
2014-03-15;4671;16;4655
2014-03-17;4735;16;4719
2014-03-18;4769;16;4753
2014-03-20;4835;16;4819
2014-03-21;4857;16;4841
2014-03-22;4927;16;4911
2014-03-23;5012;16;4996
2014-03-25;5073;9;5064
2014-03-26;5113;9;5104
2014-03-27;5141;9;5132
2014-03-28;5162;9;5153
2014-03-29;5207;9;5198
2014-03-30;5231;9;5222
2014-03-31;5278;9;5269
2014-04-01;5304;12;5292
2014-04-02;5325;12;5313
2014-04-03;5348;13;5335
2014-04-04;5377;13;5364
2014-04-05;5422;16;5406
2014-04-06;5446;16;5430
2014-04-07;5484;19;5465
2014-04-08;5531;19;5512
2014-04-09;5563;19;5544
2014-04-10;5600;19;5581
2014-04-11;5627;19;5608
2014-04-12;5688;19;5669
2014-04-13;5732;19;5713
2014-04-14;5770;19;5751
2014-04-15;5802;20;5782
2014-04-16;5834;22;5812
2014-04-17;5875;26;5849
2014-04-18;5919;29;5890
2014-04-19;5993;31;5962
2014-04-20;6011;31;5980
2014-04-21;6042;32;6010
2014-04-22;6169;33;6136
2014-04-23;6251;33;6218
2014-04-24;6333;36;6297
2014-04-25;6416;36;6380
2014-04-26;6514;36;6478
2014-04-27;6581;36;6545
2014-04-28;6675;36;6639
2014-04-29;6724;36;6688
2014-04-30;6794;36;6758
2014-05-01;6832;36;6796
2014-05-02;6900;36;6864
2014-05-03;7021;36;6985
2014-05-04;7108;36;7072
2014-05-05;7235;36;7199
