date;followers;following;fans
2013-12-16;2207;1205;1002
2013-12-18;2209;1208;1001
2013-12-20;2211;1208;1003
2013-12-22;2211;1206;1005
2013-12-24;2216;1214;1002
2013-12-26;2218;1214;1004
2013-12-28;2220;1216;1004
2013-12-30;2227;1215;1012
2014-01-01;2231;1215;1016
2014-01-03;2230;1216;1014
2014-01-05;2234;1216;1018
2014-02-03;2314;1314;1000
2014-02-05;2323;1314;1009
2014-02-07;2325;1314;1011
2014-02-09;2325;1314;1011
2014-02-11;2330;1314;1016
2014-02-13;2340;1314;1026
2014-02-15;2346;1313;1033
2014-02-17;2350;1313;1037
2014-02-19;2354;1313;1041
2014-02-21;2356;1313;1043
2014-02-23;2364;1313;1051
2014-02-25;2368;1313;1055
2014-02-27;2378;1313;1065
2014-03-01;2384;1313;1071
2014-03-03;2387;1312;1075
2014-03-05;2392;1313;1079
2014-03-07;2394;1314;1080
2014-03-09;2400;1314;1086
2014-03-11;2399;1315;1084
2014-03-13;2410;1315;1095
2014-03-15;2420;1316;1104
2014-03-17;2420;1314;1106
2014-03-19;2425;1314;1111
2014-03-21;2436;1314;1122
2014-03-23;2436;1315;1121
2014-03-25;2440;1315;1125
2014-03-27;2442;1320;1122
2014-03-29;2457;1348;1109
2014-03-31;2459;1348;1111
2014-04-02;2467;1348;1119
2014-04-04;2474;1348;1126
2014-04-06;2478;1350;1128
2014-04-08;2488;1350;1138
2014-04-11;2498;1350;1148
2014-04-13;2508;1357;1151
2014-04-15;2509;1358;1151
2014-04-17;2515;1358;1157
2014-04-19;2521;1358;1163
2014-04-21;2522;1360;1162
2014-04-23;2526;1360;1166
2014-04-25;2528;1360;1168
2014-04-27;2531;1361;1170
2014-04-29;2539;1364;1175
2014-05-01;2548;1364;1184
2014-05-03;2553;1367;1186
2014-05-05;2553;1367;1186
