date;followers;following;fans
2013-04-18;4264;1994;2270
2013-04-20;4284;1994;2290
2013-04-22;4293;1993;2300
2013-04-24;4301;1993;2308
2013-04-26;4308;1993;2315
2013-04-28;4310;1993;2317
2013-04-30;4312;1993;2319
2013-05-02;4320;1993;2327
2013-05-04;4326;1992;2334
2013-05-06;4325;1992;2333
2013-05-08;4340;1991;2349
2013-05-10;4346;1991;2355
2013-05-12;4320;1976;2344
2013-05-14;4338;1979;2359
2013-05-16;4360;1983;2377
2013-05-18;4372;1989;2383
2013-05-20;4381;1989;2392
2013-05-22;4390;1989;2401
2013-05-24;4403;1989;2414
2013-05-26;4409;1989;2420
2013-05-28;4414;1989;2425
2013-05-30;4420;1989;2431
2013-06-01;4426;1989;2437
2013-06-03;4429;1988;2441
2013-06-05;4439;1988;2451
2013-06-07;4450;1988;2462
2013-06-09;4459;1988;2471
2013-06-11;4466;1988;2478
2013-06-20;4505;1986;2519
2013-06-21;4505;1986;2519
2013-06-22;4509;1986;2523
2013-06-23;4515;1986;2529
2013-06-25;4516;1986;2530
2013-06-26;4522;1986;2536
2013-06-27;4527;1986;2541
2013-06-28;4536;1987;2549
2013-06-29;4539;1987;2552
2013-06-30;4541;1987;2554
2013-07-01;4544;1987;2557
2013-07-02;4544;1987;2557
2013-07-04;4545;1988;2557
2013-07-05;4543;1988;2555
2013-07-06;4550;1988;2562
2013-07-07;4550;1988;2562
2013-07-08;4550;1987;2563
2013-07-09;4553;1987;2566
2013-07-10;4556;1987;2569
2013-07-11;4571;1987;2584
2013-07-13;4574;1986;2588
2013-07-14;4574;1986;2588
2013-07-15;4577;1985;2592
2013-07-16;4579;1985;2594
2013-07-17;4583;1985;2598
2013-07-18;4587;1985;2602
2013-07-19;4596;1985;2611
2013-07-20;4599;1985;2614
2013-07-22;4597;1985;2612
2013-07-23;4597;1985;2612
2013-07-24;4598;1985;2613
2013-07-25;4599;1985;2614
2013-07-26;4607;1985;2622
2013-07-27;4604;1984;2620
2013-07-28;4604;1983;2621
2013-07-30;4610;1982;2628
2013-07-31;4608;1982;2626
2013-08-01;4613;1982;2631
2013-08-02;4614;1982;2632
2013-08-03;4617;1982;2635
2013-08-04;4622;1982;2640
2013-08-05;4626;1982;2644
2013-08-06;4639;1982;2657
2013-08-08;4646;1982;2664
2013-08-09;4651;1982;2669
2013-08-10;4653;1981;2672
2013-08-11;4657;1981;2676
2013-08-12;4660;1981;2679
2013-08-13;4662;1981;2681
2013-08-14;4668;1981;2687
2013-08-16;4675;1981;2694
2013-08-17;4683;1981;2702
2013-08-18;4684;1981;2703
2013-08-19;4688;1981;2707
2013-08-20;4692;1981;2711
2013-08-21;4701;1981;2720
2013-08-23;4703;1981;2722
