date;followers;following;fans
2013-04-18;2719;489;2230
2013-04-20;2723;489;2234
2013-04-22;2724;489;2235
2013-04-24;2729;490;2239
2013-04-26;2733;490;2243
2013-04-28;2739;490;2249
2013-04-30;2752;490;2262
2013-05-02;2759;489;2270
2013-05-04;2763;493;2270
2013-05-06;2773;493;2280
2013-05-08;2788;493;2295
2013-05-10;2789;492;2297
2013-05-12;2793;492;2301
2013-05-14;2804;493;2311
2013-05-16;2809;493;2316
2013-05-18;2816;493;2323
2013-05-20;2819;493;2326
2013-05-22;2825;493;2332
2013-05-24;2827;494;2333
2013-05-26;2834;494;2340
2013-05-28;2842;494;2348
2013-05-30;2849;495;2354
2013-06-01;2859;495;2364
2013-06-03;2862;497;2365
2013-06-05;2868;498;2370
2013-06-07;2869;498;2371
2013-06-09;2877;497;2380
2013-06-11;2883;497;2386
2013-06-20;2916;500;2416
2013-06-22;2919;500;2419
2013-06-24;2926;518;2408
2013-06-26;2935;518;2417
2013-06-28;2945;518;2427
2013-06-30;2952;518;2434
2013-07-02;2958;518;2440
2013-07-04;2966;518;2448
2013-07-06;2975;518;2457
2013-07-08;2979;518;2461
2013-07-10;2986;518;2468
2013-07-12;2992;518;2474
2013-07-14;2996;517;2479
2013-07-16;3002;519;2483
2013-07-18;3011;519;2492
2013-07-20;3024;519;2505
2013-07-21;3027;519;2508
2013-07-22;3031;519;2512
2013-07-23;3033;519;2514
2013-07-24;3037;519;2518
2013-07-25;3035;519;2516
2013-07-26;3036;519;2517
2013-07-28;3040;519;2521
2013-07-29;3045;518;2527
2013-07-30;3047;518;2529
2013-07-31;3049;518;2531
2013-08-01;3050;518;2532
2013-08-02;3051;518;2533
2013-08-03;3053;518;2535
2013-08-04;3052;518;2534
2013-08-06;3055;518;2537
2013-08-07;3055;518;2537
2013-08-08;3058;518;2540
2013-08-09;3057;518;2539
2013-08-10;3060;518;2542
2013-08-11;3063;518;2545
2013-08-12;3066;518;2548
2013-08-13;3072;518;2554
2013-08-15;3073;518;2555
2013-08-16;3075;518;2557
2013-08-17;3078;518;2560
2013-08-18;3078;518;2560
2013-08-19;3083;518;2565
2013-08-20;3090;518;2572
2013-08-22;3095;518;2577
2013-08-23;3095;518;2577
2013-08-24;3094;518;2576
2013-08-25;3095;518;2577
2013-08-26;3098;518;2580
2013-08-27;3105;518;2587
2013-08-29;3106;518;2588
2013-08-30;3108;518;2590
2013-08-31;3113;518;2595
2013-09-01;3113;518;2595
2013-09-02;3114;518;2596
2013-09-03;3117;518;2599
2013-09-04;3122;518;2604
2013-09-06;3123;518;2605
2013-09-07;3119;518;2601
2013-09-08;3121;519;2602
2013-09-09;3124;520;2604
2013-09-10;3129;520;2609
2013-09-11;3132;520;2612
2013-09-13;3138;520;2618
2013-09-14;3144;520;2624
2013-09-15;3145;520;2625
2013-09-16;3146;520;2626
2013-09-17;3147;520;2627
2013-09-18;3149;520;2629
2013-09-20;3158;520;2638
2013-09-21;3158;520;2638
2013-09-22;3161;520;2641
2013-09-23;3163;520;2643
2013-09-24;3167;520;2647
2013-09-25;3172;524;2648
2013-09-27;3174;524;2650
2013-09-28;3177;524;2653
2013-09-29;3178;524;2654
2013-09-30;3179;524;2655
2013-10-01;3176;524;2652
2013-10-02;3179;524;2655
2013-10-04;3181;524;2657
2013-10-05;3181;524;2657
2013-10-06;3183;524;2659
2013-10-07;3186;525;2661
2013-10-09;3193;525;2668
2013-10-10;3199;524;2675
2013-10-11;3200;524;2676
2013-10-12;3203;524;2679
2013-10-13;3203;524;2679
2013-10-15;3207;524;2683
2013-10-16;3214;525;2689
2013-10-17;3223;525;2698
2013-10-18;3226;525;2701
2013-10-19;3230;525;2705
2013-10-21;3231;524;2707
2013-10-22;3234;524;2710
2013-10-23;3240;524;2716
2013-10-24;3251;523;2728
2013-10-25;3256;527;2729
2013-10-27;3255;530;2725
2013-10-28;3259;530;2729
2013-10-29;3261;536;2725
2013-10-30;3262;543;2719
2013-10-31;3267;544;2723
2013-11-01;3264;544;2720
2013-11-03;3266;544;2722
2013-11-04;3268;544;2724
2013-11-05;3273;545;2728
2013-11-06;3278;545;2733
2013-11-07;3289;544;2745
2013-11-09;3293;544;2749
2013-11-10;3292;546;2746
2013-11-11;3293;546;2747
2013-11-12;3297;547;2750
2013-11-14;3296;548;2748
2013-11-15;3295;548;2747
2013-11-16;3304;549;2755
2013-11-17;3304;549;2755
2013-11-19;3308;549;2759
2013-11-20;3309;549;2760
2013-11-21;3313;549;2764
2013-11-22;3320;554;2766
2013-11-24;3320;554;2766
2013-11-25;3324;554;2770
2013-11-26;3329;554;2775
2013-11-27;3327;554;2773
2013-11-29;3332;554;2778
2013-11-30;3332;554;2778
2013-12-01;3340;554;2786
2013-12-02;3342;554;2788
2013-12-03;3341;554;2787
2013-12-05;3343;554;2789
2013-12-06;3346;554;2792
2013-12-07;3349;554;2795
2013-12-08;3350;554;2796
2013-12-10;3351;558;2793
2013-12-11;3359;559;2800
2013-12-12;3359;559;2800
2013-12-13;3364;560;2804
2013-12-15;3361;560;2801
2013-12-16;3368;560;2808
2013-12-17;3368;560;2808
2013-12-18;3363;560;2803
2013-12-20;3369;560;2809
2013-12-21;3370;560;2810
2013-12-22;3370;560;2810
2013-12-23;3371;560;2811
2013-12-25;3373;560;2813
2013-12-26;3377;560;2817
2013-12-27;3377;560;2817
2013-12-28;3377;560;2817
2013-12-30;3380;560;2820
2013-12-31;3382;560;2822
2014-01-01;3382;560;2822
2014-01-02;3384;560;2824
2014-01-04;3383;559;2824
2014-01-05;3386;559;2827
2014-01-06;3384;559;2825
2014-01-08;3382;560;2822
2014-01-09;3383;560;2823
2014-01-10;3391;560;2831
2014-01-12;3396;561;2835
2014-01-13;3397;562;2835
2014-01-14;3401;562;2839
2014-01-15;3411;563;2848
2014-01-17;3415;565;2850
2014-01-18;3425;566;2859
2014-01-19;3427;566;2861
2014-01-21;3436;566;2870
2014-01-22;3440;566;2874
2014-01-23;3443;566;2877
2014-01-24;3441;568;2873
2014-01-26;3444;568;2876
2014-01-27;3445;568;2877
2014-01-28;3447;568;2879
2014-01-30;3453;568;2885
2014-01-31;3451;568;2883
2014-02-01;3454;567;2887
2014-02-03;3463;567;2896
2014-02-04;3468;567;2901
2014-02-05;3476;567;2909
2014-02-07;3481;576;2905
2014-02-08;3482;576;2906
2014-02-09;3483;576;2907
2014-02-10;3489;576;2913
2014-02-12;3490;576;2914
2014-02-13;3493;576;2917
2014-02-14;3493;577;2916
2014-02-16;3499;590;2909
2014-02-17;3504;591;2913
2014-02-18;3511;592;2919
2014-02-20;3512;592;2920
2014-02-21;3516;592;2924
2014-02-23;3521;592;2929
2014-02-24;3522;592;2930
2014-02-25;3525;592;2933
2014-02-26;3528;592;2936
2014-02-28;3527;592;2935
2014-03-01;3528;593;2935
2014-03-03;3529;593;2936
2014-03-04;3533;593;2940
2014-03-05;3532;593;2939
2014-03-06;3537;593;2944
2014-03-08;3537;593;2944
2014-03-09;3538;594;2944
2014-03-11;3550;594;2956
2014-03-12;3555;594;2961
2014-03-13;3558;594;2964
2014-03-14;3558;594;2964
2014-03-16;3559;594;2965
2014-03-17;3560;594;2966
2014-03-19;3570;595;2975
2014-03-20;3571;595;2976
2014-03-21;3574;595;2979
2014-03-22;3576;595;2981
2014-03-24;3578;597;2981
2014-03-25;3583;597;2986
2014-03-27;3594;597;2997
2014-03-28;3597;597;3000
2014-03-29;3604;597;3007
2014-03-31;3614;600;3014
2014-04-01;3622;601;3021
2014-04-02;3629;602;3027
2014-04-04;3633;602;3031
2014-04-05;3640;602;3038
2014-04-06;3638;602;3036
2014-04-08;3639;602;3037
2014-04-09;3641;602;3039
2014-04-10;3645;603;3042
2014-04-12;3649;603;3046
2014-04-13;3649;603;3046
2014-04-15;3652;603;3049
2014-04-16;3651;603;3048
2014-04-18;3655;603;3052
2014-04-19;3660;603;3057
2014-04-20;3665;603;3062
2014-04-22;3668;603;3065
2014-04-23;3672;603;3069
2014-04-24;3679;603;3076
2014-04-26;3680;605;3075
2014-04-27;3683;605;3078
2014-04-28;3685;605;3080
2014-04-30;3686;605;3081
2014-05-01;3687;605;3082
2014-05-02;3690;605;3085
2014-05-04;3695;605;3090
2014-05-05;3695;605;3090
