date;followers;following;fans
2014-02-07;3144;637;2507
2014-02-09;3144;637;2507
2014-02-10;3144;637;2507
2014-02-11;3147;637;2510
2014-02-12;3151;639;2512
2014-02-14;3155;639;2516
2014-02-15;3157;639;2518
2014-02-16;3156;639;2517
2014-02-17;3158;639;2519
2014-02-19;3159;638;2521
2014-02-20;3158;637;2521
2014-02-22;3158;637;2521
2014-02-23;3159;637;2522
2014-02-24;3160;637;2523
2014-02-26;3161;637;2524
2014-02-27;3160;637;2523
2014-02-28;3162;637;2525
2014-03-02;3162;637;2525
2014-03-03;3163;637;2526
2014-03-04;3167;636;2531
2014-03-06;3167;636;2531
2014-03-07;3168;636;2532
2014-03-08;3168;636;2532
2014-03-10;3170;636;2534
2014-03-11;3171;636;2535
2014-03-13;3171;637;2534
2014-03-14;3170;637;2533
2014-03-15;3171;637;2534
2014-03-17;3172;637;2535
2014-03-18;3172;637;2535
2014-03-19;3176;631;2545
2014-03-20;3178;631;2547
2014-03-22;3177;631;2546
2014-03-23;3177;632;2545
2014-03-25;3179;632;2547
2014-03-26;3179;632;2547
2014-03-27;3178;632;2546
2014-03-29;3181;632;2549
2014-03-30;3182;632;2550
2014-03-31;3183;633;2550
2014-04-02;3183;633;2550
2014-04-03;3184;633;2551
2014-04-04;3185;633;2552
2014-04-06;3188;633;2555
2014-04-07;3188;633;2555
2014-04-09;3188;632;2556
2014-04-10;3188;632;2556
2014-04-12;3197;632;2565
2014-04-13;3196;632;2564
2014-04-14;3197;632;2565
2014-04-16;3197;633;2564
2014-04-17;3198;633;2565
2014-04-18;3200;633;2567
2014-04-20;3200;634;2566
2014-04-21;3200;634;2566
2014-04-22;3200;635;2565
2014-04-24;3204;636;2568
2014-04-25;3204;637;2567
2014-04-26;3204;637;2567
2014-04-28;3207;638;2569
2014-04-29;3208;638;2570
2014-04-30;3207;638;2569
2014-05-02;3209;638;2571
2014-05-03;3210;638;2572
2014-05-04;3210;638;2572
2014-05-06;3211;638;2573
