date;followers;following;fans
2013-04-17;20607;22;20585
2013-04-18;20612;22;20590
2013-04-19;20617;22;20595
2013-04-20;20629;22;20607
2013-04-21;20633;22;20611
2013-04-22;20640;22;20618
2013-04-23;20642;22;20620
2013-04-24;20649;22;20627
2013-04-25;20657;22;20635
2013-04-26;20668;22;20646
2013-04-27;20667;22;20645
2013-04-28;20669;22;20647
2013-04-29;20675;22;20653
2013-04-30;20681;22;20659
2013-05-01;20694;22;20672
2013-05-02;20706;22;20684
2013-05-03;20721;22;20699
2013-05-04;20728;22;20706
2013-05-05;20733;22;20711
2013-05-06;20742;22;20720
2013-05-07;20746;22;20724
2013-05-08;20782;22;20760
2013-05-09;20794;22;20772
2013-05-10;20799;22;20777
2013-05-11;20761;22;20739
2013-05-12;20767;22;20745
2013-05-13;20771;22;20749
2013-05-14;20790;22;20768
2013-05-15;20815;22;20793
2013-05-16;20832;22;20810
2013-05-17;20854;22;20832
2013-05-18;20868;22;20846
2013-05-19;20878;22;20856
2013-05-20;20881;22;20859
2013-05-21;20885;22;20863
2013-05-22;20897;22;20875
2013-05-23;20904;22;20882
2013-05-24;20913;22;20891
2013-05-25;20917;22;20895
2013-05-26;20921;22;20899
2013-05-27;20931;22;20909
2013-05-28;20941;22;20919
2013-05-29;20947;22;20925
2013-05-30;20945;22;20923
2013-05-31;20957;22;20935
2013-06-01;20966;22;20944
2013-06-02;20971;22;20949
2013-06-03;20978;22;20956
2013-06-04;20986;22;20964
2013-06-05;20984;22;20962
2013-06-06;20993;22;20971
2013-06-07;21005;22;20983
2013-06-08;21009;22;20987
2013-06-09;21010;22;20988
2013-06-10;21019;22;20997
2013-06-11;21025;22;21003
2013-06-20;21086;22;21064
2013-06-21;21084;22;21062
2013-06-22;21103;22;21081
2013-06-23;21111;22;21089
2013-06-24;21116;22;21094
2013-06-25;21119;22;21097
2013-06-26;21130;22;21108
2013-06-27;21139;22;21117
2013-06-28;21148;22;21126
2013-06-29;21160;22;21138
2013-06-30;21161;22;21139
2013-07-01;21162;22;21140
