date;followers;following;fans
2013-04-18;6804;697;6107
2013-04-20;6816;696;6120
2013-04-21;6813;697;6116
2013-04-22;6817;697;6120
2013-04-23;6816;697;6119
2013-04-25;6813;701;6112
2013-04-26;6812;703;6109
2013-04-27;6815;703;6112
2013-04-28;6814;705;6109
2013-04-29;6815;705;6110
2013-05-01;6812;705;6107
2013-05-02;6811;709;6102
2013-05-03;6809;708;6101
2013-05-04;6817;708;6109
2013-05-05;6817;708;6109
2013-05-06;6815;707;6108
2013-05-07;6816;707;6109
2013-05-08;6814;707;6107
2013-05-09;6818;708;6110
2013-05-11;6811;706;6105
2013-05-12;6812;706;6106
2013-05-13;6810;707;6103
2013-05-14;6816;707;6109
2013-05-15;6821;706;6115
2013-05-16;6822;706;6116
2013-05-17;6820;707;6113
2013-05-19;6827;708;6119
2013-05-20;6827;707;6120
2013-05-21;6825;706;6119
2013-05-22;6826;706;6120
2013-05-23;6827;709;6118
2013-05-24;6826;709;6117
2013-05-25;6826;710;6116
2013-05-26;6830;711;6119
2013-05-27;6826;712;6114
2013-05-28;6826;713;6113
2013-05-30;6828;709;6119
2013-05-31;6832;708;6124
2013-06-01;6828;707;6121
2013-06-02;6828;707;6121
2013-06-03;6829;709;6120
2013-06-04;6832;710;6122
2013-06-05;6830;711;6119
2013-06-06;6835;711;6124
2013-06-08;6835;712;6123
2013-06-09;6838;713;6125
2013-06-10;6843;714;6129
2013-06-11;6839;714;6125
2013-06-20;6843;717;6126
2013-06-21;6840;717;6123
2013-06-22;6840;717;6123
2013-06-24;6835;716;6119
2013-06-25;6831;715;6116
2013-06-26;6832;714;6118
2013-06-27;6828;713;6115
2013-06-28;6827;713;6114
2013-06-30;6827;714;6113
2013-07-02;6829;716;6113
2013-07-04;6825;715;6110
2013-07-06;6832;723;6109
2013-07-07;6837;725;6112
2013-07-08;6830;725;6105
2013-07-09;6831;714;6117
2013-07-10;6834;715;6119
2013-07-12;6836;714;6122
2013-07-13;6839;713;6126
2013-07-14;6837;714;6123
2013-07-15;6838;713;6125
2013-07-16;6836;713;6123
2013-07-17;6835;713;6122
2013-07-18;6830;714;6116
2013-07-19;6831;714;6117
2013-07-20;6834;714;6120
2013-07-21;6835;717;6118
2013-07-22;6836;717;6119
2013-07-23;6837;717;6120
2013-07-24;6840;719;6121
2013-07-25;6837;718;6119
2013-07-26;6836;717;6119
2013-07-27;6839;721;6118
2013-07-28;6844;727;6117
2013-07-29;6850;730;6120
2013-07-30;6851;730;6121
2013-07-31;6849;730;6119
2013-08-01;6852;731;6121
2013-08-03;6855;733;6122
2013-08-05;6861;734;6127
2013-08-06;6861;735;6126
2013-08-07;6869;734;6135
2013-08-08;6871;736;6135
2013-08-09;6869;736;6133
2013-08-10;6866;736;6130
2013-08-11;6866;738;6128
2013-08-12;6875;742;6133
2013-08-13;6877;741;6136
2013-08-14;6876;741;6135
2013-08-15;6877;746;6131
2013-08-16;6878;749;6129
2013-08-17;6882;750;6132
2013-08-18;6883;750;6133
2013-08-19;6884;750;6134
2013-08-20;6879;750;6129
2013-08-21;6879;750;6129
2013-08-22;6880;751;6129
2013-08-23;6874;751;6123
2013-08-24;6871;751;6120
2013-08-25;6870;751;6119
2013-08-26;6870;751;6119
2013-08-27;6871;751;6120
2013-08-28;6870;751;6119
2013-08-29;6869;751;6118
2013-08-30;6868;753;6115
2013-08-31;6868;754;6114
2013-09-01;6870;753;6117
2013-09-02;6871;757;6114
2013-09-03;6873;757;6116
2013-09-04;6873;754;6119
2013-09-05;6871;753;6118
2013-09-06;6872;753;6119
2013-09-07;6878;754;6124
2013-09-08;6878;754;6124
2013-09-09;6881;755;6126
2013-09-10;6877;756;6121
2013-09-11;6880;756;6124
2013-09-12;6878;758;6120
2013-09-13;6874;758;6116
2013-09-14;6872;757;6115
2013-09-15;6875;760;6115
2013-09-16;6874;759;6115
2013-09-17;6883;758;6125
2013-09-18;6883;758;6125
2013-09-19;6887;759;6128
2013-09-20;6887;759;6128
2013-09-21;6887;759;6128
2013-09-22;6887;759;6128
2013-09-23;6886;759;6127
2013-09-24;6890;759;6131
2013-09-25;6893;762;6131
2013-09-26;6893;763;6130
2013-09-27;6896;767;6129
2013-09-28;6900;770;6130
2013-09-29;6905;770;6135
2013-10-01;6904;775;6129
2013-10-02;6906;775;6131
2013-10-03;6915;779;6136
2013-10-04;6914;779;6135
2013-10-05;6918;781;6137
2013-10-06;6921;780;6141
2013-10-07;6924;782;6142
2013-10-08;6924;782;6142
2013-10-09;6928;782;6146
2013-10-10;6935;783;6152
2013-10-11;6933;785;6148
2013-10-12;6931;787;6144
2013-10-13;6928;789;6139
2013-10-14;6930;787;6143
2013-10-15;6927;790;6137
2013-10-16;6927;792;6135
2013-10-17;6930;794;6136
2013-10-18;6931;795;6136
2013-10-19;6936;797;6139
2013-10-20;6931;747;6184
2013-10-21;6929;747;6182
2013-10-22;6924;747;6177
2013-10-23;6924;749;6175
2013-10-24;6928;750;6178
2013-10-25;6927;748;6179
2013-10-26;6931;750;6181
2013-10-27;6936;754;6182
2013-10-29;6943;756;6187
2013-10-30;6941;758;6183
2013-10-31;6942;760;6182
2013-11-01;6942;761;6181
2013-11-02;6945;765;6180
2013-11-03;6950;768;6182
2013-11-04;6949;768;6181
2013-11-06;6946;768;6178
2013-11-07;6947;768;6179
2013-11-08;6940;767;6173
2013-11-10;6934;764;6170
2013-11-12;6930;772;6158
2013-11-13;6931;772;6159
2013-11-15;6931;774;6157
2013-11-16;6930;778;6152
2013-11-17;6931;778;6153
2013-11-18;6937;785;6152
2013-11-19;6941;789;6152
2013-11-21;6942;796;6146
2013-11-22;6944;798;6146
2013-11-23;6953;800;6153
2013-11-25;6948;800;6148
2013-11-26;6951;800;6151
2013-11-27;6955;799;6156
2013-11-28;6954;799;6155
2013-11-29;6952;798;6154
2013-11-30;6953;799;6154
2013-12-02;6948;799;6149
2013-12-03;6944;798;6146
2013-12-04;6947;798;6149
2013-12-05;6946;800;6146
2013-12-06;6946;800;6146
2013-12-08;6947;802;6145
2013-12-09;6952;807;6145
2013-12-11;6951;808;6143
2013-12-12;6952;811;6141
2013-12-13;6952;811;6141
2013-12-14;6952;811;6141
2013-12-15;6951;811;6140
2013-12-16;6953;817;6136
2013-12-17;6952;818;6134
2013-12-18;6953;817;6136
2013-12-19;6954;817;6137
2013-12-20;6953;817;6136
2013-12-21;6954;817;6137
2013-12-22;6956;817;6139
2013-12-23;6958;816;6142
2013-12-24;6959;816;6143
2013-12-26;6957;816;6141
2013-12-27;6957;816;6141
2013-12-28;6955;816;6139
2013-12-29;6950;816;6134
2013-12-30;6947;816;6131
2013-12-31;6947;816;6131
2014-01-01;6948;817;6131
2014-01-02;6945;828;6117
2014-01-03;6947;829;6118
2014-01-04;6948;831;6117
2014-01-05;6944;831;6113
2014-01-06;6938;834;6104
2014-01-07;6939;835;6104
2014-01-08;6949;835;6114
2014-01-09;6950;835;6115
2014-01-10;6952;835;6117
2014-01-11;6952;835;6117
2014-01-12;6949;835;6114
2014-01-13;6948;835;6113
2014-01-14;6947;835;6112
2014-01-15;6948;836;6112
2014-01-16;6947;835;6112
2014-01-17;6947;838;6109
2014-01-18;6949;837;6112
2014-01-19;6951;838;6113
2014-01-20;6952;837;6115
2014-01-21;6948;837;6111
2014-01-22;6947;840;6107
2014-01-23;6952;840;6112
2014-01-24;6948;840;6108
2014-01-25;6946;838;6108
2014-01-26;6955;839;6116
2014-01-28;6960;840;6120
2014-01-29;6963;841;6122
2014-01-30;6961;841;6120
2014-02-01;6961;840;6121
2014-02-02;6960;842;6118
2014-02-03;6957;841;6116
2014-02-04;6956;842;6114
2014-02-05;6959;842;6117
2014-02-06;6958;842;6116
2014-02-07;6955;842;6113
2014-02-08;6957;843;6114
2014-02-09;6953;843;6110
2014-02-10;6953;843;6110
2014-02-11;6956;843;6113
2014-02-12;6955;843;6112
2014-02-13;6953;845;6108
2014-02-14;6952;845;6107
2014-02-15;6951;845;6106
2014-02-16;6953;846;6107
2014-02-17;6953;846;6107
2014-02-18;6951;846;6105
