date;followers;following;fans
2013-04-18;7552;708;6844
2013-04-20;7564;709;6855
2013-04-22;7582;712;6870
2013-04-23;7589;712;6877
2013-04-25;7594;713;6881
2013-04-26;7594;714;6880
2013-04-27;7597;714;6883
2013-04-28;7594;714;6880
2013-04-29;7588;715;6873
2013-05-01;7595;715;6880
2013-05-02;7597;716;6881
2013-05-03;7601;718;6883
2013-05-04;7616;719;6897
2013-05-06;7613;718;6895
2013-05-07;7613;718;6895
2013-05-08;7615;719;6896
2013-05-09;7619;721;6898
2013-05-11;7602;721;6881
2013-05-12;7604;721;6883
2013-05-13;7601;723;6878
2013-05-14;7611;723;6888
2013-05-15;7623;726;6897
2013-05-16;7624;726;6898
2013-05-17;7625;726;6899
2013-05-19;7629;724;6905
2013-05-20;7625;723;6902
2013-05-21;7626;723;6903
2013-05-22;7625;725;6900
2013-05-23;7629;726;6903
2013-05-24;7635;727;6908
2013-05-25;7635;727;6908
2013-05-26;7630;727;6903
2013-05-27;7629;725;6904
2013-05-28;7633;725;6908
2013-05-30;7627;725;6902
2013-05-31;7634;725;6909
2013-06-01;7636;724;6912
2013-06-02;7639;723;6916
2013-06-03;7636;723;6913
2013-06-04;7639;723;6916
2013-06-05;7645;723;6922
2013-06-06;7648;721;6927
2013-06-08;7650;722;6928
2013-06-09;7652;721;6931
2013-06-10;7658;721;6937
2013-06-11;7663;718;6945
2013-06-20;7670;706;6964
2013-06-21;7675;705;6970
2013-06-22;7677;705;6972
2013-06-23;7680;705;6975
2013-06-24;7679;705;6974
2013-06-25;7677;705;6972
2013-06-26;7678;705;6973
2013-06-27;7681;706;6975
2013-06-28;7689;706;6983
2013-06-30;7690;706;6984
2013-07-02;7692;706;6986
2013-07-04;7688;706;6982
2013-07-06;7696;707;6989
2013-07-07;7696;706;6990
2013-07-08;7700;705;6995
2013-07-09;7702;705;6997
2013-07-10;7698;704;6994
2013-07-12;7701;704;6997
2013-07-13;7702;704;6998
2013-07-14;7701;703;6998
2013-07-15;7706;703;7003
2013-07-16;7705;703;7002
2013-07-18;7710;703;7007
2013-07-19;7712;703;7009
2013-07-20;7711;702;7009
2013-07-21;7713;702;7011
2013-07-22;7711;702;7009
2013-07-23;7714;702;7012
2013-07-24;7718;702;7016
2013-07-25;7719;702;7017
2013-07-26;7721;702;7019
2013-07-27;7721;701;7020
2013-07-28;7733;701;7032
2013-07-29;7732;701;7031
2013-07-30;7735;701;7034
2013-07-31;7734;697;7037
2013-08-01;7738;697;7041
2013-08-03;7735;697;7038
2013-08-05;7737;697;7040
2013-08-06;7734;695;7039
2013-08-07;7740;695;7045
2013-08-08;7740;695;7045
2013-08-09;7741;695;7046
2013-08-10;7745;698;7047
2013-08-11;7744;697;7047
2013-08-12;7746;697;7049
2013-08-13;7744;697;7047
2013-08-14;7740;697;7043
2013-08-15;7747;697;7050
2013-08-16;7750;697;7053
2013-08-17;7749;697;7052
2013-08-18;7748;697;7051
2013-08-19;7745;697;7048
2013-08-20;7742;697;7045
2013-08-21;7742;697;7045
2013-08-22;7741;697;7044
2013-08-23;7745;697;7048
2013-08-24;7742;697;7045
2013-08-25;7744;696;7048
2013-08-26;7744;695;7049
2013-08-27;7740;695;7045
2013-08-28;7745;695;7050
2013-08-29;7746;695;7051
2013-08-30;7749;695;7054
2013-08-31;7750;694;7056
2013-09-01;7752;694;7058
2013-09-02;7753;694;7059
2013-09-03;7759;694;7065
