date;followers;following;fans
2013-04-18;2418;1033;1385
2013-04-20;2417;1029;1388
2013-04-22;2419;960;1459
2013-04-24;2418;959;1459
2013-04-26;2420;964;1456
2013-04-28;2420;965;1455
2013-04-30;2423;967;1456
2013-05-02;2423;966;1457
2013-05-04;2433;972;1461
2013-05-06;2433;972;1461
2013-05-08;2447;985;1462
2013-05-10;2455;985;1470
2013-05-12;2446;991;1455
2013-05-14;2446;994;1452
2013-05-16;2461;995;1466
2013-05-18;2476;1004;1472
2013-05-20;2482;1003;1479
2013-05-22;2482;996;1486
2013-05-24;2487;999;1488
2013-05-26;2488;1000;1488
2013-05-28;2497;1002;1495
2013-05-30;2497;1005;1492
2013-06-01;2497;1006;1491
2013-06-03;2500;1012;1488
2013-06-05;2504;1015;1489
2013-06-07;2509;1016;1493
2013-06-09;2507;1017;1490
2013-06-11;2507;1019;1488
2013-06-20;2522;1027;1495
2013-06-22;2529;1027;1502
2013-06-24;2538;1028;1510
2013-06-26;2541;1035;1506
2013-06-28;2547;1036;1511
2013-06-30;2544;1038;1506
2013-07-02;2546;1041;1505
2013-07-04;2549;1041;1508
2013-07-06;2555;1041;1514
2013-07-08;2560;1043;1517
2013-07-10;2560;1050;1510
2013-07-12;2562;1051;1511
2013-07-14;2581;1055;1526
2013-07-16;2584;1056;1528
2013-07-18;2589;1056;1533
2013-07-20;2595;1056;1539
2013-07-22;2593;1056;1537
2013-07-24;2594;1058;1536
2013-07-26;2591;1060;1531
2013-07-28;2593;1059;1534
2013-07-30;2595;1060;1535
2013-08-01;2594;1060;1534
2013-08-03;2598;1059;1539
2013-08-05;2600;1059;1541
2013-08-07;2596;1059;1537
2013-08-09;2597;1059;1538
2013-08-11;2597;1059;1538
2013-08-13;2593;1060;1533
2013-08-15;2605;1060;1545
2013-08-17;2609;1061;1548
2013-08-19;2610;1063;1547
2013-08-21;2613;1063;1550
2013-08-23;2612;1066;1546
2013-08-25;2610;1065;1545
2013-08-27;2610;1067;1543
2013-08-29;2617;1073;1544
2013-08-31;2624;1078;1546
2013-09-02;2626;1078;1548
