date;followers;following;fans
2013-12-18;1249;50;1199
2013-12-20;1370;50;1320
2013-12-22;1473;51;1422
2013-12-24;1528;52;1476
2013-12-26;1547;52;1495
2013-12-28;1572;52;1520
2013-12-30;1597;52;1545
2014-01-01;1622;53;1569
2014-01-03;1649;53;1596
2014-01-05;1681;53;1628
2014-01-07;1710;53;1657
2014-01-09;1722;53;1669
2014-01-11;1764;53;1711
2014-01-13;1780;53;1727
2014-01-15;1796;53;1743
2014-01-17;1812;53;1759
2014-01-19;1822;53;1769
2014-01-21;1830;53;1777
2014-01-23;1840;53;1787
2014-01-25;1848;53;1795
2014-01-27;2051;53;1998
2014-01-30;2097;88;2009
2014-02-01;2145;88;2057
2014-02-03;2245;88;2157
2014-02-05;2267;88;2179
2014-02-07;2295;88;2207
2014-02-09;2317;88;2229
2014-02-11;2353;88;2265
2014-02-13;2376;88;2288
2014-02-15;2388;88;2300
2014-02-17;2429;88;2341
2014-02-19;2437;88;2349
2014-02-21;2455;88;2367
2014-02-23;2495;88;2407
2014-02-25;2528;88;2440
2014-02-27;2558;88;2470
2014-03-01;2593;88;2505
2014-03-02;2615;88;2527
2014-03-03;2637;88;2549
2014-03-05;2692;88;2604
2014-03-06;2709;88;2621
2014-03-07;2722;88;2634
2014-03-08;2741;88;2653
2014-03-10;2752;88;2664
2014-03-11;2775;88;2687
2014-03-13;2786;88;2698
2014-03-14;2802;88;2714
2014-03-15;2829;88;2741
2014-03-17;2842;88;2754
2014-03-18;2857;88;2769
2014-03-20;2879;88;2791
2014-03-21;2893;88;2805
2014-03-22;2907;88;2819
2014-03-24;2940;88;2852
2014-03-25;2962;88;2874
2014-03-26;3027;88;2939
2014-03-28;3063;89;2974
2014-03-29;3131;89;3042
2014-03-30;3180;89;3091
2014-04-01;3217;89;3128
2014-04-02;3245;89;3156
2014-04-03;3276;89;3187
2014-04-05;3291;89;3202
2014-04-06;3304;89;3215
2014-04-07;3377;89;3288
2014-04-09;3389;89;3300
2014-04-10;3397;89;3308
2014-04-12;3409;89;3320
2014-04-13;3416;89;3327
2014-04-14;3436;89;3347
2014-04-16;3451;89;3362
2014-04-17;3465;89;3376
2014-04-18;3476;89;3387
2014-04-20;3496;89;3407
2014-04-21;3515;89;3426
2014-04-22;3531;89;3442
2014-04-24;3547;89;3458
2014-04-25;3585;89;3496
2014-04-26;3598;89;3509
2014-04-28;3626;89;3537
2014-04-29;3634;89;3545
2014-04-30;3648;89;3559
2014-05-02;3668;89;3579
2014-05-03;3672;89;3583
2014-05-04;3691;89;3602
