date;followers;following;fans
2014-02-17;2583;1307;1276
2014-02-19;2596;1314;1282
2014-02-21;2612;1322;1290
2014-02-23;2633;1326;1307
2014-02-25;2643;1330;1313
2014-02-27;2646;1332;1314
2014-03-01;2646;1331;1315
2014-03-03;2667;1344;1323
2014-03-05;2689;1348;1341
2014-03-07;2690;1351;1339
2014-03-09;2709;1362;1347
2014-03-11;2715;1367;1348
2014-03-13;2719;1367;1352
2014-03-15;2721;1367;1354
2014-03-17;2723;1368;1355
2014-03-19;2732;1372;1360
2014-03-21;2734;1374;1360
2014-03-23;2733;1374;1359
2014-03-25;2738;1379;1359
2014-03-27;2743;1384;1359
2014-03-29;2752;1387;1365
2014-03-31;2741;1384;1357
2014-04-02;2744;1386;1358
2014-04-04;2752;1391;1361
2014-04-06;2753;1395;1358
2014-04-08;2752;1393;1359
2014-04-10;2754;1393;1361
2014-04-12;2763;1401;1362
2014-04-14;2764;1409;1355
2014-04-16;2767;1412;1355
2014-04-18;2766;1411;1355
2014-04-20;2767;1415;1352
2014-04-22;2770;1416;1354
2014-04-24;2772;1418;1354
2014-04-26;2767;1418;1349
2014-04-28;2777;1428;1349
2014-04-30;2776;1432;1344
2014-05-02;2776;1433;1343
2014-05-04;2783;1437;1346
