date;followers;following;fans
2013-04-18;9896;215;9681
2013-04-19;9895;216;9679
2013-04-20;9894;216;9678
2013-04-21;9896;222;9674
2013-04-22;9917;212;9705
2013-04-23;9931;200;9731
2013-04-24;9940;199;9741
2013-04-25;9946;199;9747
2013-04-26;9961;199;9762
2013-04-27;9963;200;9763
2013-04-28;9964;202;9762
2013-04-29;9975;208;9767
2013-04-30;10000;202;9798
2013-05-01;9996;202;9794
2013-05-02;10006;203;9803
2013-05-03;10014;202;9812
2013-05-04;10014;203;9811
2013-05-05;10012;204;9808
2013-05-06;10021;202;9819
2013-05-07;10034;203;9831
2013-05-08;10043;199;9844
2013-05-09;10045;190;9855
2013-05-11;10042;191;9851
2013-05-12;10039;191;9848
2013-05-13;10041;192;9849
2013-05-14;10047;192;9855
2013-05-15;10054;202;9852
2013-05-16;10083;208;9875
2013-05-17;10101;203;9898
2013-05-18;10125;210;9915
2013-05-19;10157;207;9950
2013-05-20;10172;208;9964
2013-05-21;10187;207;9980
2013-05-22;10188;209;9979
2013-05-23;10196;209;9987
2013-05-24;10193;210;9983
2013-05-25;10194;210;9984
2013-05-26;10194;211;9983
2013-05-27;10212;209;10003
2013-05-28;10244;207;10037
2013-05-29;10260;209;10051
2013-05-30;10276;218;10058
2013-05-31;10306;220;10086
2013-06-01;10305;224;10081
2013-06-02;10308;221;10087
2013-06-03;10319;220;10099
2013-06-04;10358;218;10140
2013-06-05;10386;222;10164
2013-06-06;10387;222;10165
2013-06-07;10396;222;10174
2013-06-08;10418;223;10195
2013-06-09;10428;224;10204
2013-06-10;10463;224;10239
2013-06-11;10471;225;10246
2013-06-20;10577;222;10355
2013-06-21;10623;222;10401
2013-06-22;10626;223;10403
2013-06-23;10657;222;10435
2013-06-24;10713;223;10490
2013-06-25;10759;222;10537
2013-06-26;10790;222;10568
2013-06-27;10796;222;10574
2013-06-28;10796;223;10573
2013-06-29;10797;223;10574
2013-06-30;10835;223;10612
2013-07-01;10859;224;10635
2013-07-02;10881;225;10656
2013-07-03;10906;227;10679
2013-07-04;10918;226;10692
2013-07-05;10917;227;10690
2013-07-06;10912;226;10686
2013-07-07;10953;227;10726
2013-07-08;10969;226;10743
2013-07-09;10996;226;10770
2013-07-10;11015;228;10787
2013-07-11;11029;231;10798
2013-07-12;11046;230;10816
2013-07-13;11093;231;10862
2013-07-14;11144;231;10913
2013-07-15;11147;231;10916
2013-07-16;11196;232;10964
2013-07-17;11236;231;11005
2013-07-18;11257;233;11024
2013-07-19;11281;231;11050
2013-07-20;11309;233;11076
2013-07-21;11318;232;11086
2013-07-22;11317;232;11085
2013-07-23;11324;232;11092
