date;followers;following;fans
2013-04-18;2148;12;2136
2013-04-20;2152;12;2140
2013-04-22;2154;12;2142
2013-04-24;2164;12;2152
2013-04-26;2169;12;2157
2013-04-28;2171;12;2159
2013-04-30;2171;12;2159
2013-05-02;2174;12;2162
2013-05-04;2178;12;2166
2013-05-06;2180;12;2168
2013-05-08;2180;12;2168
2013-05-10;2184;12;2172
2013-05-12;2162;12;2150
2013-05-14;2164;12;2152
2013-05-16;2179;12;2167
2013-05-18;2188;12;2176
2013-05-20;2188;12;2176
2013-05-22;2191;12;2179
2013-05-24;2194;12;2182
2013-05-26;2196;12;2184
2013-05-28;2200;12;2188
2013-05-30;2203;12;2191
2013-06-01;2206;12;2194
2013-06-03;2208;12;2196
2013-06-05;2211;12;2199
2013-06-07;2215;12;2203
2013-06-09;2214;12;2202
2013-06-11;2223;12;2211
2013-06-20;2233;12;2221
2013-06-22;2232;12;2220
2013-06-24;2235;12;2223
2013-06-26;2240;12;2228
2013-06-28;2245;12;2233
2013-06-30;2247;12;2235
2013-07-02;2248;12;2236
2013-07-04;2255;12;2243
2013-07-06;2253;12;2241
2013-07-08;2256;12;2244
2013-07-10;2257;12;2245
2013-07-12;2258;12;2246
2013-07-14;2263;12;2251
2013-07-16;2267;12;2255
2013-07-18;2271;12;2259
2013-07-20;2272;12;2260
2013-07-22;2272;12;2260
2013-07-24;2270;12;2258
2013-07-26;2273;12;2261
2013-07-28;2274;12;2262
2013-07-30;2278;12;2266
2013-08-01;2278;12;2266
2013-08-03;2278;12;2266
2013-08-05;2279;12;2267
2013-08-07;2281;12;2269
2013-08-09;2282;12;2270
2013-08-11;2281;12;2269
2013-08-13;2279;12;2267
2013-08-15;2277;12;2265
2013-08-17;2279;12;2267
2013-08-19;2280;12;2268
2013-08-21;2283;12;2271
2013-08-23;2280;12;2268
2013-08-25;2279;12;2267
2013-08-27;2283;12;2271
2013-08-29;2282;12;2270
2013-08-31;2281;12;2269
2013-09-02;2282;12;2270
2013-09-04;2282;12;2270
2013-09-06;2282;12;2270
2013-09-08;2281;12;2269
2013-09-10;2280;12;2268
2013-09-12;2281;12;2269
2013-09-14;2283;12;2271
2013-09-16;2280;12;2268
2013-09-18;2279;12;2267
2013-09-20;2278;12;2266
2013-09-22;2277;12;2265
2013-09-24;2278;12;2266
2013-09-26;2277;12;2265
2013-09-28;2276;12;2264
2013-09-29;2272;12;2260
2013-10-02;2271;12;2259
2013-10-04;2272;12;2260
2013-10-06;2271;12;2259
2013-10-08;2271;12;2259
2013-10-10;2272;12;2260
2013-10-12;2271;12;2259
2013-10-14;2270;12;2258
2013-10-16;2273;12;2261
2013-10-18;2276;12;2264
2013-10-20;2277;12;2265
2013-10-22;2273;12;2261
2013-10-24;2271;12;2259
2013-10-26;2271;12;2259
2013-10-28;2268;12;2256
2013-10-30;2269;12;2257
2013-11-01;2269;12;2257
2013-11-03;2269;12;2257
2013-11-05;2271;12;2259
2013-11-07;2274;12;2262
2013-11-09;2277;12;2265
2013-11-10;2276;12;2264
2013-11-12;2277;12;2265
2013-11-15;2274;12;2262
2013-11-17;2274;12;2262
2013-11-19;2274;12;2262
2013-11-21;2274;12;2262
2013-11-23;2277;12;2265
2013-11-25;2279;12;2267
2013-11-27;2276;12;2264
2013-11-29;2279;12;2267
2013-12-01;2279;12;2267
2013-12-03;2278;12;2266
2013-12-05;2275;12;2263
2013-12-06;2271;12;2259
2013-12-08;2272;12;2260
2013-12-11;2272;12;2260
2013-12-13;2272;12;2260
2013-12-15;2272;12;2260
2013-12-17;2272;12;2260
2013-12-19;2273;12;2261
2013-12-21;2273;12;2261
2013-12-23;2272;12;2260
2013-12-24;2270;12;2258
2013-12-27;2271;12;2259
2013-12-29;2270;12;2258
2013-12-31;2269;12;2257
2014-01-02;2269;12;2257
2014-01-04;2268;12;2256
2014-01-06;2267;12;2255
2014-01-08;2264;12;2252
2014-01-10;2262;12;2250
2014-01-12;2263;12;2251
2014-01-14;2264;12;2252
2014-01-16;2263;12;2251
2014-01-18;2263;12;2251
2014-01-20;2262;12;2250
2014-01-22;2263;12;2251
2014-01-24;2260;12;2248
2014-01-26;2259;12;2247
2014-01-28;2258;12;2246
2014-01-30;2258;12;2246
2014-02-01;2257;12;2245
2014-02-03;2256;12;2244
2014-02-05;2255;12;2243
2014-02-07;2255;12;2243
2014-02-09;2255;12;2243
2014-02-11;2255;12;2243
2014-02-13;2255;12;2243
2014-02-15;2256;12;2244
2014-02-17;2255;12;2243
2014-02-19;2255;12;2243
2014-02-21;2256;12;2244
2014-02-23;2255;12;2243
2014-02-25;2255;12;2243
2014-02-27;2254;12;2242
2014-03-01;2256;12;2244
2014-03-03;2258;12;2246
2014-03-05;2258;12;2246
2014-03-07;2258;12;2246
2014-03-09;2262;12;2250
2014-03-11;2261;12;2249
2014-03-13;2260;12;2248
2014-03-15;2259;12;2247
2014-03-17;2259;12;2247
2014-03-19;2260;12;2248
2014-03-21;2261;12;2249
2014-03-23;2263;12;2251
2014-03-25;2265;12;2253
2014-03-27;2268;12;2256
2014-03-29;2274;12;2262
2014-03-31;2274;12;2262
2014-04-02;2283;12;2271
2014-04-04;2292;12;2280
2014-04-06;2296;12;2284
2014-04-08;2296;12;2284
2014-04-10;2294;12;2282
2014-04-12;2298;12;2286
2014-04-14;2293;12;2281
2014-04-16;2293;12;2281
2014-04-18;2297;12;2285
2014-04-20;2304;12;2292
2014-04-22;2304;12;2292
2014-04-24;2307;12;2295
2014-04-26;2307;12;2295
2014-04-28;2309;12;2297
2014-04-30;2310;12;2298
2014-05-02;2311;12;2299
2014-05-04;2310;12;2298
