date;followers;following;fans
2013-04-18;2387;823;1564
2013-04-20;2387;823;1564
2013-04-22;2388;823;1565
2013-04-24;2386;822;1564
2013-04-26;2394;822;1572
2013-04-28;2395;823;1572
2013-04-30;2396;822;1574
2013-05-02;2395;822;1573
2013-05-04;2399;824;1575
2013-05-06;2402;827;1575
2013-05-08;2406;825;1581
2013-05-10;2406;825;1581
2013-05-12;2403;825;1578
2013-05-14;2403;825;1578
2013-05-16;2406;825;1581
2013-05-18;2416;825;1591
2013-05-20;2417;825;1592
2013-05-22;2417;825;1592
2013-05-24;2416;825;1591
2013-05-26;2419;825;1594
2013-05-28;2421;825;1596
2013-05-30;2421;825;1596
2013-06-01;2423;825;1598
2013-06-03;2426;825;1601
2013-06-05;2428;825;1603
2013-06-07;2428;825;1603
2013-06-09;2440;825;1615
2013-06-11;2439;825;1614
2013-06-20;2466;825;1641
2013-06-22;2470;825;1645
2013-06-24;2478;825;1653
2013-06-26;2493;825;1668
2013-06-28;2504;825;1679
2013-06-30;2510;824;1686
2013-07-02;2517;824;1693
2013-07-04;2517;824;1693
2013-07-06;2516;824;1692
2013-07-08;2512;824;1688
2013-07-10;2513;824;1689
2013-07-12;2513;824;1689
2013-07-14;2512;824;1688
2013-07-16;2515;824;1691
2013-07-18;2517;824;1693
2013-07-20;2519;824;1695
2013-07-22;2525;824;1701
2013-07-24;2526;825;1701
2013-07-26;2534;825;1709
2013-07-28;2537;824;1713
2013-07-30;2533;823;1710
2013-08-01;2535;824;1711
2013-08-03;2536;824;1712
2013-08-05;2535;824;1711
2013-08-07;2535;824;1711
2013-08-09;2535;824;1711
2013-08-11;2535;824;1711
2013-08-13;2535;824;1711
2013-08-15;2540;824;1716
2013-08-17;2548;824;1724
2013-08-19;2551;824;1727
2013-08-21;2551;824;1727
2013-08-23;2552;824;1728
2013-08-25;2550;824;1726
2013-08-27;2552;824;1728
2013-08-29;2559;824;1735
2013-08-31;2563;823;1740
2013-09-02;2561;823;1738
2013-09-04;2563;823;1740
2013-09-06;2566;823;1743
2013-09-08;2568;823;1745
2013-09-10;2569;823;1746
2013-09-12;2572;823;1749
2013-09-14;2583;823;1760
2013-09-16;2584;823;1761
2013-09-18;2583;823;1760
2013-09-20;2583;823;1760
2013-09-22;2590;823;1767
2013-09-24;2589;823;1766
2013-09-26;2591;823;1768
2013-09-28;2591;823;1768
2013-09-30;2590;823;1767
2013-10-02;2591;823;1768
2013-10-04;2592;823;1769
2013-10-06;2594;823;1771
2013-10-08;2592;823;1769
2013-10-10;2596;823;1773
2013-10-12;2596;823;1773
2013-10-14;2593;823;1770
2013-10-16;2592;823;1769
2013-10-18;2591;823;1768
2013-10-20;2591;823;1768
2013-10-22;2592;823;1769
2013-10-24;2588;823;1765
2013-10-26;2586;823;1763
2013-10-28;2586;823;1763
2013-10-30;2585;823;1762
2013-11-01;2584;823;1761
2013-11-03;2584;823;1761
2013-11-05;2580;823;1757
2013-11-07;2583;823;1760
2013-11-09;2584;823;1761
2013-11-11;2585;823;1762
2013-11-13;2587;823;1764
2013-11-15;2586;823;1763
2013-11-17;2583;822;1761
2013-11-19;2580;822;1758
2013-11-21;2579;822;1757
2013-11-23;2578;822;1756
2013-11-25;2577;822;1755
2013-11-27;2578;822;1756
2013-11-29;2579;822;1757
2013-12-01;2581;822;1759
2013-12-03;2580;822;1758
2013-12-05;2584;822;1762
2013-12-07;2588;822;1766
2013-12-09;2587;822;1765
2013-12-11;2585;822;1763
2013-12-13;2583;822;1761
2013-12-15;2585;822;1763
2013-12-17;2589;822;1767
2013-12-19;2587;821;1766
2013-12-21;2588;821;1767
2013-12-23;2594;821;1773
2013-12-25;2593;821;1772
2013-12-27;2591;821;1770
2013-12-29;2594;821;1773
2013-12-31;2595;821;1774
2014-01-02;2595;821;1774
2014-01-04;2590;820;1770
2014-01-06;2593;820;1773
2014-01-08;2592;820;1772
2014-01-10;2590;820;1770
2014-01-12;2591;820;1771
2014-01-14;2590;820;1770
2014-01-16;2592;820;1772
2014-01-18;2591;820;1771
2014-01-20;2590;820;1770
2014-01-22;2594;820;1774
2014-01-24;2593;820;1773
2014-01-26;2595;820;1775
2014-01-28;2593;820;1773
2014-01-30;2590;820;1770
2014-02-01;2591;820;1771
2014-02-03;2596;831;1765
2014-02-05;2599;831;1768
2014-02-07;2599;831;1768
2014-02-09;2602;831;1771
2014-02-11;2602;831;1771
2014-02-13;2595;832;1763
2014-02-15;2594;831;1763
2014-02-17;2592;831;1761
2014-02-19;2594;831;1763
2014-02-21;2591;831;1760
2014-02-23;2593;832;1761
2014-02-25;2592;832;1760
2014-02-27;2592;832;1760
2014-03-01;2590;832;1758
2014-03-03;2590;832;1758
2014-03-05;2589;832;1757
2014-03-07;2586;832;1754
2014-03-09;2589;832;1757
2014-03-11;2592;832;1760
2014-03-13;2593;832;1761
2014-03-15;2592;832;1760
2014-03-17;2594;832;1762
2014-03-19;2593;832;1761
2014-03-21;2593;832;1761
2014-03-23;2590;832;1758
2014-03-25;2591;832;1759
2014-03-27;2594;832;1762
2014-03-29;2594;832;1762
2014-03-31;2597;832;1765
2014-04-02;2598;832;1766
2014-04-04;2595;832;1763
2014-04-06;2593;832;1761
2014-04-08;2591;832;1759
2014-04-10;2591;832;1759
2014-04-12;2592;832;1760
2014-04-14;2591;832;1759
2014-04-16;2591;832;1759
2014-04-18;2591;832;1759
2014-04-20;2589;832;1757
2014-04-22;2587;832;1755
2014-04-24;2590;832;1758
2014-04-26;2589;832;1757
2014-04-28;2590;832;1758
2014-04-30;2586;829;1757
2014-05-02;2586;829;1757
2014-05-04;2582;829;1753
