date;followers;following;fans
2013-04-17;2678;10;2668
2013-04-18;2682;10;2672
2013-04-19;2684;10;2674
2013-04-20;2685;10;2675
2013-04-21;2695;10;2685
2013-04-22;2694;10;2684
2013-04-23;2696;10;2686
2013-04-24;2699;10;2689
2013-04-25;2704;10;2694
2013-04-27;2708;10;2698
2013-04-28;2712;10;2702
2013-04-29;2715;10;2705
2013-04-30;2721;10;2711
2013-05-01;2722;10;2712
2013-05-02;2732;10;2722
2013-05-03;2732;10;2722
2013-05-04;2735;10;2725
2013-05-05;2741;10;2731
2013-05-06;2733;10;2723
2013-05-08;2735;10;2725
2013-05-09;2737;10;2727
2013-05-10;2735;10;2725
2013-05-11;2730;10;2720
2013-05-12;2733;10;2723
2013-05-13;2737;10;2727
2013-05-14;2740;10;2730
2013-05-15;2741;10;2731
2013-05-16;2748;10;2738
2013-05-18;2750;10;2740
2013-05-19;2753;10;2743
2013-05-20;2754;10;2744
2013-05-21;2757;10;2747
2013-05-22;2761;10;2751
2013-05-23;2763;10;2753
2013-05-24;2770;10;2760
2013-05-25;2775;10;2765
2013-05-26;2786;10;2776
2013-05-28;2792;10;2782
2013-05-29;2792;10;2782
2013-05-30;2792;10;2782
2013-05-31;2794;10;2784
2013-06-01;2799;10;2789
2013-06-02;2803;10;2793
2013-06-03;3039;10;3029
2013-06-04;3032;10;3022
2013-06-05;3032;10;3022
2013-06-07;3036;10;3026
2013-06-08;3040;10;3030
2013-06-09;3040;10;3030
2013-06-10;3044;10;3034
2013-06-11;3045;10;3035
2013-06-20;3055;10;3045
2013-06-21;3064;10;3054
2013-06-22;3069;10;3059
2013-06-23;3069;10;3059
2013-06-24;3075;10;3065
2013-06-26;3076;10;3066
2013-06-27;3076;10;3066
2013-06-28;3080;10;3070
2013-06-29;3082;10;3072
2013-06-30;3085;10;3075
2013-07-01;3086;10;3076
2013-07-02;3089;10;3079
2013-07-04;3092;10;3082
2013-07-05;3092;10;3082
2013-07-06;3102;10;3092
2013-07-07;3105;10;3095
2013-07-08;3110;10;3100
2013-07-09;3110;10;3100
2013-07-10;3117;10;3107
2013-07-11;3119;10;3109
2013-07-13;3125;10;3115
2013-07-14;3129;10;3119
2013-07-15;3130;10;3120
2013-07-16;3133;10;3123
2013-07-17;3138;10;3128
2013-07-18;3138;10;3128
2013-07-19;3146;10;3136
2013-07-20;3153;10;3143
2013-07-21;3160;10;3150
2013-07-23;3171;10;3161
2013-07-24;3173;10;3163
2013-07-25;3175;11;3164
2013-07-26;3178;11;3167
2013-07-27;3179;11;3168
2013-07-28;3181;11;3170
2013-07-29;3184;11;3173
2013-07-31;3191;11;3180
2013-08-01;3196;12;3184
2013-08-02;3199;12;3187
2013-08-03;3198;12;3186
2013-08-04;3197;12;3185
2013-08-05;3200;12;3188
2013-08-06;3202;12;3190
2013-08-07;3202;22;3180
2013-08-09;3204;22;3182
2013-08-10;3206;22;3184
2013-08-11;3206;22;3184
2013-08-12;3214;23;3191
2013-08-13;3213;23;3190
2013-08-14;3214;23;3191
2013-08-16;3217;23;3194
2013-08-17;3218;23;3195
2013-08-18;3222;23;3199
2013-08-19;3229;26;3203
2013-08-20;3233;26;3207
2013-08-21;3236;26;3210
2013-08-22;3240;26;3214
2013-08-24;3240;26;3214
2013-08-25;3240;26;3214
2013-08-26;3245;26;3219
2013-08-27;3248;26;3222
2013-08-28;3252;26;3226
2013-08-29;3254;26;3228
2013-08-30;3259;26;3233
2013-09-01;3261;26;3235
2013-09-02;3269;26;3243
2013-09-03;3272;26;3246
2013-09-04;3276;27;3249
2013-09-05;3277;27;3250
2013-09-06;3277;30;3247
2013-09-08;3283;30;3253
2013-09-09;3292;30;3262
2013-09-10;3295;30;3265
2013-09-11;3293;30;3263
2013-09-12;3295;30;3265
2013-09-13;3296;31;3265
2013-09-15;3300;31;3269
2013-09-16;3304;31;3273
2013-09-17;3305;31;3274
2013-09-18;3307;31;3276
2013-09-19;3310;31;3279
2013-09-20;3311;31;3280
2013-09-22;3310;32;3278
2013-09-23;3315;33;3282
2013-09-24;3316;33;3283
2013-09-25;3319;33;3286
