date;followers;following;fans
2013-04-18;2691;527;2164
2013-04-20;2694;527;2167
2013-04-22;2705;527;2178
2013-04-24;2717;527;2190
2013-04-26;2727;527;2200
2013-04-28;2734;527;2207
2013-04-30;2742;530;2212
2013-05-02;2759;530;2229
2013-05-04;2766;530;2236
2013-05-06;2773;530;2243
2013-05-08;2785;533;2252
2013-05-10;2790;533;2257
2013-05-12;2781;528;2253
2013-05-14;2795;529;2266
2013-05-16;2820;532;2288
2013-05-18;2837;534;2303
2013-05-20;2847;534;2313
2013-05-22;2860;534;2326
2013-05-24;2872;538;2334
2013-05-26;2888;540;2348
2013-05-28;2897;540;2357
2013-05-30;2914;541;2373
2013-06-01;2923;543;2380
2013-06-03;2930;543;2387
2013-06-05;2937;543;2394
2013-06-07;2944;543;2401
2013-06-09;2951;543;2408
2013-06-11;2963;543;2420
2013-06-20;3006;546;2460
2013-06-22;3013;547;2466
2013-06-24;3020;547;2473
2013-06-26;3038;548;2490
2013-06-28;3041;548;2493
2013-06-30;3041;549;2492
2013-07-02;3044;549;2495
2013-07-04;3053;549;2504
2013-07-05;3054;549;2505
2013-07-06;3058;549;2509
2013-07-07;3059;549;2510
2013-07-08;3061;549;2512
2013-07-09;3063;549;2514
2013-07-10;3068;549;2519
2013-07-11;3074;549;2525
2013-07-12;3078;549;2529
2013-07-14;3080;549;2531
2013-07-15;3082;549;2533
2013-07-16;3085;549;2536
2013-07-17;3087;549;2538
2013-07-18;3090;549;2541
2013-07-19;3097;549;2548
2013-07-20;3102;549;2553
2013-07-21;3104;549;2555
2013-07-23;3108;548;2560
2013-07-24;3112;548;2564
2013-07-25;3113;547;2566
2013-07-26;3113;547;2566
2013-07-27;3113;547;2566
2013-07-28;3113;547;2566
2013-07-29;3115;547;2568
2013-07-30;3119;547;2572
2013-08-01;3121;547;2574
2013-08-02;3124;547;2577
2013-08-03;3124;547;2577
2013-08-04;3130;547;2583
2013-08-05;3131;547;2584
2013-08-06;3138;547;2591
2013-08-07;3141;547;2594
2013-08-09;3140;547;2593
2013-08-10;3146;547;2599
2013-08-11;3148;547;2601
2013-08-12;3155;547;2608
2013-08-13;3155;547;2608
2013-08-14;3159;548;2611
2013-08-15;3165;548;2617
2013-08-17;3169;548;2621
2013-08-18;3172;548;2624
2013-08-19;3174;548;2626
2013-08-20;3175;548;2627
2013-08-21;3185;549;2636
2013-08-22;3190;549;2641
2013-08-23;3201;555;2646
2013-08-25;3203;555;2648
2013-08-26;3207;555;2652
2013-08-27;3207;555;2652
2013-08-28;3212;555;2657
2013-08-29;3217;555;2662
2013-08-30;3221;557;2664
2013-08-31;3228;558;2670
2013-09-02;3232;558;2674
2013-09-03;3238;558;2680
2013-09-04;3247;558;2689
2013-09-05;3252;559;2693
2013-09-06;3254;559;2695
2013-09-07;3259;559;2700
2013-09-09;3265;559;2706
2013-09-10;3270;559;2711
2013-09-11;3275;559;2716
2013-09-12;3282;559;2723
2013-09-13;3283;560;2723
2013-09-14;3289;560;2729
2013-09-16;3297;560;2737
2013-09-17;3306;560;2746
2013-09-18;3308;560;2748
2013-09-19;3312;560;2752
2013-09-20;3316;560;2756
2013-09-21;3324;560;2764
2013-09-23;3329;560;2769
2013-09-24;3334;560;2774
2013-09-25;3336;560;2776
2013-09-26;3340;560;2780
2013-09-27;3346;560;2786
2013-09-29;3351;560;2791
2013-09-30;3352;560;2792
2013-10-01;3354;560;2794
2013-10-02;3360;560;2800
2013-10-03;3364;560;2804
2013-10-05;3376;560;2816
2013-10-06;3380;560;2820
2013-10-07;3382;560;2822
2013-10-08;3386;560;2826
2013-10-09;3390;560;2830
2013-10-10;3398;561;2837
2013-10-12;3403;563;2840
2013-10-13;3404;563;2841
2013-10-14;3408;563;2845
2013-10-15;3411;563;2848
2013-10-17;3413;563;2850
2013-10-18;3415;563;2852
2013-10-19;3424;564;2860
2013-10-20;3424;564;2860
2013-10-21;3425;564;2861
2013-10-22;3426;564;2862
2013-10-24;3434;564;2870
2013-10-25;3437;564;2873
2013-10-26;3439;564;2875
2013-10-27;3440;564;2876
