date;followers;following;fans
2013-04-18;1232;91;1141
2013-04-20;1233;92;1141
2013-04-22;1235;92;1143
2013-04-24;1237;92;1145
2013-04-26;1239;92;1147
2013-04-28;1241;92;1149
2013-04-30;1242;92;1150
2013-05-02;1242;92;1150
2013-05-04;1243;92;1151
2013-05-06;1245;92;1153
2013-05-08;1246;92;1154
2013-05-10;1245;92;1153
2013-05-12;1241;92;1149
2013-05-14;1241;92;1149
2013-05-16;1242;92;1150
2013-05-18;1243;92;1151
2013-05-20;1243;92;1151
2013-05-22;1243;92;1151
2013-05-24;1247;92;1155
2013-05-26;1247;92;1155
2013-05-28;1250;92;1158
2013-05-30;1250;92;1158
2013-06-01;1251;92;1159
2013-06-03;1254;92;1162
2013-06-05;1258;92;1166
2013-06-07;1264;92;1172
2013-06-09;1264;92;1172
2013-06-11;1267;92;1175
2013-06-20;1274;92;1182
2013-06-22;1279;92;1187
2013-06-24;1279;92;1187
2013-06-26;1280;92;1188
2013-06-28;1285;92;1193
2013-06-30;1285;92;1193
2013-07-02;1289;92;1197
2013-07-04;1289;92;1197
2013-07-06;1290;92;1198
2013-07-08;1290;92;1198
2013-07-10;1291;92;1199
2013-07-12;1295;92;1203
2013-07-14;1298;92;1206
2013-07-16;1302;92;1210
2013-07-18;1307;91;1216
2013-07-20;1309;91;1218
2013-07-22;1308;91;1217
2013-07-24;1307;91;1216
2013-07-26;1309;93;1216
2013-07-28;1310;93;1217
2013-07-30;1313;93;1220
2013-08-01;1317;93;1224
2013-08-03;1321;95;1226
2013-08-05;1324;95;1229
2013-08-07;1325;95;1230
2013-08-09;1325;95;1230
2013-08-11;1328;95;1233
2013-08-13;1330;95;1235
2013-08-15;1335;95;1240
2013-08-17;1335;95;1240
2013-08-19;1337;95;1242
2013-08-21;1340;95;1245
2013-08-23;1342;95;1247
2013-08-25;1343;95;1248
2013-08-27;1343;95;1248
2013-08-29;1344;95;1249
2013-08-31;1346;95;1251
2013-09-02;1358;95;1263
2013-09-04;1360;95;1265
2013-09-06;1361;95;1266
2013-09-08;1364;95;1269
2013-09-10;1363;95;1268
2013-09-12;1368;95;1273
2013-09-14;1372;95;1277
2013-09-16;1377;95;1282
2013-09-18;1378;95;1283
2013-09-20;1378;95;1283
2013-09-22;1378;95;1283
2013-09-24;1380;95;1285
2013-09-26;1387;95;1292
2013-09-28;1390;94;1296
2013-09-30;1392;94;1298
2013-10-02;1394;94;1300
2013-10-04;1394;94;1300
2013-10-06;1398;94;1304
2013-10-08;1399;94;1305
2013-10-10;1403;93;1310
2013-10-12;1406;93;1313
2013-10-14;1410;93;1317
2013-10-16;1410;93;1317
2013-10-18;1411;93;1318
2013-10-20;1414;93;1321
2013-10-22;1417;93;1324
2013-10-24;1424;93;1331
2013-10-26;1425;93;1332
2013-10-28;1428;93;1335
2013-10-30;1429;92;1337
2013-11-01;1428;92;1336
2013-11-03;1431;92;1339
2013-11-05;1431;92;1339
2013-11-07;1431;92;1339
2013-11-09;1430;92;1338
2013-11-11;1430;92;1338
2013-11-13;1432;92;1340
2013-11-15;1434;92;1342
2013-11-17;1436;92;1344
2013-11-19;1439;92;1347
2013-11-21;1442;92;1350
2013-11-23;1446;101;1345
2013-11-25;1446;101;1345
2013-11-27;1448;101;1347
2013-11-29;1447;101;1346
2013-12-01;1446;101;1345
2013-12-03;1446;101;1345
2013-12-05;1447;101;1346
2013-12-07;1448;101;1347
2013-12-09;1449;101;1348
2013-12-11;1450;101;1349
2013-12-13;1454;101;1353
2013-12-15;1456;101;1355
2013-12-17;1464;103;1361
2013-12-19;1466;103;1363
2013-12-21;1466;103;1363
2013-12-23;1468;103;1365
2013-12-25;1468;103;1365
2013-12-27;1473;103;1370
2013-12-29;1473;103;1370
2013-12-31;1472;103;1369
2014-01-02;1475;103;1372
2014-01-04;1474;103;1371
2014-01-06;1479;103;1376
2014-01-08;1482;104;1378
2014-01-10;1483;104;1379
2014-01-12;1488;104;1384
2014-01-14;1488;104;1384
2014-01-16;1497;104;1393
2014-01-18;1498;104;1394
2014-01-20;1500;104;1396
2014-01-22;1502;104;1398
2014-01-24;1504;104;1400
2014-01-26;1506;104;1402
2014-01-28;1509;104;1405
2014-01-30;1511;104;1407
2014-02-01;1514;104;1410
2014-02-03;1510;104;1406
2014-02-05;1512;104;1408
2014-02-07;1519;104;1415
2014-02-09;1522;104;1418
2014-02-11;1521;104;1417
2014-02-13;1522;104;1418
2014-02-15;1520;106;1414
2014-02-17;1521;106;1415
2014-02-19;1523;106;1417
2014-02-21;1523;106;1417
2014-02-23;1520;106;1414
2014-02-25;1522;106;1416
2014-02-27;1523;116;1407
2014-03-01;1525;116;1409
2014-03-03;1529;116;1413
2014-03-05;1529;116;1413
2014-03-07;1529;116;1413
2014-03-09;1532;116;1416
2014-03-11;1533;117;1416
2014-03-13;1533;117;1416
2014-03-15;1534;117;1417
2014-03-17;1538;117;1421
2014-03-19;1542;117;1425
2014-03-21;1542;117;1425
2014-03-23;1544;117;1427
2014-03-25;1544;117;1427
2014-03-27;1544;117;1427
2014-03-29;1546;117;1429
2014-03-31;1549;117;1432
2014-04-02;1548;117;1431
2014-04-04;1549;117;1432
2014-04-06;1551;117;1434
2014-04-08;1554;117;1437
2014-04-10;1557;117;1440
2014-04-12;1556;117;1439
2014-04-14;1555;117;1438
2014-04-16;1556;117;1439
2014-04-18;1555;117;1438
2014-04-20;1556;117;1439
2014-04-22;1557;117;1440
2014-04-24;1557;117;1440
2014-04-26;1557;117;1440
2014-04-28;1555;117;1438
2014-04-30;1556;117;1439
2014-05-02;1557;117;1440
2014-05-04;1559;117;1442
